source_category,observations,unique_team_games,team_game_coverage_pct,coverage_start,coverage_end,training_observations,development_observations,modern_observations,current_observations,raw_formats,value_examples
completionAttempts,46671,42391,99.9693,2004,2026,25291,7208,13916,256,compound_pair=46671,19-31 (240); 17-26 (235); 17-28 (230); 15-26 (228); 17-27 (228)
defensiveTDs,19511,17352,40.9207,2016,2026,3900,7145,8214,252,integer=19511,0 (16558); 1 (2541); 2 (382); 3 (24); 4 (6)
firstDowns,46671,42391,99.9693,2004,2026,25291,7208,13916,256,integer=46671,20 (3080); 22 (3038); 19 (2972); 21 (2960); 18 (2905)
fourthDownEff,46671,42391,99.9693,2004,2026,25291,7208,13916,256,compound_pair=46671,0-0 (10315); 0-1 (7250); 1-1 (6928); 1-2 (5486); 2-2 (2991)
fumblesLost,46671,42391,99.9693,2004,2026,25291,7208,13916,256,integer=46671,0 (23795); 1 (15280); 2 (5608); 3 (1508); 4 (372)
fumblesRecovered,45820,41602,98.1087,2004,2026,25291,7207,13133,189,integer=45820,0 (22997); 1 (14316); 2 (6143); 3 (1515); 4 (659)
interceptionTDs,26530,24227,57.1338,2004,2026,14948,3907,7556,119,integer=26530,0 (22575); 1 (3704); 2 (243); 3 (7); 4 (1)
interceptionYards,26530,24227,57.1338,2004,2026,14948,3907,7556,119,integer=26530,0 (8407); 1 (578); 2 (576); 3 (532); 4 (471)
interceptions,46671,42391,99.9693,2004,2026,25291,7208,13916,256,integer=46671,0 (19936); 1 (16258); 2 (7265); 3 (2417); 4 (638)
kickReturnTDs,34708,31262,73.7242,2005,2026,16743,6100,11650,215,integer=34708,0 (33627); 1 (1055); 2 (26)
kickReturnYards,34708,31262,73.7242,2005,2026,16743,6100,11650,215,integer=34708,21 (474); 18 (459); 20 (455); 19 (447); 23 (438)
kickReturns,34708,31262,73.7242,2005,2026,16743,6100,11650,215,integer=34708,2 (7842); 1 (7102); 3 (6708); 4 (4882); 5 (3453)
kickingPoints,45484,41432,97.7078,2004,2026,24586,7081,13575,242,integer=45484,6 (4833); 7 (4675); 5 (4598); 4 (4470); 8 (4183)
netPassingYards,46671,42391,99.9693,2004,2026,25291,7208,13916,256,integer=46671,208 (219); 202 (218); 242 (217); 194 (215); 189 (212)
passesDeflected,19511,17352,40.9207,2016,2026,3900,7145,8214,252,integer=19511,2 (3745); 3 (3464); 1 (2931); 4 (2844); 5 (1945)
passesIntercepted,26530,24227,57.1338,2004,2026,14948,3907,7556,119,integer=26530,1 (16155); 2 (7187); 3 (2416); 4 (615); 5 (128)
passingTDs,46584,42317,99.7948,2004,2026,25210,7206,13914,254,integer=46584,1 (14175); 0 (11044); 2 (10854); 3 (6229); 4 (2748)
possessionTime,46592,42338,99.8444,2004,2026,25229,7191,13916,256,time_mm_ss=46592,30:00 (65); 30:41 (65); 29:19 (64); 31:28 (63); 31:47 (63)
puntReturnTDs,35374,32351,76.2923,2004,2026,20746,5059,9394,175,integer=35374,0 (33580); 1 (1713); 2 (78); 3 (3)
puntReturnYards,35374,32351,76.2923,2004,2026,20746,5059,9394,175,integer=35374,0 (3840); 1 (1283); 2 (1248); 4 (1136); 3 (1115)
puntReturns,35374,32351,76.2923,2004,2026,20746,5059,9394,175,integer=35374,1 (12345); 2 (9340); 3 (6200); 4 (3599); 5 (2112)
qbHurries,19511,17352,40.9207,2016,2026,3900,7145,8214,252,integer=19511,0 (5287); 1 (3745); 2 (3316); 3 (2419); 4 (1688)
rushingAttempts,46671,42391,99.9693,2004,2026,25291,7208,13916,256,integer=46671,35 (2015); 37 (1962); 34 (1934); 36 (1917); 38 (1883)
rushingTDs,46662,42384,99.9528,2004,2026,25287,7207,13914,254,integer=46662,1 (13141); 0 (12105); 2 (9736); 3 (6090); 4 (3190)
rushingYards,46671,42391,99.9693,2004,2026,25291,7208,13916,256,integer=46671,123 (249); 148 (243); 124 (238); 113 (234); 139 (233)
sacks,19511,17352,40.9207,2016,2026,3900,7145,8214,252,decimal=39; integer=19472,1 (4794); 2 (4184); 0 (3686); 3 (2949); 4 (1877)
tackles,19511,17352,40.9207,2016,2026,3900,7145,8214,252,integer=19511,36 (802); 38 (788); 39 (777); 37 (764); 33 (755)
tacklesForLoss,19511,17352,40.9207,2016,2026,3900,7145,8214,252,decimal=116; integer=19395,5 (2822); 6 (2630); 4 (2511); 7 (2086); 3 (2034)
thirdDownEff,46671,42391,99.9693,2004,2026,25291,7208,13916,256,compound_pair=46671,5-14 (1213); 5-13 (1201); 6-15 (1101); 6-14 (1099); 4-13 (1093)
totalFumbles,18893,17186,40.5292,2016,2026,3311,4362,11031,189,integer=18893,1 (7517); 2 (4903); 0 (3227); 3 (1871); 4 (906)
totalPenaltiesYards,46671,42391,99.9693,2004,2026,25291,7208,13916,256,compound_pair=46671,0-0 (3171); 3-25 (791); 4-30 (687); 5-45 (686); 5-40 (640)
totalYards,46671,42391,99.9693,2004,2026,25291,7208,13916,256,integer=46671,391 (176); 384 (173); 363 (172); 401 (170); 351 (169)
turnovers,46671,42391,99.9693,2004,2026,25291,7208,13916,256,integer=46671,1 (14648); 2 (11266); 0 (10442); 3 (6076); 4 (2771)
yardsPerPass,46671,42391,99.9693,2004,2026,25291,7208,13916,256,decimal=46665; other=6,6.8 (869); 6.3 (851); 6.0 (819); 6.7 (809); 6.9 (793)
yardsPerRushAttempt,46671,42391,99.9693,2004,2026,25291,7208,13916,256,decimal=46665; other=6,3.8 (1156); 3.6 (1087); 3.9 (1085); 4.3 (1079); 4.0 (1077)
