source_category,proposed_name,primitive_or_derived,definition,raw_format,status,caveats,coverage_start,training_coverage,development_coverage,modern_coverage,fbs_fbs_support,fbs_fcs_support,fcs_fcs_support,official_crosscheck
completionAttempts,completions/pass_attempts,primitive,Compound completion-attempt string split at the hyphen.,completion-attempt integer pair,trusted_primitive,Keep both components and preserve malformed/missing source values as missing.,2004,58.28,60.77,99.28,97.6,95.15,20.07,verified
firstDowns,first_downs,primitive,"Total first downs; category is not split into rushing, passing, and penalty in the cached payloads.",integer string,trusted_primitive,Component first-down categories are unsupported here.,2004,58.28,60.77,99.28,97.6,95.15,20.07,mismatch; verified
fumblesLost,fumbles_lost,primitive,CFBD fumblesLost team-game value.,integer string,trusted_primitive,More consistently populated than totalFumbles in the cached corpus; keep separate.,2004,58.28,60.77,99.28,97.6,95.15,20.07,verified
fumblesRecovered,fumbles_recovered,primitive,"CFBD fumblesRecovered team-game value, retained as a defensive/recovery context field.",integer string,usable_with_caveat,Not interchangeable with totalFumbles or fumblesLost; coverage is slightly incomplete in later eras.,2004,58.28,60.76,93.78,95.43,93.35,17.49,
interceptions,interceptions_thrown,primitive,"Offensive interceptions thrown, matching the INT component of completionAttempts and official sample box scores.",integer string,trusted_primitive,Keep separate from fumbles and turnovers.,2004,58.28,60.77,99.28,97.6,95.15,20.07,verified
rushingAttempts + completionAttempts,offensive_plays_derived,derived,rushing_attempts + pass_attempts; no direct offensive-play category is present.,integer sum,trusted_derived,"Agrees with direct official plays in the 2018, 2021, and 2024 samples; source-wide direct comparison is impossible.",2004,58.28,60.77,99.28,97.6,95.15,20.07,verified
plays/offensivePlays/totalPlays (not observed),offensive_plays_direct,primitive,Direct CFBD offensive play count.,unsupported,unsupported,No direct category observed in any cached /games/teams payload.,,,,,,,,
netPassingYards,passing_yards,primitive,CFBD netPassingYards; the available passing-yard field is net rather than a separately observed gross passing total.,integer string,unresolved,Official 2004 cross-check shows the labeled field includes 49/3 sack yards while 2018-2024 cross-checks match net passing. Treat 2004-2011 as a distinct semantic regime until resolved.,2004,58.28,60.77,99.28,97.6,95.15,20.07,mismatch; verified
totalPenaltiesYards,penalties/penalty_yards,primitive,Compound accepted penalty count and penalty yards as supplied by CFBD.,count-yards integer pair,usable_with_caveat,No independent verification of provider penalty inclusion rules beyond official sample agreement.,2004,58.28,60.77,99.28,97.6,95.15,20.07,mismatch; verified
punts/puntYards (not observed),punts/punt_yards,primitive,Punt count and punt yards.,unsupported,unsupported,Not present in cached /games/teams team stats; official sample only confirms these are separate box-score fields.,,,,,,,,unavailable
rushingAttempts,rushing_attempts,primitive,CFBD rushing attempts team-game value.,integer string,trusted_primitive,"Matches official sample values, including the 9-overtime game.",2004,58.28,60.77,99.28,97.6,95.15,20.07,verified
rushingYards,rushing_yards,primitive,CFBD net rushing yards team-game value.,integer string,trusted_primitive,Can be negative in principle; 2024 Arkansas sample differs from official by 3 yards.,2004,58.28,60.77,99.28,97.6,95.15,20.07,verified; mismatch
sackYards (not observed),sack_yards,primitive,Sack yards lost; no direct category was found in the cached payloads.,unsupported,unsupported,"Official game books expose this in some eras, but CFBD does not in this cache.",,,,,,,,unavailable
sacks,sacks,primitive,Sacks recorded against the team in the CFBD team-game row.,integer string,usable_with_caveat,Appears only on a subset of historical rows; sack yards are not exposed in the cached payloads.,2016,8.3,60.3,57.39,45.17,44.02,2.91,unavailable; verified
totalFumbles,total_fumbles,primitive,CFBD totalFumbles team-game value where supplied.,integer string,usable_with_caveat,Historically intermittent; missing is not zero.,2016,7.03,31.6,78.62,28.76,29.27,13.83,unavailable; verified; mismatch
totalYards,total_yards,primitive,CFBD totalYards team-game value.,integer string,trusted_primitive,"One 2024 official sample has a 3-yard discrepancy in the CFBD total, driven by rushingYards; retain raw value.",2004,58.28,60.77,99.28,97.6,95.15,20.07,verified; mismatch
turnovers,turnovers_reported,primitive,"CFBD reported team turnover total, retained only for reconciliation context.",integer string,usable_with_caveat,"Not used to replace the separate interceptions_thrown, total_fumbles, and fumbles_lost fields.",2004,58.28,60.77,99.28,97.6,95.15,20.07,
