population,candidate,same_population_keys,target_seasons,n_target_seasons,n_team_seasons,mean_delta_nll,median_delta_nll,wins,losses,ties,worst_season_regression,best_season_improvement,mean_delta_crps,mean_delta_expected_rank_mae,mean_delta_median_rank_mae,mean_delta_top5_brier,mean_delta_top10_brier,mean_delta_top25_brier,descriptive_bootstrap
full_fbs_imputed,missingness_recruiting_with_indicators,True,2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,19,2391,-0.009895787269872988,-0.016641997900896044,16,3,0,0.03391360815627564,-0.035464705480662495,-0.0010490416638112236,-0.3475295321066129,-0.1775214082918288,-0.00036100133174370554,-0.00035234329129605344,-0.0010205314755419377,season-level bootstrap reported in summary.json
full_fbs_imputed,missingness_recruiting_without_indicators,True,2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,19,2391,-0.01059593946172575,-0.016489082456151216,16,3,0,0.03192609044593109,-0.03419326724371352,-0.0011800376055424912,-0.36969995459108773,-0.20565886747850265,-0.00035794666510322775,-0.00033867776114947836,-0.0010342830585012472,season-level bootstrap reported in summary.json
full_fbs_imputed,missingness_returning_with_indicators,True,2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,19,2391,-0.0064451322392253,-1.5059306074149958e-05,11,8,0,0.052757023762200816,-0.05612569292803293,-0.0013077699471316358,-0.3607785610442807,-0.3778227639063381,0.00035607443275479717,0.0002304400567076162,-0.0007967491199507231,season-level bootstrap reported in summary.json
full_fbs_imputed,missingness_returning_without_indicators,True,2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,19,2391,-0.005398124964412189,0.0,7,4,8,0.05529145715941386,-0.055353572943957374,-0.0012779405452296086,-0.3534404865323727,-0.3701077206730171,0.0004139025005341364,0.00024243857909991858,-0.0008628154679905348,season-level bootstrap reported in summary.json
full_fbs_imputed,missingness_talent_with_indicators,True,2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,19,2391,-0.0027249514727246157,6.650966492216526e-06,9,10,0,0.0140124289636967,-0.018272427928028634,-0.00025865460954367355,-0.1768510560537033,-0.04173842223911743,-0.00036422219295704,-0.00035554241473952726,-0.0002488584280984903,season-level bootstrap reported in summary.json
full_fbs_imputed,missingness_talent_without_indicators,True,2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,19,2391,-0.0027210752878762926,-8.881784197001252e-16,8,2,9,0.014187064843143027,-0.018187928969771505,-0.0002571334821457254,-0.17724819671283593,-0.043828252424959066,-0.0003639914724210197,-0.00034552637384392427,-0.00021758957009022076,season-level bootstrap reported in summary.json
interaction_interaction_coach_total,interaction_coach_total,True,2017;2018;2019;2020;2021;2022;2023;2024;2025,9,930,-0.018793820222336284,-0.024061224546316318,7,2,0,0.033747451131398876,-0.05447326739782721,-0.0027808512548841285,-0.7411198115196156,-0.6972235437100301,0.0004001640026026165,0.001087898485617499,-0.0016485467442030942,season-level bootstrap reported in summary.json
interaction_interaction_talent_passing,interaction_talent_passing,True,2018;2019;2020;2021;2022;2023;2024;2025,8,1039,0.02721818333648962,0.004294097793485108,3,5,0,0.22125995408725085,-0.02336795790018087,-7.758848453384183e-05,-0.11222221344902517,-0.03435233685638295,-0.0006169676477076965,-0.0010195612661859478,-0.0005528451684930248,season-level bootstrap reported in summary.json
interaction_interaction_talent_total,interaction_talent_total,True,2018;2019;2020;2021;2022;2023;2024;2025,8,1039,-0.018051565423525373,-0.023158871045354523,5,3,0,0.026815457195375814,-0.0558624598891857,-0.0025294485030988717,-0.7339271271132288,-0.5492182193919253,-0.0007428664659025498,-0.0010802746650819448,-0.0018843254380827125,season-level bootstrap reported in summary.json
same_all_context,same_coach,True,2018;2019;2020;2021;2022;2023;2024;2025,8,818,0.000944921165153989,0.0009183198458240227,4,4,0,0.011151519891951622,-0.00608299759730091,-0.00015172811326866383,-0.12450922642785267,-0.0751857446464479,0.00032273904039501627,0.001308589802856028,0.0008072134927104109,season-level bootstrap reported in summary.json
same_all_context,same_coach_returning,True,2018;2019;2020;2021;2022;2023;2024;2025,8,818,-0.011873017957837684,-0.019914000525220743,5,3,0,0.03997877901532032,-0.04989204095763711,-0.0019208615298875135,-0.5682012592411629,-0.49459290139027967,0.0004628391701761201,0.0011807258971430579,-0.0007007329876907919,season-level bootstrap reported in summary.json
same_all_context,same_full_c,True,2018;2019;2020;2021;2022;2023;2024;2025,8,818,-0.018530330194836964,-0.018496507826205377,6,2,0,0.02048385712003853,-0.0661363748258168,-0.003001145555894735,-0.9370537531094048,-0.8466610936755399,-0.00025953605357128607,0.0002896300703009447,-0.0023242603488244163,season-level bootstrap reported in summary.json
same_all_context,same_h,True,2018;2019;2020;2021;2022;2023;2024;2025,8,818,0.0,0.0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,season-level bootstrap reported in summary.json
same_all_context,same_recruiting,True,2018;2019;2020;2021;2022;2023;2024;2025,8,818,-0.007950486388729527,-0.00943110340504516,6,2,0,0.01508921602886737,-0.027515504637387167,-0.0012452784502792122,-0.3478928631624969,-0.39207478050337663,-0.0007028431563610825,-0.00175693739637694,-0.0026524206625566675,season-level bootstrap reported in summary.json
same_all_context,same_recruiting_returning,True,2018;2019;2020;2021;2022;2023;2024;2025,8,818,-0.022957052378147713,-0.020082732288936977,6,2,0,0.01277623411505946,-0.06271379386909626,-0.0029279553519823472,-0.7839084619206917,-0.6638776304348699,-0.0008961761900744294,-0.0020799990374619918,-0.003681275347527607,season-level bootstrap reported in summary.json
same_all_context,same_recruiting_talent,True,2018;2019;2020;2021;2022;2023;2024;2025,8,818,-0.0076068709714331995,-0.010211177726884735,6,2,0,0.01493565468227942,-0.025457817959711804,-0.0012062384022466077,-0.33463305239565333,-0.3997035325014111,-0.00067984158018217,-0.0017368057952682411,-0.0025454906424984035,season-level bootstrap reported in summary.json
same_all_context,same_recruiting_talent_returning,True,2018;2019;2020;2021;2022;2023;2024;2025,8,818,-0.022157995742165815,-0.021518940926187557,6,2,0,0.012119410928947083,-0.06280653862603192,-0.002862061612240738,-0.7554954405086023,-0.6872297435573467,-0.0008753811945572515,-0.0020497865459959894,-0.0034332927031599262,season-level bootstrap reported in summary.json
same_all_context,same_returning,True,2018;2019;2020;2021;2022;2023;2024;2025,8,818,-0.014307923857397209,-0.014812723940734518,6,2,0,0.0371722728231072,-0.04783131736525181,-0.0019243742381810681,-0.45080755800481764,-0.41635789670180223,7.957052622171003e-06,-0.00034665394401678764,-0.001616535043212396,season-level bootstrap reported in summary.json
same_all_context,same_talent,True,2018;2019;2020;2021;2022;2023;2024;2025,8,818,-0.001593625560183054,0.0024316337329119975,3,5,0,0.018612651090350596,-0.03492156198049301,-0.0003162460880322491,-0.21435132639522259,-0.16124517020811258,-0.0007356792950035477,-0.0012121513501458982,-0.0013147987956947755,season-level bootstrap reported in summary.json
same_all_context,same_talent_returning,True,2018;2019;2020;2021;2022;2023;2024;2025,8,818,-0.02263230790970805,-0.020885213042470152,6,2,0,0.02553331239983425,-0.07030407707893094,-0.0029207326172505012,-0.7977547868084405,-0.7133107896973692,-0.0007915920703187531,-0.001673467650118636,-0.0031571579130737094,season-level bootstrap reported in summary.json
same_rtp,rtp_h,True,2018;2019;2020;2021;2022;2023;2024;2025,8,1028,0.0,0.0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,season-level bootstrap reported in summary.json
