population,kind,season,n_team_seasons,n_seasons,teams_per_season,features_required,coverage_definition
R,summary,all,2586,21,,recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend,all raw source values observed before imputation
R,season,2005,116,1,116,recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend,all raw source values observed before imputation
R,season,2006,117,1,117,recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend,all raw source values observed before imputation
R,season,2007,115,1,115,recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend,all raw source values observed before imputation
R,season,2008,117,1,117,recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend,all raw source values observed before imputation
R,season,2009,115,1,115,recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend,all raw source values observed before imputation
R,season,2010,117,1,117,recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend,all raw source values observed before imputation
R,season,2011,116,1,116,recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend,all raw source values observed before imputation
R,season,2012,120,1,120,recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend,all raw source values observed before imputation
R,season,2013,120,1,120,recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend,all raw source values observed before imputation
R,season,2014,124,1,124,recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend,all raw source values observed before imputation
R,season,2015,124,1,124,recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend,all raw source values observed before imputation
R,season,2016,127,1,127,recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend,all raw source values observed before imputation
R,season,2017,128,1,128,recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend,all raw source values observed before imputation
R,season,2018,127,1,127,recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend,all raw source values observed before imputation
R,season,2019,129,1,129,recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend,all raw source values observed before imputation
R,season,2020,127,1,127,recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend,all raw source values observed before imputation
R,season,2021,127,1,127,recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend,all raw source values observed before imputation
R,season,2022,127,1,127,recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend,all raw source values observed before imputation
R,season,2023,130,1,130,recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend,all raw source values observed before imputation
R,season,2024,130,1,130,recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend,all raw source values observed before imputation
R,season,2025,133,1,133,recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend,all raw source values observed before imputation
T,summary,all,1422,11,,talent_composite,all raw source values observed before imputation
T,season,2015,127,1,127,talent_composite,all raw source values observed before imputation
T,season,2016,128,1,128,talent_composite,all raw source values observed before imputation
T,season,2017,128,1,128,talent_composite,all raw source values observed before imputation
T,season,2018,129,1,129,talent_composite,all raw source values observed before imputation
T,season,2019,130,1,130,talent_composite,all raw source values observed before imputation
T,season,2020,127,1,127,talent_composite,all raw source values observed before imputation
T,season,2021,127,1,127,talent_composite,all raw source values observed before imputation
T,season,2022,130,1,130,talent_composite,all raw source values observed before imputation
T,season,2023,131,1,131,talent_composite,all raw source values observed before imputation
T,season,2024,133,1,133,talent_composite,all raw source values observed before imputation
T,season,2025,132,1,132,talent_composite,all raw source values observed before imputation
P,summary,all,1549,12,,returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
P,season,2014,125,1,125,returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
P,season,2015,127,1,127,returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
P,season,2016,128,1,128,returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
P,season,2017,128,1,128,returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
P,season,2018,129,1,129,returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
P,season,2019,130,1,130,returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
P,season,2020,127,1,127,returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
P,season,2021,127,1,127,returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
P,season,2022,130,1,130,returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
P,season,2023,131,1,131,returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
P,season,2024,133,1,133,returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
P,season,2025,134,1,134,returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
RTP,summary,all,1407,11,,recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend;talent_composite;returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
RTP,season,2015,124,1,124,recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend;talent_composite;returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
RTP,season,2016,127,1,127,recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend;talent_composite;returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
RTP,season,2017,128,1,128,recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend;talent_composite;returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
