population,feature,n,n_observed,mean,median,std,p10,p90
RTP,coach_tenure_seasons,1407,1122,4.496434937611408,3.0,4.155241277119637,1.0,10.0
RTP,recruiting_class_rank,1407,1407,65.22814498933901,64.0,38.2285217599073,13.0,117.40000000000009
RTP,recruiting_class_points,1407,1407,177.897789623312,172.19,54.82354069924263,115.618,258.76000000000005
RTP,recruiting_points_2y_mean,1407,1407,176.93525941719972,172.51,53.27708663179503,116.029,256.53200000000004
RTP,recruiting_points_3y_mean,1407,1407,175.90916133617625,171.78333333333333,52.885356331790675,114.67133333333334,256.978
RTP,recruiting_points_4y_mean,1407,1407,175.1194870883677,170.6875,52.69105727309515,114.4565,257.25
RTP,recruiting_points_trend,1407,1407,4.042395167022033,4.659999999999997,29.411613410889554,-29.47199999999999,37.33000000000002
RTP,talent_composite,1407,1407,576.4561904761905,576.03,188.46853931133953,345.572,841.8100000000002
RTP,returning_pct_ppa,1407,1407,0.5688557213930349,0.593,0.2539080354859279,0.24259999999999998,0.8594
RTP,returning_pct_passing_ppa,1407,1407,0.37061194029850747,0.706,4.348640574952177,0.0,1.0
RTP,returning_pct_receiving_ppa,1407,1407,0.5678081023454158,0.579,0.22471770206240638,0.2636,0.8524
RTP,returning_pct_rushing_ppa,1407,1407,0.49191684434968014,0.63,2.2508769304711156,0.057,1.0246000000000002
ALL_CONTEXT,coach_tenure_seasons,1122,1122,4.496434937611408,3.0,4.155241277119637,1.0,10.0
ALL_CONTEXT,recruiting_class_rank,1122,1122,64.32352941176471,63.0,38.20336284933302,13.0,117.0
ALL_CONTEXT,recruiting_class_points,1122,1122,178.95298573975043,173.32,55.178358464781184,115.39,259.596
ALL_CONTEXT,recruiting_points_2y_mean,1122,1122,178.02502228163993,174.05,53.690215669776016,115.8535,259.12149999999997
ALL_CONTEXT,recruiting_points_3y_mean,1122,1122,176.74906120023766,173.44666666666663,53.4654380563533,114.214,258.28733333333327
ALL_CONTEXT,recruiting_points_4y_mean,1122,1122,175.9444526143791,173.06125,53.28517653689059,113.72925,258.1545
ALL_CONTEXT,recruiting_points_trend,1122,1122,4.7578163992869875,5.38000000000001,29.409286523540285,-29.337000000000003,38.09899999999998
ALL_CONTEXT,talent_composite,1122,1122,576.7611051693405,582.5699999999999,192.7064611200773,341.135,845.929
ALL_CONTEXT,returning_pct_ppa,1122,1122,0.5759358288770053,0.5985,0.2338699712233258,0.249,0.8669
ALL_CONTEXT,returning_pct_passing_ppa,1122,1122,0.3327370766488414,0.713,4.856196891504001,0.0,1.001
ALL_CONTEXT,returning_pct_receiving_ppa,1122,1122,0.5749768270944742,0.591,0.22518450228440912,0.2691,0.858
ALL_CONTEXT,returning_pct_rushing_ppa,1122,1122,0.5173689839572193,0.6325000000000001,2.1328574498273425,0.0671,1.0208
