family,formulation,target_season,delta_nll,raw_missingness_present
recruiting,with_indicators,2007,-0.010218303437515175,True
recruiting,with_indicators,2008,0.03391360815627564,True
recruiting,with_indicators,2009,0.011150505032660796,True
recruiting,with_indicators,2010,-0.024781712116444865,True
recruiting,with_indicators,2011,-0.018109975448618698,True
recruiting,with_indicators,2012,-0.008061823584410988,True
recruiting,with_indicators,2013,-0.035464705480662495,True
recruiting,with_indicators,2014,-0.020375946849300774,True
recruiting,with_indicators,2015,-0.018601175429030725,True
recruiting,with_indicators,2016,-0.010893083528504377,True
recruiting,with_indicators,2017,-0.031444413332461174,True
recruiting,with_indicators,2018,-0.018708681298562624,True
recruiting,with_indicators,2019,-0.002024302769312314,True
recruiting,with_indicators,2020,0.020278808190492548,True
recruiting,with_indicators,2021,-0.0007926993657187964,True
recruiting,with_indicators,2022,-0.02005505854386236,True
recruiting,with_indicators,2023,-0.016641997900896044,True
recruiting,with_indicators,2024,-0.01711996207556954,True
recruiting,with_indicators,2025,-6.903834614480076e-05,True
recruiting,without_indicators,2007,-0.003994733295365371,False
recruiting,without_indicators,2008,0.03192609044593109,False
recruiting,without_indicators,2009,-0.001809297602891391,False
recruiting,without_indicators,2010,-0.033140551425220544,False
recruiting,without_indicators,2011,-0.016489082456151216,False
recruiting,without_indicators,2012,-0.006036360505897953,False
recruiting,without_indicators,2013,-0.03419326724371352,False
recruiting,without_indicators,2014,-0.02133084551230624,False
recruiting,without_indicators,2015,-0.01957202332809249,False
recruiting,without_indicators,2016,-0.011325656165810827,False
recruiting,without_indicators,2017,-0.0302161232997884,False
recruiting,without_indicators,2018,-0.017763669822661754,False
recruiting,without_indicators,2019,-0.001883080870981324,False
recruiting,without_indicators,2020,0.019504244841050067,False
recruiting,without_indicators,2021,-0.0005831932844690968,False
recruiting,without_indicators,2022,-0.01970012887646977,False
recruiting,without_indicators,2023,-0.016722474842056023,False
recruiting,without_indicators,2024,-0.018108341146280793,False
recruiting,without_indicators,2025,0.00011564461838631246,False
talent,with_indicators,2007,4.095617722299494e-05,True
talent,with_indicators,2008,2.7763595157992427e-05,True
talent,with_indicators,2009,-3.701932546729125e-05,True
talent,with_indicators,2010,3.435683906438669e-05,True
talent,with_indicators,2011,3.799122929581955e-05,True
talent,with_indicators,2012,1.3591404951718289e-05,True
talent,with_indicators,2013,9.596979817949602e-06,True
talent,with_indicators,2014,6.650966492216526e-06,True
talent,with_indicators,2015,0.0001023657688259405,True
talent,with_indicators,2016,-0.0008501799217928152,True
talent,with_indicators,2017,-0.011027815684395037,True
talent,with_indicators,2018,-0.007564708024971445,True
talent,with_indicators,2019,-0.00708788481391931,True
talent,with_indicators,2020,0.0140124289636967,True
talent,with_indicators,2021,-0.001326988095431858,True
talent,with_indicators,2022,-0.018272427928028634,True
talent,with_indicators,2023,-0.012962153204250093,True
talent,with_indicators,2024,-0.007876482919688677,True
talent,with_indicators,2025,0.0009458800116517452,True
talent,without_indicators,2007,8.881784197001252e-16,False
talent,without_indicators,2008,-8.881784197001252e-15,False
talent,without_indicators,2009,-8.881784197001252e-16,False
talent,without_indicators,2010,0.0,False
talent,without_indicators,2011,0.0,False
talent,without_indicators,2012,0.0,False
talent,without_indicators,2013,0.0,False
talent,without_indicators,2014,0.0,False
talent,without_indicators,2015,7.993605777301127e-15,False
talent,without_indicators,2016,-0.0008463802595413128,False
talent,without_indicators,2017,-0.011077933544549445,False
talent,without_indicators,2018,-0.00748612470132759,False
talent,without_indicators,2019,-0.00687675181381131,False
talent,without_indicators,2020,0.014187064843143027,False
talent,without_indicators,2021,-0.0014141080732796851,False
talent,without_indicators,2022,-0.018187928969771505,False
talent,without_indicators,2023,-0.012881442346742489,False
talent,without_indicators,2024,-0.007850363552098116,False
talent,without_indicators,2025,0.0007335379483297544,False
returning,with_indicators,2007,1.2475080870544275e-05,True
returning,with_indicators,2008,6.711623036004255e-06,True
returning,with_indicators,2009,-1.1442235969383319e-05,True
returning,with_indicators,2010,-4.636718260986328e-05,True
returning,with_indicators,2011,1.0971519071034663e-06,True
returning,with_indicators,2012,-1.5059306074149958e-05,True
returning,with_indicators,2013,-2.486300350934556e-05,True
returning,with_indicators,2014,0.00019725881883836394,True
returning,with_indicators,2015,0.034588424904289816,True
returning,with_indicators,2016,-0.01113530878630975,True
returning,with_indicators,2017,-0.05612569292803293,True
returning,with_indicators,2018,-0.0299884014693923,True
returning,with_indicators,2019,-0.04390947142984114,True
returning,with_indicators,2020,-0.0288062264708131,True
returning,with_indicators,2021,0.0060944769228825635,True
returning,with_indicators,2022,-0.029949899948632286,True
returning,with_indicators,2023,-0.035886556039262274,True
returning,with_indicators,2024,0.019784307991140615,True
returning,with_indicators,2025,0.052757023762200816,True
returning,without_indicators,2007,1.7763568394002505e-15,False
returning,without_indicators,2008,-8.881784197001252e-15,False
returning,without_indicators,2009,-8.881784197001252e-16,False
returning,without_indicators,2010,0.0,False
returning,without_indicators,2011,0.0,False
returning,without_indicators,2012,0.0,False
returning,without_indicators,2013,0.0,False
returning,without_indicators,2014,0.0,False
returning,without_indicators,2015,0.048939481574956645,False
returning,without_indicators,2016,-0.011849811198585414,False
returning,without_indicators,2017,-0.055353572943957374,False
returning,without_indicators,2018,-0.030079135671115864,False
returning,without_indicators,2019,-0.04336558580265404,False
returning,without_indicators,2020,-0.029791070520385432,False
returning,without_indicators,2021,0.005037985788451493,False
returning,without_indicators,2022,-0.0289263845047687,False
returning,without_indicators,2023,-0.03410624382951699,False
returning,without_indicators,2024,0.021638505624338222,False
returning,without_indicators,2025,0.05529145715941386,False
