variant_key,week,endpoint,game,game_id,gippy_home_margin,opening_home_margin,cfbd_stored_later_home_margin,actual_home_margin,gippy_minus_open,gippy_minus_later,market_move,market_movement_toward_gippy,flags
context-1.2,1,opening,North Texas at Indiana,401858425,21.005714006433305,40.5,40.5,36.0,-19.494285993566695,-19.494285993566695,0.0,0.0,
context-1.2,1,opening,Oklahoma State at Tulsa,401856772,5.117959769036382,-11.5,-13.0,14.0,16.617959769036382,18.117959769036382,-1.5,-1.5,model/CFBD-opening favorite inversion; model/CFBD-stored favorite inversion
context-1.2,1,opening,Ball State at Ohio State,401858432,34.59168694930152,50.5,51.0,53.0,-15.908313050698482,-16.40831305069848,0.5,-0.5,
context-1.2,1,opening,Missouri State at Texas A&M,401856668,24.33518177184632,38.5,40.5,50.0,-14.164818228153681,-16.16481822815368,2.0,-2.0,
context-1.2,1,opening,Ohio at Nebraska,401858430,10.338124907661884,23.5,24.0,28.0,-13.161875092338116,-13.661875092338116,0.5,-0.5,
context-1.2,1,opening,Kent State at South Carolina,401856665,21.826011483512367,34.5,36.5,57.0,-12.673988516487633,-14.673988516487633,2.0,-2.0,
context-1.2,1,opening,Marshall at Penn State,401858434,11.108572451035283,23.5,23.0,45.0,-12.391427548964717,-11.891427548964717,-0.5,0.5,
context-1.2,1,opening,UAB at Illinois,401858424,15.125313966613257,27.5,26.5,19.0,-12.374686033386743,-11.374686033386743,-1.0,1.0,
context-1.2,1,opening,Western Michigan at Michigan,401858428,14.707423204573692,26.5,27.5,1.0,-11.792576795426308,-12.792576795426308,1.0,-1.0,
context-1.2,1,opening,Washington State at Washington,401858437,9.997152532301515,21.5,23.0,14.0,-11.502847467698485,-13.002847467698485,1.5,-1.5,
context-1.2,2,opening,Southern Miss at Auburn,401856671,6.454717095987846,30.0,33.0,35.0,-23.545282904012154,-26.545282904012154,3.0,-3.0,CFBD stored field moved ≥3 points away from model
context-1.2,2,opening,Louisiana Tech at LSU,401867796,15.33809471611509,33.5,35.0,31.0,-18.16190528388491,-19.66190528388491,1.5,-1.5,
context-1.2,2,opening,Rice at Notre Dame,401859184,28.10672832203048,44.5,45.0,52.0,-16.39327167796952,-16.89327167796952,0.5,-0.5,
context-1.2,2,opening,Charlotte at Ole Miss,401856676,33.34338036604843,47.5,44.5,32.0,-14.156619633951571,-11.156619633951571,-3.0,3.0,
context-1.2,2,opening,Texas Tech at Oregon State,401856783,-14.096103623501817,-26.5,-25.5,-11.0,12.403896376498183,11.403896376498183,1.0,1.0,
context-1.2,2,opening,Sacramento State at Fresno State,401860883,6.31193925959374,18.0,18.5,46.0,-11.68806074040626,-12.18806074040626,0.5,-0.5,
context-1.2,2,opening,App State at East Carolina,401864571,-3.5831974311255945,8.0,6.5,-3.0,-11.583197431125594,-10.083197431125594,-1.5,1.5,model/CFBD-opening favorite inversion; model/CFBD-stored favorite inversion
context-1.2,2,opening,Louisiana at USC,401858445,19.61253028987524,31.0,31.0,19.0,-11.387469710124758,-11.387469710124758,0.0,0.0,
context-1.2,2,opening,Georgia Southern at Clemson,401858219,11.058697749689898,21.0,19.5,15.0,-9.941302250310102,-8.441302250310102,-1.5,1.5,
context-1.2,2,opening,Penn State at Temple,401858442,-14.017032159841916,-23.5,-24.0,-18.0,9.482967840158084,9.982967840158084,-0.5,-0.5,
context-1.2,3,opening,Kent State at Ohio State,401858454,36.03224249640632,53.0,52.0,56.0,-16.96775750359368,-15.967757503593681,-1.0,1.0,
context-1.2,3,opening,North Texas at Texas State,401860889,-8.768446446837771,3.0,3.0,14.0,-11.768446446837771,-11.768446446837771,0.0,0.0,model/CFBD-opening favorite inversion; model/CFBD-stored favorite inversion
context-1.2,3,opening,Akron at Minnesota,401858451,16.11352227343896,26.5,22.5,34.0,-10.38647772656104,-6.38647772656104,-4.0,4.0,
context-1.2,3,opening,Western Kentucky at Indiana,401858449,33.914011095557164,44.0,45.0,38.0,-10.085988904442836,-11.085988904442836,1.0,-1.0,
context-1.2,3,opening,Michigan State at Notre Dame,401858453,20.17811106980396,30.0,29.0,17.0,-9.821888930196039,-8.821888930196039,-1.0,1.0,
context-1.2,3,opening,Eastern Michigan at Wisconsin,401858460,14.797770357863007,24.5,23.5,44.0,-9.702229642136993,-8.702229642136993,-1.0,1.0,
context-1.2,3,opening,UConn at Southern Miss,401861963,6.011031350188629,-3.5,-3.5,-28.0,9.51103135018863,9.51103135018863,0.0,0.0,model/CFBD-opening favorite inversion; model/CFBD-stored favorite inversion
context-1.2,3,opening,Northern Illinois at Arizona,401856793,25.28413667320482,34.5,34.5,25.0,-9.21586332679518,-9.21586332679518,0.0,0.0,
context-1.2,3,opening,Louisiana Tech at Baylor,401867804,9.900256327788721,19.0,20.0,17.0,-9.099743672211279,-10.099743672211279,1.0,-1.0,
