variant_key,variant_label,week,game_id,game,kickoff,timing_classification,gippy_expected_home_margin,opening_home_margin,cfbd_stored_later_home_margin,cfbd_field_delta,cfbd_field_change_toward_model,actual_home_margin,flags
context-1.2,Context 1.2,1,401856772,Oklahoma State at Tulsa,2026-09-05T19:45:00.000Z,reconstruction_without_effective_cutoff,5.117959769036382,-11.5,-13.0,-1.5,-1.5,14.0,model/CFBD-opening favorite inversion; model/CFBD-stored favorite inversion
context-1.2,Context 1.2,1,401856780,Coastal Carolina at West Virginia,2026-09-05T16:00:00.000Z,reconstruction_without_effective_cutoff,10.767552115402843,17.5,21.0,3.5,-3.5,7.0,CFBD stored field moved ≥3 points away from model
context-1.2,Context 1.2,1,401858202,NC State at Virginia,2026-08-29T19:30:00.000Z,reconstruction_without_effective_cutoff,-2.7642662209743283,3.5,4.0,0.5,-0.5,26.0,model/CFBD-opening favorite inversion; model/CFBD-stored favorite inversion
context-1.2,Context 1.2,1,401858204,Akron at Wake Forest,2026-09-03T23:00:00.000Z,reconstruction_without_effective_cutoff,13.177369474490092,22.5,27.5,5.0,-5.0,22.0,CFBD stored field moved ≥3 points away from model
context-1.2,Context 1.2,1,401858206,Miami at Stanford,2026-09-05T01:00:00.000Z,reconstruction_without_effective_cutoff,-14.741733156957455,-21.5,-24.5,-3.0,-3.0,-39.0,CFBD stored field moved ≥3 points away from model
context-1.2,Context 1.2,1,401858210,UCLA at California,2026-09-06T02:30:00.000Z,reconstruction_without_effective_cutoff,5.014973309130292,3.5,-2.5,-6.0,-6.0,-21.0,model/CFBD-stored favorite inversion; CFBD fields crossed zero away from model; CFBD stored field moved ≥3 points away from model
context-1.2,Context 1.2,1,401858212,SMU at Florida State,2026-09-07T23:30:00.000Z,reconstruction_without_effective_cutoff,4.970959078608015,-2.5,-3.0,-0.5,-0.5,-3.0,model/CFBD-opening favorite inversion; model/CFBD-stored favorite inversion
context-1.2,Context 1.2,1,401858438,Wisconsin at Notre Dame,2026-09-06T23:30:00.000Z,reconstruction_without_effective_cutoff,14.732572177544142,16.5,20.5,4.0,-4.0,28.0,CFBD stored field moved ≥3 points away from model
context-1.2,Context 1.2,1,401864432,Western Kentucky at Nevada,2026-09-06T02:30:00.000Z,reconstruction_without_effective_cutoff,-8.727461264467783,-4.0,1.0,5.0,-5.0,35.0,model/CFBD-stored favorite inversion; CFBD fields crossed zero away from model; CFBD stored field moved ≥3 points away from model
context-1.2,Context 1.2,1,401864497,UNLV at Hawai'i,2026-09-06T02:00:00.000Z,reconstruction_without_effective_cutoff,4.35075987470592,-1.5,-3.0,-1.5,-1.5,-15.0,model/CFBD-opening favorite inversion; model/CFBD-stored favorite inversion
context-1.2,Context 1.2,1,401864577,Jacksonville State at North Dakota State,2026-08-29T21:30:00.000Z,reconstruction_without_effective_cutoff,10.275618512562886,10.0,7.0,-3.0,-3.0,26.0,CFBD stored field moved ≥3 points away from model
context-1.2,Context 1.2,2,401856671,Southern Miss at Auburn,2026-09-12T23:45:00.000Z,pregame_artifact_in_reconstruction_study,6.454717095987846,30.0,33.0,3.0,-3.0,35.0,CFBD stored field moved ≥3 points away from model
context-1.2,Context 1.2,2,401856677,Mississippi State at Minnesota,2026-09-12T19:30:00.000Z,pregame_artifact_in_reconstruction_study,5.106678173823018,-1.0,1.0,2.0,2.0,-25.0,model/CFBD-opening favorite inversion; CFBD fields crossed zero toward model
context-1.2,Context 1.2,2,401856679,Oklahoma at Michigan,2026-09-12T16:00:00.000Z,pregame_artifact_in_reconstruction_study,-2.7854867420218583,1.5,-4.5,-6.0,2.570973484043716,7.0,model/CFBD-opening favorite inversion; CFBD fields crossed zero toward model
context-1.2,Context 1.2,2,401860884,UTSA at Texas State,2026-09-12T19:30:00.000Z,pregame_artifact_in_reconstruction_study,-6.729779084858162,-1.0,1.5,2.5,-2.5,-5.0,model/CFBD-stored favorite inversion; CFBD fields crossed zero away from model
context-1.2,Context 1.2,2,401864571,App State at East Carolina,2026-09-12T16:00:00.000Z,pregame_artifact_in_reconstruction_study,-3.5831974311255945,8.0,6.5,-1.5,1.5,-3.0,model/CFBD-opening favorite inversion; model/CFBD-stored favorite inversion
context-1.2,Context 1.2,3,401858232,Virginia Tech at Maryland,2026-09-19T23:30:00.000Z,pregame_artifact_in_reconstruction_study,4.652453883784622,-3.5,-2.5,1.0,1.0,-9.0,model/CFBD-opening favorite inversion; model/CFBD-stored favorite inversion
context-1.2,Context 1.2,3,401860887,James Madison at San Diego State,2026-09-20T02:00:00.000Z,pregame_artifact_in_reconstruction_study,-1.3456341063064237,2.5,3.0,0.5,-0.5,-13.0,model/CFBD-opening favorite inversion; model/CFBD-stored favorite inversion
context-1.2,Context 1.2,3,401860888,Fresno State at San José State,2026-09-20T03:00:00.000Z,pregame_artifact_in_reconstruction_study,-8.443195222092994,-7.0,-4.0,3.0,-3.0,-16.0,CFBD stored field moved ≥3 points away from model
context-1.2,Context 1.2,3,401860889,North Texas at Texas State,2026-09-19T16:00:00.000Z,pregame_artifact_in_reconstruction_study,-8.768446446837771,3.0,3.0,0.0,0.0,14.0,model/CFBD-opening favorite inversion; model/CFBD-stored favorite inversion
context-1.2,Context 1.2,3,401861963,UConn at Southern Miss,2026-09-19T23:00:00.000Z,pregame_artifact_in_reconstruction_study,6.011031350188629,-3.5,-3.5,0.0,0.0,-28.0,model/CFBD-opening favorite inversion; model/CFBD-stored favorite inversion
context-1.2,Context 1.2,3,401862771,Florida International at Florida Atlantic,2026-09-19T22:00:00.000Z,pregame_artifact_in_reconstruction_study,-0.6305113993414535,7.0,5.0,-2.0,2.0,6.0,model/CFBD-opening favorite inversion; model/CFBD-stored favorite inversion
context-1.2,Context 1.2,3,401862773,Western Michigan at Rice,2026-09-19T23:00:00.000Z,pregame_artifact_in_reconstruction_study,-15.876988650872947,-12.0,-8.5,3.5,-3.5,-7.0,CFBD stored field moved ≥3 points away from model
context-1.2,Context 1.2,3,401864508,Wyoming at Central Michigan,2026-09-19T17:00:00.000Z,pregame_artifact_in_reconstruction_study,5.458117769398323,1.5,-2.0,-3.5,-3.5,14.0,model/CFBD-stored favorite inversion; CFBD fields crossed zero away from model; CFBD stored field moved ≥3 points away from model
