week,game_id,kickoff,away_team,home_team,away_team_id,home_team_id,away_classification,home_classification,neutral_site,variant_key,variant_label,model_family,model_version,model_version_field,snapshot_id,publication_slot,publication_status,generation_timestamp,effective_cutoff,source_retrieved_at,source_context_snapshot_id,comparison_snapshot_id,selection_policy,is_reconstruction,is_retrospective_artifact,generated_after_target_week_start,timing_classification,source_prediction_state,gippy_expected_home_margin,gippy_median_home_margin,gippy_margin_interval_50,gippy_margin_interval_80,gippy_margin_interval_95,market_provider,market_formatted_spread,opening_home_margin,closing_home_margin,cfbd_later_home_margin,actual_home_score,actual_away_score,actual_home_margin,gippy_minus_open,gippy_minus_close,abs_gippy_minus_open,abs_gippy_minus_close,market_move,open_distance_to_gippy,close_distance_to_gippy,market_movement_toward_gippy,gippy_error_vs_actual,open_error_vs_actual,close_error_vs_actual,gippy_edge_vs_open,gippy_edge_vs_close,actual_residual_vs_open,actual_residual_vs_close,is_primary_fbs_vs_fbs,schedule_completed,exclusion_reasons
1,401856634,2026-09-05T16:00:00.000Z,East Carolina,Alabama,151,333,fbs,fbs,False,context-1.2,Context 1.2,context,1.2,context_prior,2026-preseason-context,2026-preseason,official,2026-09-05T20:12:56.196105Z,,,2026-preseason-context,,reconstruction,True,False,True,reconstruction_without_effective_cutoff,future,20.949855850518794,21.408294625008423,"[9.577544813232661,32.75845903025609]","[-1.6920299489386437,42.87472996844341]","[-15.016991743249532,54.507267562090654]",Bovada,Alabama -28.0,25.5,28.0,28.0,48.0,10.0,38.0,-4.550144149481206,-7.050144149481206,4.550144149481206,7.050144149481206,2.5,4.550144149481206,7.050144149481206,-2.5,-17.050144149481206,-12.5,-10.0,-4.550144149481206,-7.050144149481206,12.5,10.0,True,True,
1,401856636,2026-09-05T19:30:00.000Z,Baylor,Auburn,239,2,fbs,fbs,True,context-1.2,Context 1.2,context,1.2,context_prior,2026-preseason-context,2026-preseason,official,2026-09-05T20:12:56.196105Z,,,2026-preseason-context,,reconstruction,True,False,True,reconstruction_without_effective_cutoff,future,2.1382011176668576,2.2303553644984317,"[-10.92333069435331,15.276234189368497]","[-22.702174479778687,26.825178220100067]","[-35.84663276864338,39.6864707535564]",Bovada,Auburn -6.5,7.5,6.5,6.5,17.0,16.0,1.0,-5.361798882333142,-4.361798882333142,5.361798882333142,4.361798882333142,-1.0,5.361798882333142,4.361798882333142,1.0,1.1382011176668576,6.5,5.5,-5.361798882333142,-4.361798882333142,-6.5,-5.5,True,True,
1,401856637,2026-09-05T23:45:00.000Z,Florida Atlantic,Florida,2226,57,fbs,fbs,False,context-1.2,Context 1.2,context,1.2,context_prior,2026-preseason-context,2026-preseason,official,2026-09-05T20:12:56.196105Z,,,2026-preseason-context,,reconstruction,True,False,True,reconstruction_without_effective_cutoff,future,18.119968610848193,18.669899518198495,"[6.003198639596091,30.726685399865126]","[-5.918438393606678,41.27491029391015]","[-19.699869114729566,53.18862462137713]",Bovada,Florida -26.5,25.5,26.5,26.5,66.0,21.0,45.0,-7.380031389151807,-8.380031389151807,7.380031389151807,8.380031389151807,1.0,7.380031389151807,8.380031389151807,-1.0,-26.880031389151807,-19.5,-18.5,-7.380031389151807,-8.380031389151807,19.5,18.5,True,True,
1,401856660,2026-09-05T23:30:00.000Z,Clemson,LSU,228,99,fbs,fbs,False,context-1.2,Context 1.2,context,1.2,context_prior,2026-preseason-context,2026-preseason,official,2026-09-05T20:12:56.196105Z,,,2026-preseason-context,,reconstruction,True,False,True,reconstruction_without_effective_cutoff,future,1.5522108063447715,1.4578416903504763,"[-11.142501072984029,14.175985129440944]","[-22.295856680741373,25.561768135304515]","[-34.8043279278511,38.326103768036205]",Bovada,LSU -10.0,11.5,10.0,10.0,51.0,10.0,41.0,-9.947789193655229,-8.447789193655229,9.947789193655229,8.447789193655229,-1.5,9.947789193655229,8.447789193655229,1.5,-39.447789193655225,-29.5,-31.0,-9.947789193655229,-8.447789193655229,29.5,31.0,True,True,
1,401856661,2026-09-06T23:30:00.000Z,Louisville,Ole Miss,97,145,fbs,fbs,True,context-1.2,Context 1.2,context,1.2,context_prior,2026-preseason-context,2026-preseason,official,2026-09-05T20:12:56.196105Z,,,2026-preseason-context,,reconstruction,True,False,True,reconstruction_without_effective_cutoff,future,8.53186482660383,8.961660323562793,"[-3.7675106423505778,21.17069959500731]","[-15.54927626145255,31.88619781629022]","[-28.906988763554565,44.0039414177481]",Bovada,Ole Miss -6.5,8.5,6.5,6.5,41.0,38.0,3.0,0.0318648266038295,2.0318648266038295,0.0318648266038295,2.0318648266038295,-2.0,0.0318648266038295,2.0318648266038295,-2.0,5.5318648266038295,5.5,3.5,0.0318648266038295,2.0318648266038295,-5.5,-3.5,True,True,
1,401856662,2026-09-05T23:30:00.000Z,UL Monroe,Mississippi State,2433,344,fbs,fbs,False,context-1.2,Context 1.2,context,1.2,context_prior,2026-preseason-context,2026-preseason,official,2026-09-05T20:12:56.196105Z,,,2026-preseason-context,,reconstruction,True,False,True,reconstruction_without_effective_cutoff,future,19.705684840969212,20.29831384238783,"[7.858464276027512,32.09366707422707]","[-3.983300113674605,42.451182006414534]","[-17.827493330774338,54.22268090800307]",Bovada,Mississippi State -28.5,28.5,28.5,28.5,62.0,13.0,49.0,-8.794315159030788,-8.794315159030788,8.794315159030788,8.794315159030788,0.0,8.794315159030788,8.794315159030788,0.0,-29.294315159030788,-20.5,-20.5,-8.794315159030788,-8.794315159030788,20.5,20.5,True,True,
1,401856664,2026-09-05T00:00:00.000Z,UTEP,Oklahoma,2638,201,fbs,fbs,False,context-1.2,Context 1.2,context,1.2,context_prior,2026-preseason-context,2026-preseason,official,2026-09-05T20:12:56.196105Z,,,2026-preseason-context,,reconstruction,True,False,True,reconstruction_without_effective_cutoff,future,32.15785220742206,32.54704352812571,"[21.862900004589005,42.842157299479474]","[11.580386964265324,52.16250093496898]","[-0.9532798121834445,63.14508755201532]",Bovada,Oklahoma -41.0,40.5,41.0,41.0,51.0,0.0,51.0,-8.34214779257794,-8.84214779257794,8.34214779257794,8.84214779257794,0.5,8.34214779257794,8.84214779257794,-0.5,-18.84214779257794,-10.5,-10.0,-8.34214779257794,-8.84214779257794,10.5,10.0,True,True,
1,401856665,2026-09-05T16:45:00.000Z,Kent State,South Carolina,2309,2579,fbs,fbs,False,context-1.2,Context 1.2,context,1.2,context_prior,2026-preseason-context,2026-preseason,official,2026-09-05T20:12:56.196105Z,,,2026-preseason-context,,reconstruction,True,False,True,reconstruction_without_effective_cutoff,future,21.826011483512367,22.467536666424532,"[10.048567685710143,34.18973651752483]","[-1.8197907568617635,44.45431156490629]","[-15.744002826564008,56.1272171143025]",Bovada,South Carolina -36.5,34.5,36.5,36.5,57.0,0.0,57.0,-12.673988516487633,-14.673988516487633,12.673988516487633,14.673988516487633,2.0,12.673988516487633,14.673988516487633,-2.0,-35.17398851648763,-22.5,-20.5,-12.673988516487633,-14.673988516487633,22.5,20.5,True,True,
1,401856667,2026-09-05T19:30:00.000Z,Texas State,Texas,326,251,fbs,fbs,False,context-1.2,Context 1.2,context,1.2,context_prior,2026-preseason-context,2026-preseason,official,2026-09-05T20:12:56.196105Z,,,2026-preseason-context,,reconstruction,True,False,True,reconstruction_without_effective_cutoff,future,21.099747153380726,21.601114064019875,"[9.666506164815898,33.0115736433467]","[-1.7470295094656205,43.162073641104804]","[-15.259178546852377,54.818111063948514]",Bovada,Texas -29.5,30.5,29.5,29.5,59.0,7.0,52.0,-9.400252846619274,-8.400252846619274,9.400252846619274,8.400252846619274,-1.0,9.400252846619274,8.400252846619274,1.0,-30.900252846619274,-21.5,-22.5,-9.400252846619274,-8.400252846619274,21.5,22.5,True,True,
1,401856668,2026-09-05T23:00:00.000Z,Missouri State,Texas A&M,2623,245,fbs,fbs,False,context-1.2,Context 1.2,context,1.2,context_prior,2026-preseason-context,2026-preseason,official,2026-09-05T20:12:56.196105Z,,,2026-preseason-context,,reconstruction,True,False,True,reconstruction_without_effective_cutoff,future,24.33518177184632,24.891452827047207,"[13.024879584036883,36.18333689480664]","[1.6252700560271738,46.18916869825512]","[-11.97658785640054,57.68686097882089]",Bovada,Texas A&M -40.5,38.5,40.5,40.5,50.0,0.0,50.0,-14.164818228153681,-16.16481822815368,14.164818228153681,16.16481822815368,2.0,14.164818228153681,16.16481822815368,-2.0,-25.66481822815368,-11.5,-9.5,-14.164818228153681,-16.16481822815368,11.5,9.5,True,True,
