season,position_group,incoming_fbs_transfers,incoming_defensive_transfers,resolved_experience,resolved_experience_mass,recoverable_experience_mass_proxy,experience_mass_coverage_proxy,resolved_impact,zero_recorded_box_score_games,zero_recorded_box_score_impact,identity_resolution_failure,ambiguous,source_data_unavailable,position_mismatch,unknown_position,non_defensive_not_applicable,team_seasons,team_seasons_complete,team_seasons_partial,team_seasons_no_usable
2021,dl_edge,110,110,56,32.08741813741814,32.88741813741814,0.9756745878725643,56,20,20,18,0,5,11,0,0,130,35,69,7
2021,lb,86,86,33,17.234532134532135,20.126739926739926,0.856300235272317,33,17,17,23,1,5,7,0,0,130,35,69,7
2021,db,166,166,77,43.17841047841048,45.254168054168055,0.9541311294625293,77,35,35,29,0,20,5,0,0,130,35,69,7
2022,dl_edge,168,168,85,39.78537851037851,45.19948107448108,0.8802175946404993,85,36,36,28,1,5,13,0,0,131,47,70,8
2022,lb,118,118,61,32.81433288933289,36.77330724830725,0.8923410850092468,61,19,19,20,4,4,10,0,0,131,47,70,8
2022,db,198,198,120,63.44667277167277,65.59410866910866,0.967261756566147,120,26,26,39,1,5,7,0,0,131,47,70,8
2023,dl_edge,213,213,124,57.32052947052947,62.717232767232765,0.9139518269766065,124,23,23,46,0,2,18,0,0,133,42,76,4
2023,lb,136,136,87,48.76163836163836,55.152664002664004,0.8841211797000968,87,21,21,11,1,3,13,0,0,133,42,76,4
2023,db,284,284,175,83.74224109224109,87.30201465201465,0.9592246115514883,175,43,43,50,0,4,12,0,0,133,42,76,4
2024,dl_edge,369,369,207,105.24948384948385,114.61813186813187,0.9182620771604737,207,57,57,61,0,13,31,0,0,134,33,96,0
2024,lb,177,177,120,60.3467476967477,62.32934842934843,0.9681915376534371,120,25,25,18,1,3,10,0,0,134,33,96,0
2024,db,438,438,287,140.14145854145855,144.0457375957376,0.9728955599836189,287,77,77,44,3,11,16,0,0,134,33,96,0
2025,dl_edge,559,559,313,140.64675324675324,154.15957375957376,0.9123452395250196,313,94,94,81,1,26,44,0,0,136,25,108,0
2025,lb,219,219,136,72.13504828504828,77.57552447552447,0.9298686508759255,136,32,32,30,0,10,11,0,0,136,25,108,0
2025,db,602,602,378,179.3379662004662,182.96896436896438,0.980155114387727,378,103,103,68,4,33,16,0,0,136,25,108,0
