season,team,player_id,player_name,position,position_group,team_games,defensive_games,defensive_game_appearance_rate,defensive_impact,tackles,solo_tackles,tackles_for_loss,sacks,qb_hurries,passes_defended,interceptions,fumble_recoveries
2020,Abilene Christian,4691288,Austin Lozano,,,3,1,0.3333333333333333,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Abilene Christian,4249780,Ben Norman,,,3,2,0.6666666666666666,,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2020,Abilene Christian,4371120,Blair Zepeda,PK,,3,1,0.3333333333333333,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Abilene Christian,4035634,Brian Bullock,,,3,3,1.0,,15.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
2020,Abilene Christian,4371107,Byron Robinson Jr.,,,3,2,0.6666666666666666,,9.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0
2020,Abilene Christian,4372458,Chike Nwankwo,,,3,2,0.6666666666666666,,11.0,3.0,0.5,0.0,0.0,0.0,0.0,0.0
2020,Abilene Christian,4691301,Christian Richardson,,,3,1,0.3333333333333333,,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2020,Abilene Christian,4568702,Christopher Satterfield,,,3,1,0.3333333333333333,,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Abilene Christian,4547072,Davion Johnson,WR,,3,2,0.6666666666666666,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Abilene Christian,4691283,Dre Jones,,,3,2,0.6666666666666666,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Abilene Christian,4573382,Garviea Freeny,,,3,1,0.3333333333333333,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Abilene Christian,4380417,Greg Green,,,3,1,0.3333333333333333,,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Abilene Christian,4573367,Hunter Kier,,,3,3,1.0,,15.0,7.0,0.5,0.0,0.0,0.0,0.0,0.0
2020,Abilene Christian,4249739,Jack Gibbens,,,3,3,1.0,,17.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0
2020,Abilene Christian,4691303,Jack Schultz,,,3,2,0.6666666666666666,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Abilene Christian,4573371,Jacob Thielen,,,3,3,1.0,,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Abilene Christian,4259870,Jairan Parker,,,3,3,1.0,,15.0,3.0,0.5,0.0,0.0,0.0,0.0,0.0
2020,Abilene Christian,4240808,Jordan Paup,,,3,2,0.6666666666666666,,11.0,3.0,1.0,0.5,0.0,0.0,0.0,0.0
2020,Abilene Christian,4371113,Joshua James,,,3,1,0.3333333333333333,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Abilene Christian,4691282,Kadron Johnson,,,3,2,0.6666666666666666,,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
2020,Abilene Christian,4691308,Kameron Stokes,,,3,1,0.3333333333333333,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Abilene Christian,4249730,Koy Richardson,,,3,2,0.6666666666666666,,8.0,4.0,0.5,0.0,0.0,2.0,0.0,0.0
2020,Abilene Christian,4573366,Lakendrick Jones,,,3,1,0.3333333333333333,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Abilene Christian,4029903,Lionell McConnell,WR,,3,1,0.3333333333333333,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Abilene Christian,4691263,Marquez Brown,,,3,1,0.3333333333333333,,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2020,Abilene Christian,4573385,Osaretin Obadeyi,,,3,3,1.0,,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Abilene Christian,4240570,Peyton Mansell,QB,,3,2,0.6666666666666666,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Abilene Christian,4371139,Quent Titre,,,3,3,1.0,,12.0,4.0,1.5,0.0,0.0,0.0,0.0,0.0
2020,Abilene Christian,4043986,Reynel Previlon,,,3,2,0.6666666666666666,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Abilene Christian,4371112,Robert McKnight,,,3,1,0.3333333333333333,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Abilene Christian,4573357,Ryan Stapp,,,3,3,1.0,,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Abilene Christian,4249726,Sema'J Davis,QB,,3,1,0.3333333333333333,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Abilene Christian,4691312,Shelby Washington,,,3,3,1.0,,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Abilene Christian,4573363,Tory Hargrove,,,3,3,1.0,,17.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Abilene Christian,4361214,Triston Anderson,,,3,1,0.3333333333333333,,4.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0
2020,Abilene Christian,4371115,Tyrese White,RB,,3,1,0.3333333333333333,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Abilene Christian,4573384,William Morgan,,,3,3,1.0,,3.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0
2020,Air Force,4591189,Alec Mock,LB,lb,6,3,0.5,-0.024021919377535367,13.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
2020,Air Force,4571653,Brandon Gooding,LB,lb,6,5,0.8333333333333334,0.25588344893871207,11.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0
2020,Air Force,4401043,Brandon Lewis,WR,,6,1,0.16666666666666666,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4697226,Brendan Bentley,LS,,6,1,0.16666666666666666,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4580555,Caleb Humphrey,LB,lb,6,2,0.3333333333333333,-0.7385582744899789,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4696120,Camby Goff,DB,db,6,4,0.6666666666666666,-0.45039907087112946,13.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4697151,Corey Collins,,,6,1,0.16666666666666666,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4571645,Corvan Taylor,S,db,6,4,0.6666666666666666,0.6403780873700519,29.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0
2020,Air Force,4696870,Corvan Taylor,,,6,1,0.16666666666666666,,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
2020,Air Force,4571648,David Eure,DB,db,6,5,0.8333333333333334,-0.41029799452129195,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4373625,Demani Hansford,CB,db,6,2,0.3333333333333333,0.3892427909670146,12.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0
2020,Air Force,4360715,Elisha Palm,CB,db,6,6,1.0,1.0417765264449925,38.0,27.0,1.5,0.0,0.0,3.0,1.0,0.0
2020,Air Force,4696956,Eric Wills,,,6,1,0.16666666666666666,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4693815,Ethan Erickson,LB,lb,6,5,0.8333333333333334,-0.09572145118092484,21.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0
2020,Air Force,4580556,George Silvanic,DT,dl_edge,6,6,1.0,1.0601101112890563,34.0,11.0,4.5,2.5,1.0,0.0,0.0,0.0
2020,Air Force,4360720,Grant Donaldson,LB,lb,6,5,0.8333333333333334,0.10893211809753195,20.0,8.0,0.0,0.0,2.0,2.0,0.0,0.0
2020,Air Force,4693814,Haaziq Daniels,QB,,6,2,0.3333333333333333,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4693828,Hayden Isenhart,DE,dl_edge,6,1,0.16666666666666666,-1.0854591018798279,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4500446,Jace Waters,LB,lb,6,1,0.16666666666666666,-0.9719992207262818,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4700119,Jadon Pearson,LB,lb,6,2,0.3333333333333333,-0.7058032425892611,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4711159,Jake Stern,,,6,1,0.16666666666666666,,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4705675,Jayd Thiergood,DE,dl_edge,6,3,0.5,-0.6783545819723625,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
2020,Air Force,4578890,Jayden Goodwin,S,db,6,2,0.3333333333333333,-0.29585108539805854,7.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0
2020,Air Force,4696119,Johnathan Youngblood,LB,lb,6,5,0.8333333333333334,-0.1698683678104946,22.0,11.0,1.5,0.0,2.0,0.0,0.0,0.0
2020,Air Force,4693812,Jordan Gidrey,RB,,6,1,0.16666666666666666,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4360736,Joseph Carlson,P,,6,3,0.5,,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020,Air Force,4360734,Joseph Woodring,NT,dl_edge,6,3,0.5,-0.582129554262486,7.0,3.0,0.5,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4360716,Joshua Stoner,RB,,6,1,0.16666666666666666,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4360719,Kadin Remsberg,RB,,6,1,0.16666666666666666,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4693827,Kalawai'a Pescaia,G,,6,1,0.16666666666666666,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
2020,Air Force,4697149,Kupono Blake,,,6,2,0.3333333333333333,,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4571651,Matthew Anderson,DB,db,6,1,0.16666666666666666,-0.8266187931438083,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4697231,Matthew Malloy,LB,lb,6,3,0.5,-0.09551793130939354,9.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0
2020,Air Force,4385798,Matthew Murla,FB,,6,1,0.16666666666666666,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4693823,McKenly O'Neal,DT,dl_edge,6,1,0.16666666666666666,-0.35743877750837744,12.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4705674,Mckenly Oneal,DT,dl_edge,6,1,0.16666666666666666,-0.9776567009077033,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4693817,Micah Davis,WR,,6,1,0.16666666666666666,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4360732,Michael Purcell,DE,dl_edge,6,5,0.8333333333333334,-0.028393237936854655,10.0,5.0,1.5,0.0,1.0,0.0,0.0,0.0
2020,Air Force,4697150,Nasir Rashid,,,6,1,0.16666666666666666,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4571657,Noah Bush,LB,lb,6,2,0.3333333333333333,-0.6524021669360344,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4360730,Nolan Laufenberg,OL,,6,1,0.16666666666666666,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4360722,Parker Noren,LB,lb,6,6,1.0,-0.02981752794074538,29.0,18.0,0.0,0.0,1.0,1.0,0.0,1.0
2020,Air Force,4705679,Patrick Dahlen,LB,lb,6,1,0.16666666666666666,-0.9719992207262818,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4705444,PJ Ramsey,LB,lb,6,1,0.16666666666666666,-0.9719992207262818,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4405861,Tevye Schuettpelz-Rohl,PK,,6,1,0.16666666666666666,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4697147,Tim Mcclendon,LB,lb,6,2,0.3333333333333333,-0.8247143820439233,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
