portal_index,season,player_name,normalized_player_name,origin,destination,destination_team_id,destination_team_name,destination_match_status,position,portal_position_group,position_semantics,transfer_date,cutoff_status,in_model_relevant_population,defensive_candidate,identity_join_method,identity_status,experience_status,impact_status,prior_position,prior_position_group,prior_player_id,prior_team_games,prior_defensive_games,prior_defensive_experience,prior_defensive_impact,prior_stats
0,2021,Cameron Wilkins,cameron wilkins,Missouri,UTSA,2636,UTSA,exact_normalized_name,LB,lb,defensive,2021-07-31,on_or_before_cutoff,True,True,normalized_name_source_team,resolved,resolved,resolved,LB,lb,4362762,10,2,0.2,-0.4632245501204143,"{""fumble_recoveries"": 0.0, ""interceptions"": 0.0, ""passes_defended"": 0.0, ""qb_hurries"": 0.0, ""sacks"": 0.0, ""solo_tackles"": 3.0, ""tackles"": 7.0, ""tackles_for_loss"": 1.0}"
1,2021,Javar Strong,javar strong,Arkansas State,,,,missing_name,S,db,defensive,2021-07-28,on_or_before_cutoff,False,False,none,not_in_scope,not_in_scope,not_in_scope,,,,,,,,{}
2,2021,Noah Mitchell,noah mitchell,UTSA,,,,missing_name,LB,lb,defensive,2021-07-27,on_or_before_cutoff,False,False,none,not_in_scope,not_in_scope,not_in_scope,,,,,,,,{}
3,2021,Trivenskey Mosley,trivenskey mosley,Southern Miss,,,,missing_name,RB,,non_defensive,2021-07-26,on_or_before_cutoff,False,False,none,not_in_scope,not_in_scope,not_in_scope,,,,,,,,{}
4,2021,Jalar Holley,jalar holley,Miami,,,,missing_name,DL,dl_edge,defensive,2021-07-25,on_or_before_cutoff,False,False,none,not_in_scope,not_in_scope,not_in_scope,,,,,,,,{}
5,2021,Davon Wells-Ross,davon wells-ross,Wyoming,,,,missing_name,LB,lb,defensive,2021-07-23,on_or_before_cutoff,False,False,none,not_in_scope,not_in_scope,not_in_scope,,,,,,,,{}
6,2021,Samari Saddler,samari saddler,Eastern Michigan,,,,missing_name,IOL,,non_defensive,2021-07-23,on_or_before_cutoff,False,False,none,not_in_scope,not_in_scope,not_in_scope,,,,,,,,{}
7,2021,Bennett Johnston,bennett johnston,Southern Miss,,,,missing_name,QB,,non_defensive,2021-07-22,on_or_before_cutoff,False,False,none,not_in_scope,not_in_scope,not_in_scope,,,,,,,,{}
8,2021,Lashawn Paulino-Bell,lashawn paulino-bell,Vanderbilt,,,,missing_name,EDGE,dl_edge,defensive,2021-07-20,on_or_before_cutoff,False,False,none,not_in_scope,not_in_scope,not_in_scope,,,,,,,,{}
9,2021,Chris Lovick,chris lovick,Tulsa,,,,missing_name,RB,,non_defensive,2021-07-19,on_or_before_cutoff,False,False,none,not_in_scope,not_in_scope,not_in_scope,,,,,,,,{}
10,2021,Kevin Orange,kevin orange,Missouri Western State,Kansas,2305,Kansas,exact_normalized_name,RB,,non_defensive,2021-07-16,on_or_before_cutoff,True,False,none,non_defensive_not_applicable,non_defensive_not_applicable,non_defensive_not_applicable,,,,,,,,{}
11,2021,Shaquan Griffin,shaquan griffin,Georgia Southern,,,,missing_name,DL,dl_edge,defensive,2021-07-15,on_or_before_cutoff,False,False,none,not_in_scope,not_in_scope,not_in_scope,,,,,,,,{}
12,2021,Kevin Tyler,kevin tyler,Illinois,Prairie View A&M,,,not_in_fbs,OT,,non_defensive,2021-07-15,on_or_before_cutoff,False,False,none,not_in_scope,not_in_scope,not_in_scope,,,,,,,,{}
