protocol,target_season,train_through,candidate,candidate_name,feature,feature_role,standardized_location_coefficient,sign,magnitude,change_from_previous_fit,location_missingness_coefficient,standardized_scale_coefficient,training_source_available_n,training_source_unresolved_n,training_source_available_fraction
frozen_through_2021,aggregate,2021,P1,P1_D5_plus_dl_edge,returning_pct_ppa,baseline,-0.2053336514919167,negative,0.2053336514919167,,0.006439450600944257,0.0,1021,1195,0.46074007220216606
frozen_through_2021,aggregate,2021,P1,P1_D5_plus_dl_edge,transfer_in_prior_usage_sum,baseline,-0.03610408243860945,negative,0.03610408243860945,,0.044454194282548744,0.0,94,2122,0.042418772563176894
frozen_through_2021,aggregate,2021,P1,P1_D5_plus_dl_edge,transfer_in_prior_defensive_impact_dl_edge_sum,defensive_value,-0.0010193297608309653,negative,0.0010193297608309653,,0.0,0.0,98,2118,0.04422382671480144
frozen_through_2021,aggregate,2021,P1,P1_D5_plus_dl_edge,transfer_in_prior_defensive_impact_dl_edge_available,availability,0.033966124268342154,positive,0.033966124268342154,,0.0,0.0,98,2118,0.04422382671480144
frozen_through_2021,aggregate,2021,P2,P2_D5_plus_lb,returning_pct_ppa,baseline,-0.20498731067103956,negative,0.20498731067103956,,0.006413910175141774,0.0,1021,1195,0.46074007220216606
frozen_through_2021,aggregate,2021,P2,P2_D5_plus_lb,transfer_in_prior_usage_sum,baseline,-0.03866210154415559,negative,0.03866210154415559,,0.006051105346765373,0.0,94,2122,0.042418772563176894
frozen_through_2021,aggregate,2021,P2,P2_D5_plus_lb,transfer_in_prior_defensive_impact_lb_sum,defensive_value,-0.02573989340094229,negative,0.02573989340094229,,0.0,0.0,99,2117,0.044675090252707585
frozen_through_2021,aggregate,2021,P2,P2_D5_plus_lb,transfer_in_prior_defensive_impact_lb_available,availability,0.02258453817265873,positive,0.02258453817265873,,0.0,0.0,99,2117,0.044675090252707585
frozen_through_2021,aggregate,2021,P3,P3_D5_plus_db,returning_pct_ppa,baseline,-0.20345725579110774,negative,0.20345725579110774,,0.0062044441150011205,0.0,1021,1195,0.46074007220216606
frozen_through_2021,aggregate,2021,P3,P3_D5_plus_db,transfer_in_prior_usage_sum,baseline,-0.03766830325425661,negative,0.03766830325425661,,-0.06290622612362835,0.0,94,2122,0.042418772563176894
frozen_through_2021,aggregate,2021,P3,P3_D5_plus_db,transfer_in_prior_defensive_impact_db_sum,defensive_value,-0.006914558388505031,negative,0.006914558388505031,,0.0,0.0,80,2136,0.036101083032490974
frozen_through_2021,aggregate,2021,P3,P3_D5_plus_db,transfer_in_prior_defensive_impact_db_available,availability,0.0037109128210687354,positive,0.0037109128210687354,,0.0,0.0,80,2136,0.036101083032490974
frozen_through_2021,aggregate,2021,P4,P4_D5_plus_all_position_groups,returning_pct_ppa,baseline,-0.20489435082202903,negative,0.20489435082202903,,0.006457722677317259,0.0,1021,1195,0.46074007220216606
frozen_through_2021,aggregate,2021,P4,P4_D5_plus_all_position_groups,transfer_in_prior_usage_sum,baseline,-0.03943358807309676,negative,0.03943358807309676,,0.036474058446153694,0.0,94,2122,0.042418772563176894
frozen_through_2021,aggregate,2021,P4,P4_D5_plus_all_position_groups,transfer_in_prior_defensive_impact_dl_edge_sum,defensive_value,-0.0037546469058447676,negative,0.0037546469058447676,,0.0,0.0,98,2118,0.04422382671480144
frozen_through_2021,aggregate,2021,P4,P4_D5_plus_all_position_groups,transfer_in_prior_defensive_impact_dl_edge_available,availability,0.03998482754070505,positive,0.03998482754070505,,0.0,0.0,98,2118,0.04422382671480144
frozen_through_2021,aggregate,2021,P4,P4_D5_plus_all_position_groups,transfer_in_prior_defensive_impact_lb_sum,defensive_value,-0.028294947774759906,negative,0.028294947774759906,,0.0,0.0,99,2117,0.044675090252707585
frozen_through_2021,aggregate,2021,P4,P4_D5_plus_all_position_groups,transfer_in_prior_defensive_impact_lb_available,availability,0.009586482732328972,positive,0.009586482732328972,,0.0,0.0,99,2117,0.044675090252707585
frozen_through_2021,aggregate,2021,P4,P4_D5_plus_all_position_groups,transfer_in_prior_defensive_impact_db_sum,defensive_value,-0.008417552540765903,negative,0.008417552540765903,,0.0,0.0,80,2136,0.036101083032490974
frozen_through_2021,aggregate,2021,P4,P4_D5_plus_all_position_groups,transfer_in_prior_defensive_impact_db_available,availability,-0.016366510589798218,negative,0.016366510589798218,,0.0,0.0,80,2136,0.036101083032490974
rolling_origin,2022,2021,P1,P1_D5_plus_dl_edge,returning_pct_ppa,baseline,-0.2053336514919167,negative,0.2053336514919167,,0.006439450600944257,0.0,1021,1195,0.46074007220216606
rolling_origin,2022,2021,P1,P1_D5_plus_dl_edge,transfer_in_prior_usage_sum,baseline,-0.03610408243860945,negative,0.03610408243860945,,0.044454194282548744,0.0,94,2122,0.042418772563176894
rolling_origin,2022,2021,P1,P1_D5_plus_dl_edge,transfer_in_prior_defensive_impact_dl_edge_sum,defensive_value,-0.0010193297608309653,negative,0.0010193297608309653,,0.0,0.0,98,2118,0.04422382671480144
rolling_origin,2022,2021,P1,P1_D5_plus_dl_edge,transfer_in_prior_defensive_impact_dl_edge_available,availability,0.033966124268342154,positive,0.033966124268342154,,0.0,0.0,98,2118,0.04422382671480144
rolling_origin,2022,2021,P2,P2_D5_plus_lb,returning_pct_ppa,baseline,-0.20498731067103956,negative,0.20498731067103956,,0.006413910175141774,0.0,1021,1195,0.46074007220216606
rolling_origin,2022,2021,P2,P2_D5_plus_lb,transfer_in_prior_usage_sum,baseline,-0.03866210154415559,negative,0.03866210154415559,,0.006051105346765373,0.0,94,2122,0.042418772563176894
rolling_origin,2022,2021,P2,P2_D5_plus_lb,transfer_in_prior_defensive_impact_lb_sum,defensive_value,-0.02573989340094229,negative,0.02573989340094229,,0.0,0.0,99,2117,0.044675090252707585
rolling_origin,2022,2021,P2,P2_D5_plus_lb,transfer_in_prior_defensive_impact_lb_available,availability,0.02258453817265873,positive,0.02258453817265873,,0.0,0.0,99,2117,0.044675090252707585
rolling_origin,2022,2021,P3,P3_D5_plus_db,returning_pct_ppa,baseline,-0.20345725579110774,negative,0.20345725579110774,,0.0062044441150011205,0.0,1021,1195,0.46074007220216606
rolling_origin,2022,2021,P3,P3_D5_plus_db,transfer_in_prior_usage_sum,baseline,-0.03766830325425661,negative,0.03766830325425661,,-0.06290622612362835,0.0,94,2122,0.042418772563176894
rolling_origin,2022,2021,P3,P3_D5_plus_db,transfer_in_prior_defensive_impact_db_sum,defensive_value,-0.006914558388505031,negative,0.006914558388505031,,0.0,0.0,80,2136,0.036101083032490974
rolling_origin,2022,2021,P3,P3_D5_plus_db,transfer_in_prior_defensive_impact_db_available,availability,0.0037109128210687354,positive,0.0037109128210687354,,0.0,0.0,80,2136,0.036101083032490974
rolling_origin,2022,2021,P4,P4_D5_plus_all_position_groups,returning_pct_ppa,baseline,-0.20489435082202903,negative,0.20489435082202903,,0.006457722677317259,0.0,1021,1195,0.46074007220216606
rolling_origin,2022,2021,P4,P4_D5_plus_all_position_groups,transfer_in_prior_usage_sum,baseline,-0.03943358807309676,negative,0.03943358807309676,,0.036474058446153694,0.0,94,2122,0.042418772563176894
rolling_origin,2022,2021,P4,P4_D5_plus_all_position_groups,transfer_in_prior_defensive_impact_dl_edge_sum,defensive_value,-0.0037546469058447676,negative,0.0037546469058447676,,0.0,0.0,98,2118,0.04422382671480144
rolling_origin,2022,2021,P4,P4_D5_plus_all_position_groups,transfer_in_prior_defensive_impact_dl_edge_available,availability,0.03998482754070505,positive,0.03998482754070505,,0.0,0.0,98,2118,0.04422382671480144
rolling_origin,2022,2021,P4,P4_D5_plus_all_position_groups,transfer_in_prior_defensive_impact_lb_sum,defensive_value,-0.028294947774759906,negative,0.028294947774759906,,0.0,0.0,99,2117,0.044675090252707585
rolling_origin,2022,2021,P4,P4_D5_plus_all_position_groups,transfer_in_prior_defensive_impact_lb_available,availability,0.009586482732328972,positive,0.009586482732328972,,0.0,0.0,99,2117,0.044675090252707585
rolling_origin,2022,2021,P4,P4_D5_plus_all_position_groups,transfer_in_prior_defensive_impact_db_sum,defensive_value,-0.008417552540765903,negative,0.008417552540765903,,0.0,0.0,80,2136,0.036101083032490974
rolling_origin,2022,2021,P4,P4_D5_plus_all_position_groups,transfer_in_prior_defensive_impact_db_available,availability,-0.016366510589798218,negative,0.016366510589798218,,0.0,0.0,80,2136,0.036101083032490974
rolling_origin,2023,2022,P1,P1_D5_plus_dl_edge,returning_pct_ppa,baseline,-0.21191274852391576,negative,0.21191274852391576,-0.006579097031999048,-0.005663843592629555,0.0,1151,1195,0.4906223358908781
