comparison,protocol,season,subdivision,team_id,team_name,candidate,reference,candidate_nll,reference_nll,delta_nll
P1_vs_P0,frozen_through_2021,2022,fbs,103,Boston College,P1,P0,4.750999673796284,4.793747892282249,-0.042748218485964884
P1_vs_P0,frozen_through_2021,2022,fbs,113,Massachusetts,P1,P0,2.516795202562998,2.592652228377728,-0.07585702581472997
P1_vs_P0,frozen_through_2021,2022,fbs,12,Arizona,P1,P0,4.699235731228643,4.68113452526869,0.018101205959952793
P1_vs_P0,frozen_through_2021,2022,fbs,120,Maryland,P1,P0,4.445916954491773,4.433042459814765,0.012874494677007853
P1_vs_P0,frozen_through_2021,2022,fbs,127,Michigan State,P1,P0,5.477214000186391,5.520797706065371,-0.043583705878979195
P1_vs_P0,frozen_through_2021,2022,fbs,130,Michigan,P1,P0,2.4352695701766978,2.442061465270898,-0.0067918950942003065
P1_vs_P0,frozen_through_2021,2022,fbs,135,Minnesota,P1,P0,4.2174243522222605,4.205766915496461,0.011657436725799109
P1_vs_P0,frozen_through_2021,2022,fbs,142,Missouri,P1,P0,4.577412316402257,4.596570269826954,-0.019157953424697283
P1_vs_P0,frozen_through_2021,2022,fbs,145,Ole Miss,P1,P0,4.14827647374356,4.1589640278275315,-0.010687554083971484
P1_vs_P0,frozen_through_2021,2022,fbs,150,Duke,P1,P0,6.100735279270595,5.869961417401547,0.23077386186904825
P1_vs_P0,frozen_through_2021,2022,fbs,151,East Carolina,P1,P0,4.627344577639132,4.658474390183437,-0.03112981254430469
P1_vs_P0,frozen_through_2021,2022,fbs,152,NC State,P1,P0,4.419268779794671,4.419799907229224,-0.0005311274345523032
P1_vs_P0,frozen_through_2021,2022,fbs,153,North Carolina,P1,P0,4.534727406611788,4.500459539180241,0.03426786743154686
P1_vs_P0,frozen_through_2021,2022,fbs,154,Wake Forest,P1,P0,4.337492657655324,4.333866402958978,0.003626254696346365
P1_vs_P0,frozen_through_2021,2022,fbs,158,Nebraska,P1,P0,4.8279247799895355,4.769669619391025,0.058255160598510436
P1_vs_P0,frozen_through_2021,2022,fbs,164,Rutgers,P1,P0,4.61683844225196,4.645260900473408,-0.028422458221448288
P1_vs_P0,frozen_through_2021,2022,fbs,166,New Mexico State,P1,P0,4.68108990227719,4.640782464553352,0.040307437723837936
P1_vs_P0,frozen_through_2021,2022,fbs,167,New Mexico,P1,P0,3.2417253083991673,3.3005285104263096,-0.05880320202714229
P1_vs_P0,frozen_through_2021,2022,fbs,183,Syracuse,P1,P0,4.730026150267217,4.709376411919633,0.020649738347583657
P1_vs_P0,frozen_through_2021,2022,fbs,189,Bowling Green,P1,P0,4.1965561280521895,4.207106022011264,-0.010549893959074907
P1_vs_P0,frozen_through_2021,2022,fbs,193,Miami (OH),P1,P0,4.496265422853653,4.5205355319928655,-0.024270109139212792
