comparison,candidate,reference,scope,n_team_seasons,mean_delta_nll,median_delta_nll,fraction_team_seasons_improved
P1_vs_P0,P1,P0,aggregate,534,0.0017815467901706832,0.0002328230580084245,0.4850187265917603
P1_vs_P0,P1,P0,2022,131,0.0043092180753770285,0.0,0.4961832061068702
P1_vs_P0,P1,P0,2023,133,-0.004904662217210519,0.0010743872086478312,0.47368421052631576
P1_vs_P0,P1,P0,2024,134,0.006180504311988317,0.00014223063060470054,0.4925373134328358
P1_vs_P0,P1,P0,2025,136,0.0015512567291126372,0.0008231119404595866,0.47794117647058826
P2_vs_P0,P2,P0,aggregate,534,0.019880359593755892,0.003324540927066799,0.4419475655430712
P2_vs_P0,P2,P0,2022,131,0.01628521125226228,0.001551680868152161,0.46564885496183206
P2_vs_P0,P2,P0,2023,133,0.014323628306423645,0.003944818696383301,0.42857142857142855
P2_vs_P0,P2,P0,2024,134,0.02046648362753412,0.0034286211645517817,0.43283582089552236
P2_vs_P0,P2,P0,2025,136,0.028199985133642424,0.009199976624713724,0.4411764705882353
P3_vs_P0,P3,P0,aggregate,534,-0.0019350258103737604,-0.0005736218086085376,0.5280898876404494
P3_vs_P0,P3,P0,2022,131,-0.00020031036316667144,-0.0005423049753980891,0.5572519083969466
P3_vs_P0,P3,P0,2023,133,-0.0008588860655717337,0.0008501617813498896,0.43609022556390975
P3_vs_P0,P3,P0,2024,134,-0.002440339164935627,-0.0010417652024563573,0.5597014925373134
P3_vs_P0,P3,P0,2025,136,-0.0041604840466348495,-0.0012666708090547374,0.5588235294117647
P4_vs_P0,P4,P0,aggregate,534,0.029433352320432028,0.004054401706750532,0.4606741573033708
P4_vs_P0,P4,P0,2022,131,0.026393864618619062,0.0008387516351753277,0.48854961832061067
P4_vs_P0,P4,P0,2023,133,0.021415966593059672,0.004953979435100564,0.46616541353383456
P4_vs_P0,P4,P0,2024,134,0.04070499373272605,0.012280945280721767,0.39552238805970147
P4_vs_P0,P4,P0,2025,136,0.02909574380153955,0.0,0.49264705882352944
P3_vs_P3-M,P3,P3-M,aggregate,534,-0.0018740534624329525,-6.862251485584281e-05,0.5168539325842697
P3_vs_P3-M,P3,P3-M,2022,131,9.329012553893538e-05,-0.00010957060289840115,0.5343511450381679
P3_vs_P3-M,P3,P3-M,2023,133,-0.0010794853419767772,0.00014797517392484139,0.47368421052631576
P3_vs_P3-M,P3,P3-M,2024,134,-0.001979945080495434,-2.206773228463632e-05,0.5149253731343284
P3_vs_P3-M,P3,P3-M,2025,136,-0.004441774736143365,-0.0003411277505018795,0.5441176470588235
P3_vs_P3-P,P3,P3-P,aggregate,534,-0.02319981409283921,-0.0005894298147264276,0.5318352059925093
P3_vs_P3-P,P3,P3-P,2022,131,-0.008806053114495888,-0.0009612761383754886,0.5419847328244275
P3_vs_P3-P,P3,P3-P,2023,133,-0.02476843940100339,0.0,0.48872180451127817
P3_vs_P3-P,P3,P3-P,2024,134,-0.029906074016926843,-0.0010636570021782532,0.5597014925373134
P3_vs_P3-P,P3,P3-P,2025,136,-0.028922730948349483,-0.0007575635184142726,0.5367647058823529
