target_season,train_through,position_group,position_group_label,n_training_team_seasons,n_observed_training_team_seasons,n_complete_training_team_seasons,n_no_incoming_training_team_seasons,n_unresolved_training_team_seasons,n_source_unavailable_training_team_seasons,fraction_observed_training_team_seasons
2022,2021,dl_edge,DL / EDGE,2216,98,41,57,29,2089,0.04422382671480144
2022,2021,lb,LB,2216,99,28,71,28,2089,0.044675090252707585
2022,2021,db,DB,2216,80,43,37,47,2089,0.036101083032490974
2023,2022,dl_edge,DL / EDGE,2346,191,94,97,66,2089,0.0814151747655584
2023,2022,lb,LB,2346,193,71,122,64,2089,0.08226768968456948
2023,2022,db,DB,2346,169,98,71,88,2089,0.07203751065643649
2024,2023,dl_edge,DL / EDGE,2477,276,135,141,112,2089,0.11142511102139685
2024,2023,lb,LB,2477,298,127,171,90,2089,0.12030682276947921
2024,2023,db,DB,2477,254,159,95,134,2089,0.10254339927331449
2025,2024,dl_edge,DL / EDGE,2610,345,185,160,176,2089,0.13218390804597702
2025,2024,lb,LB,2610,404,186,218,117,2089,0.15478927203065135
2025,2024,db,DB,2610,335,228,107,186,2089,0.12835249042145594
