variant,kind,target_season,n_team_seasons,nll,delta_vs_E0_nll,crps,delta_vs_E0_crps,expected_rank_mae,delta_vs_E0_expected_rank_mae,median_rank_mae,delta_vs_E0_median_rank_mae,interval_80_coverage,delta_vs_E0_interval_80_coverage,interval_80_average_width,delta_vs_E0_interval_80_average_width
E0_production_C0,primary,2022,131,4.46687895474135,0.0,0.1070808440668973,0.0,18.68027501528254,0.0,18.85496183206107,0.0,0.8258070449737882,0.0,72.09923664122137,0.0
E0_production_C0,primary,2023,133,4.4722065703866205,0.0,0.10443224457695163,0.0,19.27912267013667,0.0,19.545112781954888,0.0,0.8669985775248933,0.0,72.1203007518797,0.0
E0_production_C0,primary,2024,134,4.584023541620271,0.0,0.11828325718207185,0.0,21.017995994307483,0.0,21.708955223880597,0.0,0.8045771144278607,0.0,70.8731343283582,0.0
E0_production_C0,primary,2025,136,4.642490544301942,0.0,0.11772472513966825,0.0,21.61321294045643,0.0,22.198529411764707,0.0,0.8031829170024174,0.0,72.58088235294117,0.0
E1_no_returning_production,primary,2022,131,4.48720539938238,0.020326444641029617,0.10902949034623019,0.0019486462793328885,19.278842840120568,0.5985678248380282,19.6793893129771,0.8244274809160324,0.8325209233882093,0.0067138784144210595,73.74809160305344,1.6488549618320718
E1_no_returning_production,primary,2023,133,4.504689577465013,0.032483007078392134,0.10780686300016434,0.0033746184232127108,20.10270741488041,0.8235847447437408,20.409774436090224,0.864661654135336,0.8614102824629141,-0.0055882950619792204,74.6842105263158,2.563909774436098
E1_no_returning_production,primary,2024,134,4.553894876236028,-0.030128665384242304,0.11602782529408148,-0.002255431887990364,20.761751998430476,-0.2562439958770071,20.925373134328357,-0.7835820895522403,0.8151243781094528,0.01054726368159209,73.32835820895522,2.4552238805970177
E1_no_returning_production,primary,2025,136,4.569114909895332,-0.07337563440660944,0.11152290371307706,-0.006201821426591189,20.731580594769188,-0.8816323456872439,20.88235294117647,-1.3161764705882355,0.8265511684125704,0.023368251410152974,76.58088235294117,4.0
E2_D5,primary,2022,131,4.4693742694245175,0.0024953146831672157,0.10744156756015011,0.00036072349325280695,18.756876608370046,0.07660159308750636,18.900763358778626,0.04580152671755755,0.8253471902878691,-0.0004598546859191366,72.17557251908397,0.0763358778626042
E2_D5,primary,2023,133,4.467912881494168,-0.004293688892452074,0.10345348891333545,-0.0009787556636161876,19.092244721527354,-0.18687794860931461,19.372180451127818,-0.17293233082707005,0.8732981101402154,0.006299532615322123,72.57142857142857,0.4511278195488728
E2_D5,primary,2024,134,4.58039753449238,-0.0036260071278908512,0.11800364120944894,-0.0002796159726229097,20.952207307865503,-0.0657886864419801,21.53731343283582,-0.1716417910447774,0.8027860696517413,-0.0017910447761194659,71.2089552238806,0.3358208955223887
E2_D5,primary,2025,136,4.620515275590933,-0.02197526871100841,0.11520649570073693,-0.0025182294389313187,21.27970107081629,-0.3335118696401409,21.852941176470587,-0.34558823529411953,0.806809024979855,0.003626107977437565,73.38970588235294,0.808823529411768
E3_total_RP_plus_defensive_experience,primary,2022,131,4.474562211925957,0.007683257184607051,0.1076727945436187,0.0005919504767213923,18.853500972447385,0.17322595716484557,19.16030534351145,0.3053435114503813,0.8259909868481561,0.00018394187436787668,71.82442748091603,-0.2748091603053382
E3_total_RP_plus_defensive_experience,primary,2023,133,4.477889933248634,0.005683362862013652,0.10508746147263599,0.0006552168956843601,19.523189684347003,0.2440670142103336,19.966165413533833,0.4210526315789451,0.8690306848201587,0.002032107295265373,71.75187969924812,-0.3684210526315752
