variant,kind,target_season,n_team_seasons,nll,delta_vs_E0_nll,crps,delta_vs_E0_crps,expected_rank_mae,delta_vs_E0_expected_rank_mae,median_rank_mae,delta_vs_E0_median_rank_mae,interval_80_coverage,delta_vs_E0_interval_80_coverage,interval_80_average_width,delta_vs_E0_interval_80_average_width
E0_production_C0,primary,aggregate,534,4.542326751937674,0.0,0.11194306775822215,0.0,20.16301079638477,0.0,20.594569288389515,0.0,0.8249770482173018,0.0,71.91947565543072,0.0
E1_no_returning_production,primary,aggregate,534,4.529155734612981,-0.013171017324692613,0.11111614140217868,-0.0008269263560434642,20.226139001710077,0.06312820532530594,20.480337078651687,-0.11423220973782833,0.833830400940448,0.008853352723146246,74.59737827715355,2.6779026217228363
E2_D5,primary,aggregate,534,4.53536290193948,-0.006963849998194327,0.11107627474385705,-0.000866793014365097,20.033809941094773,-0.12920085528999792,20.431647940074907,-0.16292134831460814,0.8269072870916725,0.0019302388743707155,72.34082397003745,0.42134831460673183
E3_total_RP_plus_defensive_experience,primary,aggregate,534,4.533871341935368,-0.00845541000230643,0.11081924501447558,-0.0011238227437465609,19.956065823324348,-0.20694497306042337,20.442883895131086,-0.151685393258429,0.8270188991367255,0.002041850919423771,71.48314606741573,-0.4363295880149849
E4_D5_plus_defensive_experience,primary,aggregate,534,4.533870980767215,-0.008455771170458704,0.11081896956331808,-0.001124098194904069,19.955952454110868,-0.2070583422739034,20.439138576779026,-0.15543071161048871,0.8267405308808291,0.001763482663527327,71.4812734082397,-0.43820224719101475
E5_D5_plus_defensive_impact,primary,aggregate,534,4.542557040296319,0.00023028835864469244,0.11188518694759414,-5.788081062800543e-05,20.17170797701469,0.008697180629919643,20.581460674157302,-0.013108614232212545,0.8265724329691573,0.0015953847518554998,72.5692883895131,0.6498127340823885
E6_D5_plus_experience_plus_impact,primary,aggregate,534,4.535261766377007,-0.007064985560666592,0.11098020111123608,-0.0009628666469860686,20.02564648997102,-0.13736430641375108,20.427902621722847,-0.16666666666666785,0.831202346544701,0.006225298327399265,72.12546816479401,0.20599250936329838
RP_only_mechanism_control,auxiliary,aggregate,534,4.535361000659863,-0.006965751277810739,0.11107627633737303,-0.0008667914208491112,20.033790830306792,-0.12921996607797936,20.433520599250937,-0.16104868913857828,0.8269578995018354,0.0019808512845336246,72.34269662921348,0.4232209737827617
E4-M_experience_availability_only,missingness_control,aggregate,534,4.538776883954361,-0.0035498679833132485,0.11141533225242678,-0.0005277355057953653,20.083628720806892,-0.07938207557787891,20.484082397003746,-0.11048689138576862,0.8279795435647721,0.003002495347470324,72.37078651685393,0.45131086142320953
E5-M_impact_availability_only,missingness_control,aggregate,534,4.538776883954361,-0.0035498679833132485,0.11141533225242678,-0.0005277355057953653,20.083628720806892,-0.07938207557787891,20.484082397003746,-0.11048689138576862,0.8279795435647721,0.003002495347470324,72.37078651685393,0.45131086142320953
E6-M_availability_only,missingness_control,aggregate,534,4.5387780951925025,-0.0035486567451714635,0.11141543592859648,-0.0005276318296256605,20.083610931964127,-0.07939986442064395,20.484082397003746,-0.11048689138576862,0.8279795435647721,0.003002495347470324,72.37265917602996,0.4531835205992394
E4P_experience_within_season_permutation,permutation_control,aggregate,534,4.538709523022157,-0.003617228915516968,0.11141154633376539,-0.0005315214244567545,20.087930339560376,-0.07508045682439501,20.497191011235955,-0.09737827715355962,0.8281799517240527,0.003202903506750898,72.37078651685393,0.45131086142320953
E5P_impact_within_season_permutation,permutation_control,aggregate,534,4.538754345296948,-0.003572406640725667,0.11141222589059886,-0.0005308418676232829,20.081526647146323,-0.08148414923844882,20.485955056179776,-0.10861423220973876,0.8280821550264723,0.0031051068091705325,72.38389513108615,0.46441947565543273
E6P_defense_within_season_permutation,permutation_control,aggregate,534,4.53848382878228,-0.003842923155393585,0.11138797066846623,-0.0005550970897559154,20.080664726172923,-0.08234607021184814,20.487827715355806,-0.1067415730337089,0.828256580644949,0.003279532427647225,72.36516853932584,0.44569288389511996
