comparison,candidate,reference,scope,n_team_seasons,mean_delta_nll,median_delta_nll,fraction_team_seasons_improved
E4_vs_E2,E4_D5_plus_defensive_experience,E2_D5,aggregate,534,-0.0008523766605113848,-0.00018007770662675782,0.5056179775280899
E4_vs_E2,E4_D5_plus_defensive_experience,E2_D5,2022,131,0.004341577183435021,-0.0006504463018872642,0.5343511450381679
E4_vs_E2,E4_D5_plus_defensive_experience,E2_D5,2023,133,0.0020861856157475445,0.001147569494796663,0.44360902255639095
E4_vs_E2,E4_D5_plus_defensive_experience,E2_D5,2024,134,-0.001565534859183794,-0.0006231310852267136,0.5298507462686567
E4_vs_E2,E4_D5_plus_defensive_experience,E2_D5,2025,136,-0.008026446790491634,-0.0005234527254933674,0.5147058823529411
E5_vs_E2,E5_D5_plus_defensive_impact,E2_D5,aggregate,534,0.003244448510639702,0.0,0.49063670411985016
E5_vs_E2,E5_D5_plus_defensive_impact,E2_D5,2022,131,-0.003364707500853954,-0.0011751825285735151,0.5419847328244275
E5_vs_E2,E5_D5_plus_defensive_impact,E2_D5,2023,133,0.002161549704632359,0.001331209303643277,0.42105263157894735
E5_vs_E2,E5_D5_plus_defensive_impact,E2_D5,2024,134,0.003839601606253513,-0.001701739013936443,0.5298507462686567
E5_vs_E2,E5_D5_plus_defensive_impact,E2_D5,2025,136,0.0100832313333779,0.0006160987873111701,0.47058823529411764
E6_vs_E4,E6_D5_plus_experience_plus_impact,E4_D5_plus_defensive_experience,aggregate,534,0.0013714934497333251,0.00021686461976688776,0.46629213483146065
E6_vs_E4,E6_D5_plus_experience_plus_impact,E4_D5_plus_defensive_experience,2022,131,-0.0033457323807020174,2.6362354796027887e-05,0.48854961832061067
E6_vs_E4,E6_D5_plus_experience_plus_impact,E4_D5_plus_defensive_experience,2023,133,0.00272301951794578,-0.00031575636884095815,0.518796992481203
E6_vs_E4,E6_D5_plus_experience_plus_impact,E4_D5_plus_defensive_experience,2024,134,0.0030399718792733384,0.0005557212016908952,0.4552238805970149
E6_vs_E4,E6_D5_plus_experience_plus_impact,E4_D5_plus_defensive_experience,2025,136,0.002949636884706939,0.0006039001361000107,0.40441176470588236
E6_vs_E5,E6_D5_plus_experience_plus_impact,E5_D5_plus_defensive_impact,aggregate,534,-0.0027253317214177616,1.821436309379365e-05,0.4887640449438202
E6_vs_E5,E6_D5_plus_experience_plus_impact,E5_D5_plus_defensive_impact,2022,131,0.004360552303586957,-0.00013792511999399792,0.5190839694656488
E6_vs_E5,E6_D5_plus_experience_plus_impact,E5_D5_plus_defensive_impact,2023,133,0.0026476554290609656,0.0,0.48872180451127817
E6_vs_E5,E6_D5_plus_experience_plus_impact,E5_D5_plus_defensive_impact,2024,134,-0.002365164586163968,0.0005118754064035169,0.4701492537313433
E6_vs_E5,E6_D5_plus_experience_plus_impact,E5_D5_plus_defensive_impact,2025,136,-0.015160041239162595,5.507425736750449e-05,0.47794117647058826
E3_vs_RP_only,E3_total_RP_plus_defensive_experience,RP_only_mechanism_control,aggregate,534,-0.0014896587244950593,-0.0007133494315176847,0.5337078651685393
E3_vs_RP_only,E3_total_RP_plus_defensive_experience,RP_only_mechanism_control,2022,131,0.005191203766995207,-0.0007780881070473811,0.5419847328244275
