variant,feature,included,training_source_available_n,training_source_unavailable_n,location_coefficient_standardized,location_missingness_coefficient,log_scale_coefficient_standardized,log_scale_missingness_coefficient
E0_production_C0,returning_pct_ppa,True,1021,1195,-0.1532845334472251,0.0034646699958612356,0.0,0.0
E0_production_C0,transfer_in_prior_usage_sum,False,,,,,,
E0_production_C0,transfer_in_prior_defensive_experience_sum,False,,,,,,
E0_production_C0,transfer_in_prior_defensive_impact_sum,False,,,,,,
E0_production_C0,transfer_in_prior_defensive_experience_available,False,,,,,,
E0_production_C0,transfer_in_prior_defensive_impact_available,False,,,,,,
E1_no_returning_production,returning_pct_ppa,False,,,,,,
E1_no_returning_production,transfer_in_prior_usage_sum,False,,,,,,
E1_no_returning_production,transfer_in_prior_defensive_experience_sum,False,,,,,,
E1_no_returning_production,transfer_in_prior_defensive_impact_sum,False,,,,,,
E1_no_returning_production,transfer_in_prior_defensive_experience_available,False,,,,,,
E1_no_returning_production,transfer_in_prior_defensive_impact_available,False,,,,,,
E2_D5,returning_pct_ppa,True,1021,1195,-0.2041858833275452,0.006320949168478655,0.0,0.0
E2_D5,transfer_in_prior_usage_sum,True,94,2122,-0.03738748722763817,-0.07130208142149533,0.0,0.0
E2_D5,transfer_in_prior_defensive_experience_sum,False,,,,,,
E2_D5,transfer_in_prior_defensive_impact_sum,False,,,,,,
E2_D5,transfer_in_prior_defensive_experience_available,False,,,,,,
E2_D5,transfer_in_prior_defensive_impact_available,False,,,,,,
E3_total_RP_plus_defensive_experience,returning_pct_ppa,True,1021,1195,-0.20102487423386647,0.00553599131543743,0.0,0.0
E3_total_RP_plus_defensive_experience,transfer_in_prior_usage_sum,False,,,,,,
E3_total_RP_plus_defensive_experience,transfer_in_prior_defensive_experience_sum,True,52,2164,-0.02423395156425154,0.0,0.0,0.0
E3_total_RP_plus_defensive_experience,transfer_in_prior_defensive_impact_sum,False,,,,,,
E3_total_RP_plus_defensive_experience,transfer_in_prior_defensive_experience_available,True,52,2164,0.03329135454608046,0.0,0.0,0.0
E3_total_RP_plus_defensive_experience,transfer_in_prior_defensive_impact_available,False,,,,,,
E4_D5_plus_defensive_experience,returning_pct_ppa,True,1021,1195,-0.2030894267270052,0.005466089244606205,0.0,0.0
E4_D5_plus_defensive_experience,transfer_in_prior_usage_sum,True,94,2122,-0.03302071104179267,-0.01865209638996424,0.0,0.0
E4_D5_plus_defensive_experience,transfer_in_prior_defensive_experience_sum,True,52,2164,-0.016434404347434917,0.0,0.0,0.0
E4_D5_plus_defensive_experience,transfer_in_prior_defensive_impact_sum,False,,,,,,
E4_D5_plus_defensive_experience,transfer_in_prior_defensive_experience_available,True,52,2164,0.028367306203725687,0.0,0.0,0.0
E4_D5_plus_defensive_experience,transfer_in_prior_defensive_impact_available,False,,,,,,
E5_D5_plus_defensive_impact,returning_pct_ppa,True,1021,1195,-0.20473902471501804,0.006271716306625476,0.0,0.0
E5_D5_plus_defensive_impact,transfer_in_prior_usage_sum,True,94,2122,-0.03559312173152209,-0.02260141491699682,0.0,0.0
E5_D5_plus_defensive_impact,transfer_in_prior_defensive_experience_sum,False,,,,,,
E5_D5_plus_defensive_impact,transfer_in_prior_defensive_impact_sum,True,52,2164,0.00447185169276784,0.0,0.0,0.0
E5_D5_plus_defensive_impact,transfer_in_prior_defensive_experience_available,False,,,,,,
E5_D5_plus_defensive_impact,transfer_in_prior_defensive_impact_available,True,52,2164,0.016556499844134657,0.0,0.0,0.0
E6_D5_plus_experience_plus_impact,returning_pct_ppa,True,1021,1195,-0.20433375722141522,0.0060490121383335324,0.0,0.0
E6_D5_plus_experience_plus_impact,transfer_in_prior_usage_sum,True,94,2122,-0.030482852162610076,-0.012023535327536949,0.0,0.0
E6_D5_plus_experience_plus_impact,transfer_in_prior_defensive_experience_sum,True,52,2164,-0.0309329662108739,0.0,0.0,0.0
E6_D5_plus_experience_plus_impact,transfer_in_prior_defensive_impact_sum,True,52,2164,0.01937153794175643,0.0,0.0,0.0
E6_D5_plus_experience_plus_impact,transfer_in_prior_defensive_experience_available,True,52,2164,0.0164589896076777,0.0,0.0,0.0
E6_D5_plus_experience_plus_impact,transfer_in_prior_defensive_impact_available,True,52,2164,0.0164589896076777,0.0,0.0,0.0
E4-M_experience_availability_only,returning_pct_ppa,True,1021,1195,-0.2042300217418041,0.006091175050801251,0.0,0.0
E4-M_experience_availability_only,transfer_in_prior_usage_sum,True,94,2122,-0.03567445398306371,-0.023721687358967816,0.0,0.0
E4-M_experience_availability_only,transfer_in_prior_defensive_experience_sum,False,,,,,,
E4-M_experience_availability_only,transfer_in_prior_defensive_impact_sum,False,,,,,,
E4-M_experience_availability_only,transfer_in_prior_defensive_experience_available,True,52,2164,0.01762645247446714,0.0,0.0,0.0
E4-M_experience_availability_only,transfer_in_prior_defensive_impact_available,False,,,,,,
E5-M_impact_availability_only,returning_pct_ppa,True,1021,1195,-0.2042300217418041,0.006091175050801251,0.0,0.0
E5-M_impact_availability_only,transfer_in_prior_usage_sum,True,94,2122,-0.03567445398306371,-0.023721687358967816,0.0,0.0
E5-M_impact_availability_only,transfer_in_prior_defensive_experience_sum,False,,,,,,
E5-M_impact_availability_only,transfer_in_prior_defensive_impact_sum,False,,,,,,
E5-M_impact_availability_only,transfer_in_prior_defensive_experience_available,False,,,,,,
E5-M_impact_availability_only,transfer_in_prior_defensive_impact_available,True,52,2164,0.01762645247446714,0.0,0.0,0.0
E6-M_availability_only,returning_pct_ppa,True,1021,1195,-0.20422555297872066,0.006063173859634656,0.0,0.0
E6-M_availability_only,transfer_in_prior_usage_sum,True,94,2122,-0.035643112694819644,-0.023368351122703745,0.0,0.0
E6-M_availability_only,transfer_in_prior_defensive_experience_sum,False,,,,,,
E6-M_availability_only,transfer_in_prior_defensive_impact_sum,False,,,,,,
E6-M_availability_only,transfer_in_prior_defensive_experience_available,True,52,2164,0.008834720186277964,0.0,0.0,0.0
E6-M_availability_only,transfer_in_prior_defensive_impact_available,True,52,2164,0.008834720186277964,0.0,0.0,0.0
