target_season,train_through,candidate,candidate_name,feature,standardized_location_coefficient,sign,magnitude,change_from_prior_fit,location_missingness_indicator_coefficient,standardized_scale_coefficient,training_source_available_n,training_source_unresolved_n,training_source_available_fraction
2022,2021,R2,D5_plus_defensive_experience,returning_pct_ppa,-0.2030894267270052,negative,0.2030894267270052,,0.005466089244606205,0.0,1021,1195,0.46074007220216606
2022,2021,R2,D5_plus_defensive_experience,transfer_in_prior_usage_sum,-0.03302071104179267,negative,0.03302071104179267,,-0.01865209638996424,0.0,94,2122,0.042418772563176894
2022,2021,R2,D5_plus_defensive_experience,transfer_in_prior_defensive_experience_sum,-0.016434404347434917,negative,0.016434404347434917,,0.0,0.0,52,2164,0.023465703971119134
2022,2021,R2,D5_plus_defensive_experience,transfer_in_prior_defensive_experience_available,0.028367306203725687,positive,0.028367306203725687,,0.0,0.0,52,2164,0.023465703971119134
2023,2022,R2,D5_plus_defensive_experience,returning_pct_ppa,-0.21153637374348114,negative,0.21153637374348114,-0.008446947016475942,-0.005081312617928143,0.0,1151,1195,0.4906223358908781
2023,2022,R2,D5_plus_defensive_experience,transfer_in_prior_usage_sum,-0.06314302990581791,negative,0.06314302990581791,-0.030122318864025242,-0.0342226453780053,0.0,205,2141,0.08738277919863598
2023,2022,R2,D5_plus_defensive_experience,transfer_in_prior_defensive_experience_sum,0.015251903332626314,positive,0.015251903332626314,0.03168630768006123,0.0,0.0,104,2242,0.0443307757885763
2023,2022,R2,D5_plus_defensive_experience,transfer_in_prior_defensive_experience_available,0.01823256761796518,positive,0.01823256761796518,-0.010134738585760507,0.0,0.0,104,2242,0.0443307757885763
2024,2023,R2,D5_plus_defensive_experience,returning_pct_ppa,-0.22545221464481793,negative,0.22545221464481793,-0.013915840901336796,-0.009284225080423198,0.0,1282,1195,0.517561566410981
2024,2023,R2,D5_plus_defensive_experience,transfer_in_prior_usage_sum,-0.057530537495434624,negative,0.057530537495434624,0.0056124924103832866,0.053418203516901824,0.0,322,2155,0.12999596285829632
2024,2023,R2,D5_plus_defensive_experience,transfer_in_prior_defensive_experience_sum,0.0103376362323365,positive,0.0103376362323365,-0.004914267100289815,0.0,0.0,155,2322,0.06257569640694388
2024,2023,R2,D5_plus_defensive_experience,transfer_in_prior_defensive_experience_available,0.016179650077901297,positive,0.016179650077901297,-0.002052917540063884,0.0,0.0,155,2322,0.06257569640694388
2025,2024,R2,D5_plus_defensive_experience,returning_pct_ppa,-0.22182004319754642,negative,0.22182004319754642,0.003632171447271515,-0.021351215016629926,0.0,1415,1195,0.5421455938697318
2025,2024,R2,D5_plus_defensive_experience,transfer_in_prior_usage_sum,-0.07977107745700822,negative,0.07977107745700822,-0.022240539961573595,0.08130576657128992,0.0,451,2159,0.1727969348659004
2025,2024,R2,D5_plus_defensive_experience,transfer_in_prior_defensive_experience_sum,-0.0046245401641325165,negative,0.0046245401641325165,-0.014962176396469016,0.0,0.0,193,2417,0.0739463601532567
2025,2024,R2,D5_plus_defensive_experience,transfer_in_prior_defensive_experience_available,0.01974066720883323,positive,0.01974066720883323,0.0035610171309319316,0.0,0.0,193,2417,0.0739463601532567
