protocol,target_season,train_through,candidate,n_team_seasons,nll,crps,expected_rank_mae,median_rank_mae,interval_80_coverage,interval_80_average_width,delta_nll_vs_R0,delta_crps_vs_R0,delta_expected_rank_mae_vs_R0,delta_median_rank_mae_vs_R0,delta_interval_80_coverage_vs_R0,delta_interval_80_average_width_vs_R0,delta_nll_vs_R1,delta_crps_vs_R1,delta_expected_rank_mae_vs_R1,delta_median_rank_mae_vs_R1,delta_interval_80_coverage_vs_R1,delta_interval_80_average_width_vs_R1
frozen_through_2021,2022,2021,R0,131,4.46687895474135,0.1070808440668973,18.68027501528254,18.85496183206107,0.8258070449737882,72.09923664122137,0.0,0.0,0.0,0.0,0.0,0.0,0.010500159670408848,0.0014663494832516666,0.16424010548943002,0.3282442748091583,-0.007357674974708184,0.4045801526717554
frozen_through_2021,2022,2021,R1,131,4.4563787950709415,0.10561449458364564,18.51603490979311,18.52671755725191,0.8331647199484964,71.69465648854961,-0.010500159670408848,-0.0014663494832516666,-0.16424010548943002,-0.3282442748091583,0.007357674974708184,-0.4045801526717554,0.0,0.0,0.0,0.0,0.0,0.0
frozen_through_2021,2022,2021,R2,131,4.460720372254376,0.10566029359970514,18.488069881747702,18.519083969465647,0.833348661822864,71.59541984732824,-0.006158582486974318,-0.0014205504671921665,-0.1922051335348378,-0.33587786259542085,0.007541616849075838,-0.5038167938931224,0.004341577183434531,4.57990160595001e-05,-0.02796502804540779,-0.007633587786262552,0.00018394187436765463,-0.099236641221367
frozen_through_2021,2023,2021,R0,133,4.4722065703866205,0.10443224457695163,19.27912267013667,19.545112781954888,0.8669985775248933,72.1203007518797,0.0,0.0,0.0,0.0,0.0,0.0,0.0037823446949785122,0.0004238555728905552,0.12325256691817543,0.14285714285714235,-0.004064214590530413,-0.2330827067669219
frozen_through_2021,2023,2021,R1,133,4.468424225691642,0.10400838900406108,19.155870103218493,19.402255639097746,0.8710627921154237,72.35338345864662,-0.0037823446949785122,-0.0004238555728905552,-0.12325256691817543,-0.14285714285714235,0.004064214590530413,0.2330827067669219,0.0,0.0,0.0,0.0,0.0,0.0
frozen_through_2021,2023,2021,R2,133,4.470510411307389,0.10451743171205705,19.376934705955918,19.82330827067669,0.8698435277382646,71.84962406015038,-0.0016961590792314851,8.518713510541343e-05,0.09781203581924913,0.2781954887218028,0.002844950213371278,-0.27067669172932085,0.002086185615747027,0.0005090427079959686,0.22106460273742456,0.4210526315789451,-0.001219264377159135,-0.5037593984962427
frozen_through_2021,2024,2021,R0,134,4.584023541620271,0.11828325718207185,21.017995994307483,21.708955223880597,0.8045771144278607,70.8731343283582,0.0,0.0,0.0,0.0,0.0,0.0,0.03480644000204691,0.0038052733591373705,0.6034918029491685,1.007462686567166,-0.01024875621890542,0.3955223880597032
frozen_through_2021,2024,2021,R1,134,4.549217101618224,0.11447798382293448,20.414504191358315,20.70149253731343,0.8148258706467661,70.4776119402985,-0.03480644000204691,-0.0038052733591373705,-0.6034918029491685,-1.007462686567166,0.01024875621890542,-0.3955223880597032,0.0,0.0,0.0,0.0,0.0,0.0
frozen_through_2021,2024,2021,R2,134,4.547651566759039,0.11382990290936279,20.234247012900845,20.492537313432837,0.8193034825870646,70.32089552238806,-0.03637197486123167,-0.004453354272709056,-0.7837489814066387,-1.2164179104477597,0.014726368159203918,-0.5522388059701484,-0.0015655348591847584,-0.0006480809135716858,-0.18025717845747025,-0.20895522388059362,0.004477611940298498,-0.15671641791044522
frozen_through_2021,2025,2021,R0,136,4.642490544301942,0.11772472513966825,21.61321294045643,22.198529411764707,0.8031829170024174,72.58088235294117,0.0,0.0,0.0,0.0,0.0,0.0,0.08635877512853263,0.009960333124817311,1.7708746872640617,2.161764705882355,-0.028807413376309432,-0.705882352941174
frozen_through_2021,2025,2021,R1,136,4.556131769173409,0.10776439201485094,19.84233825319237,20.03676470588235,0.8319903303787268,73.28676470588235,-0.08635877512853263,-0.009960333124817311,-1.7708746872640617,-2.161764705882355,0.028807413376309432,0.705882352941174,0.0,0.0,0.0,0.0,0.0,0.0
frozen_through_2021,2025,2021,R2,136,4.548105322382918,0.106984634847001,19.488628052576534,19.71323529411765,0.8255439161966156,72.36764705882354,-0.09438522191902354,-0.010740090292667245,-2.124584887879898,-2.485294117647058,0.022360999194198206,-0.21323529411763786,-0.008026446790490915,-0.0007797571678499343,-0.35371020061583636,-0.32352941176470296,-0.006446414182111226,-0.9191176470588118
