target_season,left_candidate,right_candidate,n_team_seasons,delta_nll,delta_crps,delta_expected_rank_mae,delta_median_rank_mae,delta_interval_80_coverage,delta_interval_80_average_width
2022,R1,R0,131,-0.010500159670408848,-0.0014663494832516666,-0.16424010548943002,-0.3282442748091583,0.007357674974708184,-0.4045801526717554
2022,R2,R1,131,0.004341577183434531,4.57990160595001e-05,-0.02796502804540779,-0.007633587786262552,0.00018394187436765463,-0.099236641221367
2022,R2,R0,131,-0.006158582486974318,-0.0014205504671921665,-0.1922051335348378,-0.33587786259542085,0.007541616849075838,-0.5038167938931224
2023,R1,R0,133,-0.0005141720014343321,2.20623721919333e-05,-0.053884004823022025,-0.23308270676691834,-0.0013208697419224702,0.09022556390978309
2023,R2,R1,133,0.003147874356201008,0.0005961407488543208,0.2627534037654655,0.36842105263157876,-0.0006096321885794564,0.06766917293232666
2023,R2,R0,133,0.002633702354766676,0.0006182031210462541,0.2088693989424435,0.13533834586466043,-0.0019305019305019266,0.15789473684210975
2024,R1,R0,134,-0.026081620690099783,-0.0028866603264876417,-0.38783708779868675,-0.6044776119403004,0.019291380933171953,-0.1641791044776113
2024,R2,R1,134,0.0024562476988965187,0.00033093172135149895,0.0305159655012055,0.014925373134328623,-0.003980099502487566,0.20149253731342753
2024,R2,R0,134,-0.023625372991203264,-0.0025557286051361428,-0.35732112229748125,-0.5895522388059717,0.015311281430684387,0.03731343283581623
2025,R1,R0,136,-0.05636072581455398,-0.0067233376209979295,-1.2274801247558536,-1.5735294117647065,0.015511684125705028,0.08088235294117396
2025,R2,R1,136,-0.0002188741380315662,-1.4685805033456956e-05,-0.014506012083746356,0.0661764705882355,0.00030217566478651925,0.11029411764705799
2025,R2,R0,136,-0.056579599952585546,-0.0067380234260313865,-1.2419861368396,-1.507352941176471,0.015813859790491547,0.19117647058823195
