protocol,target_season,train_through,candidate,n_team_seasons,nll,crps,expected_rank_mae,median_rank_mae,interval_80_coverage,interval_80_average_width,delta_nll_vs_R0,delta_crps_vs_R0,delta_expected_rank_mae_vs_R0,delta_median_rank_mae_vs_R0,delta_interval_80_coverage_vs_R0,delta_interval_80_average_width_vs_R0,delta_nll_vs_R1,delta_crps_vs_R1,delta_expected_rank_mae_vs_R1,delta_median_rank_mae_vs_R1,delta_interval_80_coverage_vs_R1,delta_interval_80_average_width_vs_R1
rolling_origin,2022,2021,R0,131,4.46687895474135,0.1070808440668973,18.68027501528254,18.85496183206107,0.8258070449737882,72.09923664122137,0.0,0.0,0.0,0.0,0.0,0.0,0.010500159670408848,0.0014663494832516666,0.16424010548943002,0.3282442748091583,-0.007357674974708184,0.4045801526717554
rolling_origin,2022,2021,R1,131,4.4563787950709415,0.10561449458364564,18.51603490979311,18.52671755725191,0.8331647199484964,71.69465648854961,-0.010500159670408848,-0.0014663494832516666,-0.16424010548943002,-0.3282442748091583,0.007357674974708184,-0.4045801526717554,0.0,0.0,0.0,0.0,0.0,0.0
rolling_origin,2022,2021,R2,131,4.460720372254376,0.10566029359970514,18.488069881747702,18.519083969465647,0.833348661822864,71.59541984732824,-0.006158582486974318,-0.0014205504671921665,-0.1922051335348378,-0.33587786259542085,0.007541616849075838,-0.5038167938931224,0.004341577183434531,4.57990160595001e-05,-0.02796502804540779,-0.007633587786262552,0.00018394187436765463,-0.099236641221367
rolling_origin,2023,2022,R0,133,4.468551237350579,0.10406083971082318,19.209350371986613,19.590225563909776,0.8709611867506605,71.9172932330827,0.0,0.0,0.0,0.0,0.0,0.0,0.0005141720014343321,-2.20623721919333e-05,0.053884004823022025,0.23308270676691834,0.0013208697419224702,-0.09022556390978309
rolling_origin,2023,2022,R1,133,4.468037065349145,0.10408290208301511,19.15546636716359,19.357142857142858,0.869640317008738,72.00751879699249,-0.0005141720014343321,2.20623721919333e-05,-0.053884004823022025,-0.23308270676691834,-0.0013208697419224702,0.09022556390978309,0.0,0.0,0.0,0.0,0.0,0.0
rolling_origin,2023,2022,R2,133,4.471184939705346,0.10467904283186943,19.418219770929056,19.725563909774436,0.8690306848201585,72.07518796992481,0.002633702354766676,0.0006182031210462541,0.2088693989424435,0.13533834586466043,-0.0019305019305019266,0.15789473684210975,0.003147874356201008,0.0005961407488543208,0.2627534037654655,0.36842105263157876,-0.0006096321885794564,0.06766917293232666
rolling_origin,2024,2023,R0,134,4.579347380759295,0.1179393845632902,20.977878422460595,21.64179104477612,0.7941414548877236,70.5,0.0,0.0,0.0,0.0,0.0,0.0,0.026081620690099783,0.0028866603264876417,0.38783708779868675,0.6044776119403004,-0.019291380933171953,0.1641791044776113
rolling_origin,2024,2023,R1,134,4.553265760069195,0.11505272423680256,20.590041334661908,21.03731343283582,0.8134328358208955,70.33582089552239,-0.026081620690099783,-0.0028866603264876417,-0.38783708779868675,-0.6044776119403004,0.019291380933171953,-0.1641791044776113,0.0,0.0,0.0,0.0,0.0,0.0
rolling_origin,2024,2023,R2,134,4.555722007768091,0.11538365595815406,20.620557300163114,21.05223880597015,0.809452736318408,70.53731343283582,-0.023625372991203264,-0.0025557286051361428,-0.35732112229748125,-0.5895522388059717,0.015311281430684387,0.03731343283581623,0.0024562476988965187,0.00033093172135149895,0.0305159655012055,0.014925373134328623,-0.003980099502487566,0.20149253731342753
rolling_origin,2025,2024,R0,136,4.608738296292714,0.11451622740360197,21.15256981194185,21.647058823529413,0.8126510878323933,73.45588235294117,0.0,0.0,0.0,0.0,0.0,0.0,0.05636072581455398,0.0067233376209979295,1.2274801247558536,1.5735294117647065,-0.015511684125705028,-0.08088235294117396
rolling_origin,2025,2024,R1,136,4.55237757047816,0.10779288978260404,19.925089687185995,20.073529411764707,0.8281627719580983,73.53676470588235,-0.05636072581455398,-0.0067233376209979295,-1.2274801247558536,-1.5735294117647065,0.015511684125705028,0.08088235294117396,0.0,0.0,0.0,0.0,0.0,0.0
rolling_origin,2025,2024,R2,136,4.552158696340128,0.10777820397757058,19.91058367510225,20.139705882352942,0.8284649476228848,73.6470588235294,-0.056579599952585546,-0.0067380234260313865,-1.2419861368396,-1.507352941176471,0.015813859790491547,0.19117647058823195,-0.0002188741380315662,-1.4685805033456956e-05,-0.014506012083746356,0.0661764705882355,0.00030217566478651925,0.11029411764705799
