candidate,season,evaluation_period,fit_period,game_key_sha256,marginalized_nll,expected_margin_mae,n_games,n_pseudo_observations,coverage_50,interval_width_50,coverage_80,interval_width_80,coverage_95,interval_width_95
v1,2018,development_2018_2021,training_2003_2017,21c2e9ee92d2c07b45dc3e2dcefe6bfd20dcab237456db2d1ae8c91131e7f2aa,4.091167115066652,11.354561600059055,1495,107741,0.5063545150501673,18.719174131192684,0.7959866220735786,36.30662700756972,0.9478260869565217,57.72446660145937
v1,2019,development_2018_2021,training_2003_2017,3446681e680fecd804e11e61ee5c7a5ffd8e03a3ebc7e01518a39e5c8de2f774,4.033183454292173,10.736597517010647,1554,103115,0.51994851994852,18.71113737534102,0.8198198198198198,36.29103938094623,0.9626769626769627,57.69968359332601
v1,2020,development_2018_2021,training_2003_2017,edc96c32d94f951e8a4ff8d0efb8b791abf91008dbbeac4ce058a8fa58e962be,4.10916580440894,11.755335698607963,823,30068,0.4787363304981774,18.918497826923666,0.7970838396111786,36.69322371445201,0.951397326852977,58.33912267209925
v1,2021,development_2018_2021,training_2003_2017,9540dbac0bd87bca8ed0c6a3d0b17ecf545ecef1ede165c9b41780d8826aa2c5,4.056414566979035,11.131777678057198,1522,81894,0.4914586070959264,18.71947080736331,0.8101182654402103,36.30720242350387,0.9605781865965834,57.7253814641335
a,2018,development_2018_2021,training_2003_2017,21c2e9ee92d2c07b45dc3e2dcefe6bfd20dcab237456db2d1ae8c91131e7f2aa,4.092261282825358,11.354561600059055,1495,107741,0.505685618729097,18.71939988811272,0.7926421404682275,36.30706487262898,0.9491638795986622,57.725162769874665
a,2019,development_2018_2021,training_2003_2017,3446681e680fecd804e11e61ee5c7a5ffd8e03a3ebc7e01518a39e5c8de2f774,4.031809544479112,10.736597517010647,1554,103115,0.5167310167310167,18.700067269041988,0.8217503217503217,36.2695684433121,0.963963963963964,57.66554661821937
a,2020,development_2018_2021,training_2003_2017,edc96c32d94f951e8a4ff8d0efb8b791abf91008dbbeac4ce058a8fa58e962be,4.1128425897428,11.755335698607963,823,30068,0.47630619684082626,18.99818011829821,0.7982989064398542,36.847770876189415,0.9550425273390036,58.58483958968021
a,2021,development_2018_2021,training_2003_2017,9540dbac0bd87bca8ed0c6a3d0b17ecf545ecef1ede165c9b41780d8826aa2c5,4.055719751875483,11.131777678057198,1522,81894,0.4940867279894875,18.722671934925998,0.8134034165571616,36.31341114529936,0.9632063074901446,57.73525280673569
b,2018,development_2018_2021,training_2003_2017,21c2e9ee92d2c07b45dc3e2dcefe6bfd20dcab237456db2d1ae8c91131e7f2aa,4.089159930714981,11.354561600059055,1495,107741,0.5050167224080268,18.96583071584061,0.8,36.785027846998354,0.9478260869565217,58.48508347925279
b,2019,development_2018_2021,training_2003_2017,3446681e680fecd804e11e61ee5c7a5ffd8e03a3ebc7e01518a39e5c8de2f774,4.028650989169289,10.736597517010647,1554,103115,0.5148005148005148,18.869378663082443,0.8281853281853282,36.59795502642078,0.9620334620334621,58.18765351471162
b,2020,development_2018_2021,training_2003_2017,edc96c32d94f951e8a4ff8d0efb8b791abf91008dbbeac4ce058a8fa58e962be,4.111671227344249,11.755335698607963,823,30068,0.4726609963547995,19.12410684229394,0.795868772782503,37.09201106362266,0.9574726609963548,58.973160833052255
b,2021,development_2018_2021,training_2003_2017,9540dbac0bd87bca8ed0c6a3d0b17ecf545ecef1ede165c9b41780d8826aa2c5,4.052984010897774,11.131777678057198,1522,81894,0.4973718791064389,18.790746535192596,0.8068331143232589,36.44544470101325,0.9638633377135348,57.94517499464616
c14,2018,development_2018_2021,training_2003_2017,21c2e9ee92d2c07b45dc3e2dcefe6bfd20dcab237456db2d1ae8c91131e7f2aa,4.137248627274651,11.505076023276986,1495,107741,0.48561872909698994,17.827217436531914,0.8040133779264214,37.83419570737924,0.9645484949832775,71.97759520541715
c14,2019,development_2018_2021,training_2003_2017,3446681e680fecd804e11e61ee5c7a5ffd8e03a3ebc7e01518a39e5c8de2f774,4.066410482449525,10.836706736483798,1554,103115,0.49613899613899615,17.765227115032534,0.824967824967825,37.6648340026719,0.9742599742599742,71.52061035093229
c14,2020,development_2018_2021,training_2003_2017,edc96c32d94f951e8a4ff8d0efb8b791abf91008dbbeac4ce058a8fa58e962be,4.1488612681086705,11.64057442530984,823,30068,0.4459295261239368,17.796174033856573,0.787363304981774,37.929612456892535,0.9526123936816525,72.73666130099839
c14,2021,development_2018_2021,training_2003_2017,9540dbac0bd87bca8ed0c6a3d0b17ecf545ecef1ede165c9b41780d8826aa2c5,4.104679465098306,11.21020872497972,1522,81894,0.47109067017082784,17.77215577204952,0.816688567674113,37.64339119013734,0.9697766097240473,71.34739785850397
c21,2018,development_2018_2021,training_2003_2017,21c2e9ee92d2c07b45dc3e2dcefe6bfd20dcab237456db2d1ae8c91131e7f2aa,4.114681838304169,11.445813827215206,1495,107741,0.48695652173913045,17.974763998937465,0.8013377926421404,36.80838643190386,0.9591973244147157,65.3110436434525
c21,2019,development_2018_2021,training_2003_2017,3446681e680fecd804e11e61ee5c7a5ffd8e03a3ebc7e01518a39e5c8de2f774,4.0468316246754,10.783940483228355,1554,103115,0.4980694980694981,17.89304760734584,0.8262548262548263,36.62072413022296,0.974903474903475,64.90796729931826
c21,2020,development_2018_2021,training_2003_2017,edc96c32d94f951e8a4ff8d0efb8b791abf91008dbbeac4ce058a8fa58e962be,4.128740514669155,11.660449030500548,823,30068,0.44471445929526127,18.003148082903078,0.7849331713244229,36.94690138905932,0.9526123936816525,65.83640782450821
c21,2021,development_2018_2021,training_2003_2017,9540dbac0bd87bca8ed0c6a3d0b17ecf545ecef1ede165c9b41780d8826aa2c5,4.081270440701961,11.174731614029898,1522,81894,0.4816031537450723,17.87945465500775,0.8081471747700394,36.57364769529974,0.9671484888304862,64.75723941592615
c28,2018,development_2018_2021,training_2003_2017,21c2e9ee92d2c07b45dc3e2dcefe6bfd20dcab237456db2d1ae8c91131e7f2aa,4.104149162410381,11.414068209590116,1495,107741,0.48963210702341137,18.14865387571282,0.8020066889632107,36.49646317690199,0.9551839464882943,62.467084978345255
c28,2019,development_2018_2021,training_2003_2017,3446681e680fecd804e11e61ee5c7a5ffd8e03a3ebc7e01518a39e5c8de2f774,4.038495889774152,10.762234785660828,1554,103115,0.5012870012870013,18.058744264499573,0.8243243243243243,36.30243599309587,0.972972972972973,62.09000302376574
c28,2020,development_2018_2021,training_2003_2017,edc96c32d94f951e8a4ff8d0efb8b791abf91008dbbeac4ce058a8fa58e962be,4.120453118790733,11.680482195534953,823,30068,0.4532199270959903,18.215617257176547,0.7849331713244229,36.677454998168024,0.9550425273390036,62.9354816084381
c28,2021,development_2018_2021,training_2003_2017,9540dbac0bd87bca8ed0c6a3d0b17ecf545ecef1ede165c9b41780d8826aa2c5,4.070202852849747,11.15697272589951,1522,81894,0.48291721419185285,18.03056688368144,0.8042049934296978,36.23386277234079,0.9697766097240473,61.93187566597663
c42,2018,development_2018_2021,training_2003_2017,21c2e9ee92d2c07b45dc3e2dcefe6bfd20dcab237456db2d1ae8c91131e7f2aa,4.09539146191419,11.38656919961238,1495,107741,0.49498327759197325,18.418996683628524,0.7979933110367893,36.41383410415251,0.9505016722408027,60.217647841487455
c42,2019,development_2018_2021,training_2003_2017,3446681e680fecd804e11e61ee5c7a5ffd8e03a3ebc7e01518a39e5c8de2f774,4.032205131524169,10.745326341680421,1554,103115,0.5096525096525096,18.32371100548219,0.8211068211068211,36.21826460144046,0.9684684684684685,59.870049266753135
c42,2020,development_2018_2021,training_2003_2017,edc96c32d94f951e8a4ff8d0efb8b791abf91008dbbeac4ce058a8fa58e962be,4.114514345991852,11.70745903705764,823,30068,0.4641555285540705,18.52813708220002,0.7885783718104495,36.64949746483419,0.9574726609963548,60.67441862991036
c42,2021,development_2018_2021,training_2003_2017,9540dbac0bd87bca8ed0c6a3d0b17ecf545ecef1ede165c9b41780d8826aa2c5,4.060762647111118,11.143038513044882,1522,81894,0.4894875164257556,18.277114265423283,0.8055190538764783,36.120289041426645,0.966491458607096,59.68832379403181
