period,dimension,bin,n_games,residual_mae,residual_variance,robust_scale_mad,coverage_50,coverage_80,coverage_95,mean_expected_margin,mean_total_points
development_2018_2021,absolute_v1_expected_margin,q1,1388,10.723646972578603,195.20914075047622,12.330340938336889,0.5511527377521613,0.8170028818443804,0.9531700288184438,-0.028237347124869583,54.581412103746395
development_2018_2021,absolute_v1_expected_margin,q2,1242,11.02622679339514,202.28056812911632,12.772166614446654,0.5273752012882448,0.8067632850241546,0.9557165861513688,1.2488544736087561,54.3743961352657
development_2018_2021,absolute_v1_expected_margin,q3,1354,10.923208736746753,180.6979633561761,13.818727478365751,0.4985228951255539,0.8412112259970458,0.965288035450517,2.8157600496756165,54.86779911373708
development_2018_2021,absolute_v1_expected_margin,q4,1410,11.879966018497017,213.23576736656037,15.717328837765267,0.4482269503546099,0.7773049645390071,0.9645390070921985,18.256554044143513,57.180851063829785
development_2018_2021,observed_margin_magnitude,q1,1318,9.095844721721742,123.61506787925245,11.394757622517622,0.5933232169954477,0.8937784522003035,0.9893778452200304,3.088917502797198,54.295902883156295
development_2018_2021,observed_margin_magnitude,q2,1332,8.451695815554565,104.80591789502506,10.550370919981038,0.6276276276276276,0.9226726726726727,0.9977477477477478,2.9756819471530274,52.30705705705706
development_2018_2021,observed_margin_magnitude,q3,1348,10.316381538402789,166.7569867664232,12.881434669498203,0.5318991097922848,0.8419881305637982,0.9762611275964391,4.277801984055331,54.79673590504451
development_2018_2021,observed_margin_magnitude,q4,1396,16.45222629488314,365.3723571102092,19.43873435669904,0.2808022922636103,0.5938395415472779,0.8796561604584527,12.367396440626626,59.53223495702006
development_2018_2021,pairing,fbs-fbs,2850,11.089687192749297,195.25586329618545,13.748756387086727,0.5052631578947369,0.8112280701754386,0.9631578947368421,4.251032739792113,56.113684210526316
development_2018_2021,pairing,fbs-fcs,377,11.31861568321366,204.69195286009185,14.10741325065131,0.4907161803713528,0.7957559681697612,0.9522546419098143,29.00618987883602,58.90185676392573
development_2018_2021,pairing,fcs-fcs,2167,11.189222786831893,200.4483835926648,13.779666121681883,0.5085371481310568,0.8117212736502076,0.9566220581449008,3.6988404407878144,53.56622058144901
development_2018_2021,site,neutral,249,11.273037346135958,210.6035652031394,13.855554574243877,0.5020080321285141,0.7791164658634538,0.9598393574297188,0.49560759948788796,55.46987951807229
development_2018_2021,site,non_neutral,5145,11.139511388101829,197.23856707950233,13.81801964773753,0.5057337220602527,0.8118561710398445,0.9597667638483965,6.014141464653725,55.27619047619048
development_2018_2021,total_points,q1,1094,9.950080917893715,155.66186315642292,12.017691613491564,0.5539305301645339,0.8546617915904936,0.9780621572212066,4.765256184167665,31.572212065813527
development_2018_2021,total_points,q2,1308,10.725229167711419,174.83606538196025,13.820721273675424,0.5107033639143731,0.8264525993883792,0.9762996941896025,5.258967717822722,46.13608562691132
development_2018_2021,total_points,q3,1439,11.88631613373177,223.16254630920488,14.772077787492716,0.47533009034051427,0.7817929117442669,0.9478804725503822,5.696804764121453,57.670604586518415
development_2018_2021,total_points,q4,1553,11.655747069536046,222.3774359636128,14.265531747218413,0.4951706374758532,0.7920154539600772,0.943979394719897,6.939177097201275,77.48486799742435
training_2003_2017,absolute_v1_expected_margin,q1,5186,10.248823190326302,183.36058554812223,11.431265252459596,0.5823370613189356,0.823949093713845,0.956999614346317,0.07187097764977235,52.023524874662556
training_2003_2017,absolute_v1_expected_margin,q2,5185,10.31105731473303,178.74257304969157,12.055681631130252,0.5635486981677917,0.8424300867888139,0.9596914175506268,1.0998540123307272,52.177434908389586
training_2003_2017,absolute_v1_expected_margin,q3,5186,10.7767991847066,180.1927799576753,13.888643417086849,0.503470883146934,0.848630929425376,0.9654839953721558,3.4236478445184493,53.15059776320864
training_2003_2017,absolute_v1_expected_margin,q4,5186,11.184314530705956,193.63372187353963,14.288723358665912,0.48785190898573083,0.8052448900887004,0.9674122637871192,16.796067298169845,55.479753181642884
training_2003_2017,observed_margin_magnitude,q1,5148,8.139659991521363,99.18765612815974,10.297253292702138,0.6392773892773893,0.9314296814296814,0.9968919968919969,1.851726693729884,51.17113442113442
training_2003_2017,observed_margin_magnitude,q2,5171,7.989578190447001,97.36152970565645,10.073062415149183,0.6551924192612647,0.933475149874299,0.9965190485399342,2.7102587320585845,50.91877779926513
training_2003_2017,observed_margin_magnitude,q3,5231,9.505182272293924,144.63053141476001,11.65859116990701,0.5763716306633531,0.8717262473714394,0.9827948766966164,4.895841610283054,52.2194609061365
training_2003_2017,observed_margin_magnitude,q4,5193,16.862098602836426,365.39532850754233,19.22317788165907,0.267475447718082,0.5846331600231081,0.8736761024455999,11.896268878840939,58.50202195262854
training_2003_2017,pairing,fbs-fbs,10834,10.890475143795664,192.91614308664393,13.19274081547654,0.5241831271921727,0.8206571903267491,0.9577256784197895,4.3943259943622515,54.438619161897726
training_2003_2017,pairing,fbs-fcs,1330,11.096967374835023,191.80740481975891,13.961794958088054,0.49774436090225566,0.8120300751879699,0.9699248120300752,27.687405902182793,55.45864661654135
training_2003_2017,pairing,fcs-fcs,8579,10.229303025252323,171.6504601515286,12.33267948686081,0.5527450751835878,0.8447371488518476,0.9671290360181839,3.0892331275421725,51.30469751719315
training_2003_2017,site,neutral,2047,10.286753335719819,176.14401081063133,11.618578126098047,0.5652173913043478,0.8348803126526624,0.9594528578407425,2.1618398730381765,53.29115779189057
training_2003_2017,site,non_neutral,18696,10.667874459340714,184.62830417146262,12.997216592770021,0.5309157038938811,0.829535729567822,0.9627192982456141,5.696920328086162,53.19875909285409
training_2003_2017,total_points,q1,5044,9.173193564439508,132.7918202834097,11.33903816244449,0.5898096748612213,0.8913560666137986,0.9871134020618557,3.8034766373401,30.926249008723236
training_2003_2017,total_points,q2,5074,10.122574102995166,164.20789803874172,12.477305617876546,0.5500591249507292,0.8498226251478124,0.974182104848246,5.202517385863265,46.1491919590067
training_2003_2017,total_points,q3,5379,11.247372480096608,201.4323670775775,13.918640570823802,0.5043688417921547,0.8060977876928798,0.9531511433351925,6.225121781882326,57.52184420896077
training_2003_2017,total_points,q4,5246,11.889519455200622,231.15371520462054,14.167124312915249,0.49637819290888296,0.776591688905833,0.936713686618376,6.074660547969754,77.03545558520777
