candidate,center_defense,center_offense,cutoff,defense_scalar_correlation,n_games,n_teams,offense_defense_correlation,offense_minus_defense_variance,offense_scalar_correlation,season
OD0,-4.179663151530001e-17,2.7864421010200007e-17,2018-09-09T03:59:00.000001+00:00,0.6366565105418334,222,255,0.48701631957178854,16.596070205187768,0.5420325187628999,2018
OD1,5.572884202040001e-17,0.0,2018-09-09T03:59:00.000001+00:00,0.636676243181961,222,255,0.6554223956910554,11.822462627807859,0.558239458944356,2018
OD0,1.9505094707140005e-16,-1.3932210505100003e-16,2018-10-07T03:59:00.000001+00:00,0.5069194388048387,654,255,0.4010953097967327,35.17149583778734,0.48672942219821635,2018
OD1,5.572884202040001e-17,-8.359326303060002e-17,2018-10-07T03:59:00.000001+00:00,0.5162610382412545,654,255,0.5425167357130163,27.873099709346306,0.4985606661504715,2018
OD0,-5.572884202040001e-17,2.7864421010200007e-17,2018-11-04T03:59:00.000001+00:00,0.48303857052701393,1103,255,0.40690726029816204,40.23802905451564,0.5010755224559836,2018
OD1,-5.572884202040001e-17,-1.3932210505100003e-16,2018-11-04T03:59:00.000001+00:00,0.4929001145135513,1103,255,0.5157579560746858,34.057930333652536,0.5102596195795347,2018
OD0,-2.7864421010200007e-17,0.0,2018-12-02T01:00:00.000001+00:00,0.4809771855708116,1447,255,0.3914229921290903,44.24958641504494,0.4897441138240733,2018
OD1,-8.359326303060002e-17,1.3932210505100003e-16,2018-12-02T01:00:00.000001+00:00,0.48942080152328016,1447,255,0.48429938278077256,38.56175424154789,0.49868395753421463,2018
OD0,9.71445146547012e-17,1.1102230246251565e-16,2019-09-08T03:59:00.000001+00:00,0.6100658644744129,218,256,0.4258065734440489,17.60003556674024,0.6210705522519493,2019
OD1,-8.326672684688674e-17,-5.551115123125783e-17,2019-09-08T03:59:00.000001+00:00,0.6268862467169712,218,256,0.6060779455283282,12.546781722952073,0.6318773600963873,2019
OD0,1.1102230246251565e-16,-8.326672684688674e-17,2019-10-06T02:30:00.000001+00:00,0.5995102873534981,636,256,0.4435698813144123,30.861328106589802,0.5758564929011787,2019
OD1,-4.163336342344337e-17,-8.326672684688674e-17,2019-10-06T02:30:00.000001+00:00,0.6140638775529053,636,256,0.5817225012108933,24.182937864706034,0.5910829035388018,2019
OD0,-5.551115123125783e-17,-5.551115123125783e-17,2019-11-03T03:59:00.000001+00:00,0.5866294114026233,1075,256,0.46945772326901974,34.101212982707345,0.5462684060180379,2019
OD1,-5.551115123125783e-17,-2.7755575615628914e-17,2019-11-03T03:59:00.000001+00:00,0.5974126560438008,1075,256,0.5718316907745394,28.613927237654682,0.5589289591828184,2019
OD0,-1.3877787807814457e-16,1.1102230246251565e-16,2019-12-14T20:00:00.000001+00:00,0.5926280582695458,1510,256,0.47364530406500494,38.020512404098305,0.5196152960855632,2019
OD1,8.326672684688674e-17,0.0,2019-12-14T20:00:00.000001+00:00,0.600368115713589,1510,256,0.55673202749916,33.1173911994295,0.5315155872073443,2019
OD0,0.0,1.807796783460432e-16,2021-02-27T17:00:00.000001+00:00,0.5390931069802433,597,226,0.3921209785881453,23.30240202634945,0.6030475952094638,2020
OD1,-1.257597762407257e-16,-1.1003980421063498e-16,2021-02-27T17:00:00.000001+00:00,0.5545981088690761,597,226,0.5023364570986621,19.34232351959038,0.6125413114414725,2020
OD0,6.287988812036285e-17,-3.1439944060181424e-17,2021-03-27T17:00:00.000001+00:00,0.4859942708184126,723,226,0.31632193745954845,32.72764343492032,0.5344720520606213,2020
OD1,6.287988812036285e-17,-9.431983218054427e-17,2021-03-27T17:00:00.000001+00:00,0.5008333737833699,723,226,0.44968115940194187,26.590411330321917,0.544189285220782,2020
OD0,-1.257597762407257e-16,-1.257597762407257e-16,2021-04-17T23:30:00.000001+00:00,0.46974652967228364,807,226,0.31244034735392184,35.00150963847401,0.5208977239590366,2020
OD1,-6.287988812036285e-17,9.431983218054427e-17,2021-04-17T23:30:00.000001+00:00,0.48376696919241596,807,226,0.4405305559674973,28.792790428515122,0.5300950755676396,2020
OD0,6.287988812036285e-17,1.1003980421063498e-16,2020-12-20T03:30:00.000001+00:00,0.5514763081784431,557,226,0.38599418498379473,22.629018950638265,0.6126633533865526,2020
OD1,0.0,-6.287988812036285e-17,2020-12-20T03:30:00.000001+00:00,0.5691433072018023,557,226,0.4962649028995888,18.73474598315017,0.6234645089132832,2020
OD0,-1.3770208057366282e-16,0.0,2021-09-12T03:00:00.000001+00:00,0.5512910349034686,234,258,0.5059828150024854,14.545172721875655,0.48391638269700943,2021
OD1,-1.9278291280312795e-16,0.0,2021-09-12T03:00:00.000001+00:00,0.5463655409644074,234,258,0.6731712360116807,10.331194566684111,0.49125536928000374,2021
