bin,control,correlation,early_defense_mean,early_offense_mean,kind,lag,late_defense_mean,late_offense_mean,n_games,n_pairs,period,relation,scale,season,slope,team_id
all,shuffle_components,0.0067566484477870345,,,,1,,,,88097,development,defense->defense,demeaned,all,0.006790117082283738,
all,shuffle_components,-0.0029323903269195778,,,,2,,,,78263,development,defense->defense,demeaned,all,-0.0029628194969956983,
all,shuffle_order,-0.09978863115411167,,,,1,,,,97890,development,defense->defense,demeaned,all,-0.09982973537903499,
all,shuffle_order,-0.09724020378464636,,,,2,,,,88010,development,defense->defense,demeaned,all,-0.0971776541846992,
all,unrelated_team,-0.003237425089295449,,,,1,,,,90686,development,defense->defense,demeaned,all,-0.0032534880304956673,
all,unrelated_team,0.0006197948204546799,,,,2,,,,80806,development,defense->defense,demeaned,all,0.0006276788147412995,
all,shuffle_components,-0.0008302740431952488,,,,1,,,,88097,development,defense->offense,demeaned,all,-0.0008328305659303181,
all,shuffle_components,0.008073689762678218,,,,2,,,,78263,development,defense->offense,demeaned,all,0.008158540419223459,
all,shuffle_order,0.016653566800066407,,,,1,,,,97890,development,defense->offense,demeaned,all,0.016614619821654648,
all,shuffle_order,0.012476603096976025,,,,2,,,,88010,development,defense->offense,demeaned,all,0.012457552784273494,
all,unrelated_team,-0.000842479030869766,,,,1,,,,90686,development,defense->offense,demeaned,all,-0.0008461888008609414,
all,unrelated_team,-0.0018617536195041056,,,,2,,,,80806,development,defense->offense,demeaned,all,-0.0018883737680244017,
all,shuffle_components,-0.00410643514834567,,,,1,,,,88097,development,offense->defense,demeaned,all,-0.004143967003688127,
all,shuffle_components,-0.0062496205716039335,,,,2,,,,78263,development,offense->defense,demeaned,all,-0.006316307483459271,
all,shuffle_order,0.010778358791877444,,,,1,,,,97890,development,offense->defense,demeaned,all,0.010815422727908848,
all,shuffle_order,0.021821000760753637,,,,2,,,,88010,development,offense->defense,demeaned,all,0.021883805359296588,
all,unrelated_team,-0.002408670343037303,,,,1,,,,90686,development,offense->defense,demeaned,all,-0.0024309465129079594,
all,unrelated_team,0.0006951916112931895,,,,2,,,,80806,development,offense->defense,demeaned,all,0.0007030787656060515,
all,shuffle_components,-0.004388438001994136,,,,1,,,,88097,development,offense->offense,demeaned,all,-0.004420287757355397,
all,shuffle_components,-0.00029405515391037017,,,,2,,,,78263,development,offense->offense,demeaned,all,-0.0002972318911549855,
all,shuffle_order,-0.10325532676248281,,,,1,,,,97890,development,offense->offense,demeaned,all,-0.10332552434767754,
all,shuffle_order,-0.10051868536533756,,,,2,,,,88010,development,offense->offense,demeaned,all,-0.10071886068417486,
all,unrelated_team,-0.005321485048815624,,,,1,,,,90686,development,offense->offense,demeaned,all,-0.005367716523630283,
all,unrelated_team,-0.004014535097909267,,,,2,,,,80806,development,offense->offense,demeaned,all,-0.004066407912111758,
all,shuffle_components,0.010795059366375282,,,,1,,,,88097,development,defense->defense,raw,all,0.010865082714222247,
all,shuffle_components,0.0030819464668351343,,,,2,,,,78263,development,defense->defense,raw,all,0.0031083990385017708,
all,shuffle_order,0.07752313967534794,,,,1,,,,97890,development,defense->defense,raw,all,0.0774725489280235,
all,shuffle_order,0.07261045536894105,,,,2,,,,88010,development,defense->defense,raw,all,0.07241258195073652,
all,unrelated_team,0.0019561079627468387,,,,1,,,,90686,development,defense->defense,raw,all,0.001966877364994378,
all,unrelated_team,0.005410589384533349,,,,2,,,,80806,development,defense->defense,raw,all,0.005464563369697873,
all,shuffle_components,-0.006346504258025156,,,,1,,,,88097,development,defense->offense,raw,all,-0.006403450377645647,
all,shuffle_components,0.0015862537118844099,,,,2,,,,78263,development,defense->offense,raw,all,0.0016082839590618894,
all,shuffle_order,-0.09745179135905006,,,,1,,,,97890,development,defense->offense,raw,all,-0.09758875251690219,
all,shuffle_order,-0.08948092104273922,,,,2,,,,88010,development,defense->offense,raw,all,-0.08963936675778258,
all,unrelated_team,-0.006096174254081394,,,,1,,,,90686,development,defense->offense,raw,all,-0.006152729300737326,
all,unrelated_team,-0.00649963435771054,,,,2,,,,80806,development,defense->offense,raw,all,-0.006607769860169103,
all,shuffle_components,-0.006811527996520938,,,,1,,,,88097,development,offense->defense,raw,all,-0.006834978393751979,
all,shuffle_components,-0.008940237439323276,,,,2,,,,78263,development,offense->defense,raw,all,-0.008977818142050462,
all,shuffle_order,-0.09235548818236758,,,,1,,,,97890,development,offense->defense,raw,all,-0.09226305271886713,
all,shuffle_order,-0.09010414664648028,,,,2,,,,88010,development,offense->defense,raw,all,-0.08984965755456097,
all,unrelated_team,-0.008752807592754796,,,,1,,,,90686,development,offense->defense,raw,all,-0.008780771160199935,
all,unrelated_team,-0.00594302006420983,,,,2,,,,80806,development,offense->defense,raw,all,-0.005974032665275431,
all,shuffle_components,0.0005532401616916168,,,,1,,,,88097,development,offense->offense,raw,all,0.0005565161479627853,
all,shuffle_components,0.0038111300710119045,,,,2,,,,78263,development,offense->offense,raw,all,0.003847281159627886,
all,shuffle_order,0.08146748982994395,,,,1,,,,97890,development,offense->offense,raw,all,0.08155355457454527,
all,shuffle_order,0.08809670950136315,,,,2,,,,88010,development,offense->offense,raw,all,0.08824392101439013,
all,unrelated_team,0.00020841660890926525,,,,1,,,,90686,development,offense->offense,raw,all,0.00020986672077027066,
all,unrelated_team,0.001426218072184495,,,,2,,,,80806,development,offense->offense,raw,all,0.0014431166060073861,
all,shuffle_components,0.003933329700561872,,,,1,,,,108017,evaluation,defense->defense,demeaned,all,0.003932030339059544,
all,shuffle_components,-0.004391512389286584,,,,2,,,,97551,evaluation,defense->defense,demeaned,all,-0.004400319314407743,
all,shuffle_order,-0.08875414884937173,,,,1,,,,115940,evaluation,defense->defense,demeaned,all,-0.08864062070452887,
all,shuffle_order,-0.08955728024598189,,,,2,,,,105440,evaluation,defense->defense,demeaned,all,-0.08950630161698052,
all,unrelated_team,0.0021783526253563064,,,,1,,,,108956,evaluation,defense->defense,demeaned,all,0.0021828944894913844,
all,unrelated_team,-0.010616589432440924,,,,2,,,,98456,evaluation,defense->defense,demeaned,all,-0.010671789840160501,
all,shuffle_components,0.001777649323159018,,,,1,,,,108017,evaluation,defense->offense,demeaned,all,0.0017720278558869401,
all,shuffle_components,0.0034219322708164287,,,,2,,,,97551,evaluation,defense->offense,demeaned,all,0.0034203623383604075,
all,shuffle_order,0.008527025137551327,,,,1,,,,115940,evaluation,defense->offense,demeaned,all,0.008484042247625025,
all,shuffle_order,0.01551699595022169,,,,2,,,,105440,evaluation,defense->offense,demeaned,all,0.015470472760303017,
all,unrelated_team,-0.0007879152536892349,,,,1,,,,108956,evaluation,defense->offense,demeaned,all,-0.0007867414463196529,
all,unrelated_team,0.005625157743650435,,,,2,,,,98456,evaluation,defense->offense,demeaned,all,0.005636047748996266,
all,shuffle_components,-0.0006095583249481611,,,,1,,,,108017,evaluation,offense->defense,demeaned,all,-0.0006133834538066701,
all,shuffle_components,0.003153429766084978,,,,2,,,,97551,evaluation,offense->defense,demeaned,all,0.00317973585040826,
all,shuffle_order,0.01735198334453814,,,,1,,,,115940,evaluation,offense->defense,demeaned,all,0.017412775945671102,
all,shuffle_order,0.013855907856715248,,,,2,,,,105440,evaluation,offense->defense,demeaned,all,0.013898338538772533,
all,unrelated_team,0.0031392166360468257,,,,1,,,,108956,evaluation,offense->defense,demeaned,all,0.003166337880942327,
all,unrelated_team,0.006228441716382906,,,,2,,,,98456,evaluation,offense->defense,demeaned,all,0.006286735365065162,
all,shuffle_components,-0.005820338201618548,,,,1,,,,108017,evaluation,offense->offense,demeaned,all,-0.00584027039423441,
all,shuffle_components,-0.0044817154954250185,,,,2,,,,97551,evaluation,offense->offense,demeaned,all,-0.004507988403235006,
all,shuffle_order,-0.09053606005366245,,,,1,,,,115940,evaluation,offense->offense,demeaned,all,-0.09051105661894035,
all,shuffle_order,-0.09161836271291525,,,,2,,,,105440,evaluation,offense->offense,demeaned,all,-0.09167557616152418,
all,unrelated_team,-0.0017953087114795823,,,,1,,,,108956,evaluation,offense->offense,demeaned,all,-0.0018043594901849594,
all,unrelated_team,0.00025059485007055136,,,,2,,,,98456,evaluation,offense->offense,demeaned,all,0.00025211903309490846,
all,shuffle_components,0.0022997344978338656,,,,1,,,,108017,evaluation,defense->defense,raw,all,0.0023018589696126557,
all,shuffle_components,-0.00449312311596285,,,,2,,,,97551,evaluation,defense->defense,raw,all,-0.004501444757122556,
all,shuffle_order,0.055282302436018144,,,,1,,,,115940,evaluation,defense->defense,raw,all,0.055348861959165226,
all,shuffle_order,0.06008049814359758,,,,2,,,,105440,evaluation,defense->defense,raw,all,0.06013034870297691,
all,unrelated_team,0.0038298717993274986,,,,1,,,,108956,evaluation,defense->defense,raw,all,0.003838054758065388,
all,unrelated_team,-0.005249894596317087,,,,2,,,,98456,evaluation,defense->defense,raw,all,-0.005272983350995909,
all,shuffle_components,0.0029058769945750377,,,,1,,,,108017,evaluation,defense->offense,raw,all,0.002911091281895615,
all,shuffle_components,0.004609336015374683,,,,2,,,,97551,evaluation,defense->offense,raw,all,0.004631159308579364,
all,shuffle_order,-0.08387044307414125,,,,1,,,,115940,evaluation,defense->offense,raw,all,-0.08396508543066125,
all,shuffle_order,-0.08372207604452386,,,,2,,,,105440,evaluation,defense->offense,raw,all,-0.08381787869403413,
all,unrelated_team,-0.002998592336390096,,,,1,,,,108956,evaluation,defense->offense,raw,all,-0.003005817933578233,
all,unrelated_team,0.001301599102740854,,,,2,,,,98456,evaluation,defense->offense,raw,all,0.0013102514838066307,
all,shuffle_components,0.00011395379901482435,,,,1,,,,108017,evaluation,offense->defense,raw,all,0.00011386805176893429,
all,shuffle_components,0.002613827213659824,,,,2,,,,97551,evaluation,offense->defense,raw,all,0.0026140277950426278,
all,shuffle_order,-0.08537047572259,,,,1,,,,115940,evaluation,offense->defense,raw,all,-0.08540187961990263,
all,shuffle_order,-0.08369827850068529,,,,2,,,,105440,evaluation,offense->defense,raw,all,-0.08367620504391415,
all,unrelated_team,-0.0013615515858303976,,,,1,,,,108956,evaluation,offense->defense,raw,all,-0.0013636074891134628,
all,unrelated_team,0.0005207778107935745,,,,2,,,,98456,evaluation,offense->defense,raw,all,0.000521281743714855,
all,shuffle_components,-0.007374479082824483,,,,1,,,,108017,evaluation,offense->offense,raw,all,-0.007375339477069647,
all,shuffle_components,-0.006028649804514284,,,,2,,,,97551,evaluation,offense->offense,raw,all,-0.006046459229853986,
