season,cutoff,season_phase,team_id,team_name,games_played,games_played_bucket,performance_expected_rank,predictive_expected_rank,performance_minus_predictive_expected_rank,performance_median_rank,predictive_median_rank,performance_minus_predictive_median_rank,performance_interval_80_width,predictive_interval_80_width,pmf_tv,rated
2026,2026-09-06T17:34:56.895103+00:00,current,2,Auburn,1,1-3,64.43076520693789,52.519774086735474,11.910991120202418,63,49,14,95,76,0.17628142555066367,True
2026,2026-09-06T17:34:56.895103+00:00,current,5,UAB,1,1-3,83.32738126523465,97.02982616221541,-13.702444896980765,87,102,-15,93,71,0.19979172995457778,True
2026,2026-09-06T17:34:56.895103+00:00,current,6,South Alabama,1,1-3,78.86543890064607,89.21302610586488,-10.347587205218815,82,94,-12,100,81,0.15674497661318726,True
2026,2026-09-06T17:34:56.895103+00:00,current,8,Arkansas,1,1-3,79.50901879512381,82.58278366723489,-3.0737648721110844,83,86,-3,99,85,0.09773046875075073,True
2026,2026-09-06T17:34:56.895103+00:00,current,9,Arizona State,1,1-3,39.04071064091947,39.85212911278669,-0.8114184718672206,32,35,-3,81,68,0.13577456564759682,True
2026,2026-09-06T17:34:56.895103+00:00,current,12,Arizona,1,1-3,67.67878208791772,46.57159862001368,21.107183467904044,67,41,26,100,76,0.26997922305449484,True
2026,2026-09-06T17:34:56.895103+00:00,current,16,Sacramento State,2,1-3,82.88452262765347,101.71993561524835,-18.83541298759488,86,107,-21,86,65,0.26227095804967326,True
2026,2026-09-06T17:34:56.895103+00:00,current,21,San Diego State,1,1-3,64.78962750151177,51.74590032673377,13.043727174778006,64,48,16,100,78,0.18981846574782776,True
2026,2026-09-06T17:34:56.895103+00:00,current,23,San José State,2,1-3,60.03695373085685,91.46734490920736,-31.430391178350504,58,95,-37,81,70,0.412485359339883,True
2026,2026-09-06T17:34:56.895103+00:00,current,24,Stanford,2,1-3,94.15641433341214,91.66898807130806,2.48742626210408,99,96,3,77,68,0.10008245116411735,True
2026,2026-09-06T17:34:56.895103+00:00,current,25,California,1,1-3,98.89402893196763,85.86861901278645,13.025409919181172,106,90,16,81,77,0.21446262404149158,True
2026,2026-09-06T17:34:56.895103+00:00,current,26,UCLA,1,1-3,38.33683191880091,47.005609903682924,-8.668777984882013,31,42,-11,79,74,0.17250516208816297,True
2026,2026-09-06T17:34:56.895103+00:00,current,30,USC,2,1-3,34.610512973052714,16.65763559432341,17.952877378729305,29,12,17,67,31,0.3564025190505885,True
2026,2026-09-06T17:34:56.895103+00:00,current,36,Colorado State,1,1-3,55.90090831564737,85.28205480037,-29.381146484722635,53,89,-36,93,79,0.35434159531977316,True
2026,2026-09-06T17:34:56.895103+00:00,current,38,Colorado,1,1-3,58.52247426227391,71.71027175476675,-13.187797492492841,56,72,-16,93,83,0.17699977153810376,True
2026,2026-09-06T17:34:56.895103+00:00,current,41,UConn,1,1-3,51.1932112017482,77.67062996898416,-26.47741876723596,46,79,-33,95,86,0.3161916635640548,True
2026,2026-09-06T17:34:56.895103+00:00,current,48,Delaware,1,1-3,74.36159926583488,84.13531272831499,-9.773713462480103,77,88,-11,102,88,0.13917522294682164,True
2026,2026-09-06T17:34:56.895103+00:00,current,52,Florida State,1,1-3,68.93584386063652,45.64031134515283,23.295532515483693,69,41,28,96,73,0.3018700458691653,True
2026,2026-09-06T17:34:56.895103+00:00,current,55,Jacksonville State,2,1-3,83.88116223646661,88.371471600634,-4.490309364167388,87,92,-5,86,74,0.10278979973309806,True
2026,2026-09-06T17:34:56.895103+00:00,current,57,Florida,1,1-3,31.774370298308604,23.538000855485087,8.236369442823516,24,18,6,69,43,0.19748326491893986,True
2026,2026-09-06T17:34:56.895103+00:00,current,58,South Florida,1,1-3,70.38981299279314,66.2586564366139,4.131156556179235,71,66,5,96,83,0.10584610746427062,True
2026,2026-09-06T17:34:56.895103+00:00,current,59,Georgia Tech,1,1-3,79.58046421759119,65.02127172546629,14.559192492124893,82,64,18,94,82,0.19805121775018,True
2026,2026-09-06T17:34:56.895103+00:00,current,61,Georgia,1,1-3,42.318687818728336,8.336412069093981,33.982275749634354,36,5,31,85,16,0.6029024989739405,True
2026,2026-09-06T17:34:56.895103+00:00,current,62,Hawai'i,2,1-3,105.4264479997944,101.47195481695601,3.954493182838391,111,106,5,64,59,0.12080935247087374,True
2026,2026-09-06T17:34:56.895103+00:00,current,66,Iowa State,1,1-3,68.199256657778,64.6514384253692,3.547818232408801,68,64,4,99,85,0.10888778053290615,True
2026,2026-09-06T17:34:56.895103+00:00,current,68,Boise State,1,1-3,46.83962853833184,38.970503238710265,7.869125299621572,41,33,8,88,67,0.16072616605694032,True
2026,2026-09-06T17:34:56.895103+00:00,current,77,Northwestern,1,1-3,69.49752678368434,51.28192383515215,18.215602948532187,70,47,23,97,77,0.23939278736187702,True
2026,2026-09-06T17:34:56.895103+00:00,current,84,Indiana,1,1-3,35.587903560298145,13.508047671291287,22.079855889006858,28,9,19,74,27,0.4018890623018225,True
2026,2026-09-06T17:34:56.895103+00:00,current,87,Notre Dame,0,0,69.50000000000001,15.778316386139226,53.72168361386079,70,10,60,111,34,0.6397932451984951,False
2026,2026-09-06T17:34:56.895103+00:00,current,96,Kentucky,1,1-3,57.784018677955316,58.39278960413236,-0.6087709261770442,55,56,-1,96,81,0.10998821457378845,True
2026,2026-09-06T17:34:56.895103+00:00,current,97,Louisville,0,0,69.50000000000001,49.52158216426261,19.978417835737403,70,44,26,111,83,0.2538283620662112,False
2026,2026-09-06T17:34:56.895103+00:00,current,98,Western Kentucky,1,1-3,113.42878877186459,100.00828940725064,13.420499364613946,122,106,16,59,68,0.27290131799143325,True
2026,2026-09-06T17:34:56.895103+00:00,current,99,LSU,1,1-3,21.965730142067592,17.905419577255916,4.060310564811676,13,13,0,53,34,0.19695192861392302,True
2026,2026-09-06T17:34:56.895103+00:00,current,103,Boston College,1,1-3,89.68127956468823,99.18808809015094,-9.506808525462716,95,105,-10,89,69,0.16203331605915844,True
2026,2026-09-06T17:34:56.895103+00:00,current,113,Massachusetts,1,1-3,42.389408576897004,129.79436410596261,-87.4049555290656,36,135,-99,82,24,0.8979297270801658,True
2026,2026-09-06T17:34:56.895103+00:00,current,120,Maryland,1,1-3,42.53038483256511,47.38267890379698,-4.852294071231867,36,43,-7,85,76,0.14511080164597998,True
2026,2026-09-06T17:34:56.895103+00:00,current,127,Michigan State,1,1-3,58.57711201129892,64.93862565637491,-6.361513645075988,56,64,-8,94,81,0.12655303659106742,True
