season,cutoff,anchor_family,method,team_id,team_name,subdivision,conference,rated,games_played,eligible_evidence_count,expected_rank,median_rank,mode_rank,interval_50_low,interval_50_high,interval_80_low,interval_80_high,interval_95_low,interval_95_high,top5_probability,top10_probability,top25_probability,interval_50_width,interval_80_width,interval_95_width,week_through_cutoff,display_rank
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,99,LSU,fbs,,True,1,1,24.118320862193723,16,1,6,34,3,60,1,90,0.22439337587704464,0.3824956475871943,0.6575797409120092,28,57,89,1,1
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,2390,Miami,fbs,,True,1,1,26.800088465101762,19,1,8,39,3,64,1,93,0.1841073795756389,0.32725627403648394,0.6073610508787125,31,61,92,1,2
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,251,Texas,fbs,,True,1,1,28.893455446589172,21,1,9,42,3,68,1,97,0.16543652829589955,0.29814685186437123,0.571188988730567,33,65,96,1,3
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,245,Texas A&M,fbs,,True,1,1,29.367301771741484,21,1,9,43,3,69,1,98,0.16192282235158323,0.29251847549240684,0.5636502009261798,34,66,97,1,4
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,2579,South Carolina,fbs,,True,1,1,30.1619776597219,22,1,9,44,4,70,1,100,0.1530771482828425,0.27940746394292565,0.5497839806305976,35,66,99,1,5
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,213,Penn State,fbs,,True,1,1,31.104119962737727,23,1,10,46,4,72,1,100,0.14803173710690212,0.27081294800821604,0.5357823223463206,36,68,99,1,6
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,194,Ohio State,fbs,,True,1,1,31.334756155218095,23,1,10,46,4,72,1,101,0.14417951728820502,0.2652609833049231,0.5308377071761322,36,68,100,1,7
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,221,Pittsburgh,fbs,,True,1,1,31.388366262953728,23,1,10,46,4,72,1,101,0.14630632219747913,0.26790034259226597,0.5314985213567184,36,68,100,1,8
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,333,Alabama,fbs,,True,1,1,32.088431143824565,24,1,10,47,4,74,1,102,0.14332725723586287,0.26270026199933466,0.5225497816078474,37,70,101,1,9
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,84,Indiana,fbs,,True,1,1,33.02559804032768,25,1,10,49,4,76,1,103,0.13876687965965906,0.25483979186778166,0.5096758292271626,39,72,102,1,10
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,2306,Kansas State,fbs,,True,1,1,33.057015103487124,24,1,10,50,4,75,1,104,0.14345947052061106,0.268643748192534,0.5215538383579387,40,71,103,1,11
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,57,Florida,fbs,,True,1,1,33.55680934544301,26,1,11,49,4,76,1,103,0.1293167714798069,0.24111343170649635,0.4966998485407934,38,72,102,1,12
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,30,USC,fbs,,True,2,2,33.582065547789526,27,3,13,49,5,72,2,96,0.1050418132816132,0.2074082589405374,0.47210451521500985,36,67,94,1,13
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,201,Oklahoma,fbs,,True,1,1,34.30378055042749,27,1,11,50,4,77,1,105,0.12387150003319863,0.23227804461833676,0.4855945348725466,39,73,104,1,14
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,344,Mississippi State,fbs,,True,1,1,34.82102599914965,27,1,12,51,5,78,1,105,0.12054052932353256,0.22680721979561647,0.4775020785566747,39,73,104,1,15
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,349,Army,fbs,,True,1,1,36.01764043351576,28,1,11,54,5,80,1,107,0.12143070133233727,0.23128595450963566,0.4739079102386448,43,75,106,1,16
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,258,Virginia,fbs,,True,1,1,36.45455842032862,29,1,12,54,5,81,2,108,0.11536075845372527,0.21890435387073978,0.4606173591411992,42,76,106,1,17
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,2440,Nevada,fbs,,True,1,1,36.61167797889884,29,1,12,55,5,81,2,107,0.11360353005678017,0.21448803423489612,0.45512116543531117,43,76,105,1,18
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,2348,Louisiana Tech,fbs,,True,1,1,36.612810998389165,28,1,11,56,4,82,1,109,0.12526016361115094,0.2367213775712812,0.4724321907717986,45,78,108,1,19
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,2294,Iowa,fbs,,True,1,1,38.94007036063601,32,1,14,58,6,84,2,109,0.09873530533708903,0.18984026096200493,0.41987656522027506,44,78,107,1,20
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,259,Virginia Tech,fbs,,True,1,1,38.948870079403214,32,1,12,59,5,85,2,111,0.11168606549077115,0.21315556535204813,0.4390339167106112,47,80,109,1,21
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,9,Arizona State,fbs,,True,1,1,39.16368832561365,32,1,13,60,5,86,2,112,0.10926074866142822,0.20908743527017948,0.43521335723604454,47,81,110,1,22
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,26,UCLA,fbs,,True,1,1,39.5309564802163,32,1,14,59,6,86,2,111,0.09748871640861616,0.18833216361121452,0.41601840968364,45,80,109,1,23
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,2116,UCF,fbs,,True,1,1,39.81285486256191,33,1,13,61,5,87,2,113,0.10792818087720232,0.20630487574991763,0.4284630088586363,48,82,111,1,24
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,2449,North Dakota State,fbs,,True,2,2,40.553096130004306,35,10,17,59,7,83,2,106,0.0746425342674891,0.15078716020273628,0.3748363664011586,42,76,104,1,25
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,183,Syracuse,fbs,,True,1,1,40.66939783736225,34,1,14,62,5,88,2,114,0.10240021507440503,0.19682271285747557,0.4158535465815152,48,83,112,1,26
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,135,Minnesota,fbs,,True,1,1,41.63365208635141,35,1,15,63,6,89,2,114,0.09361822872373834,0.1818845407676033,0.3981693864005957,48,83,112,1,27
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,158,Nebraska,fbs,,True,1,1,41.64865549615117,35,1,16,62,6,89,2,113,0.08830077884443524,0.1719216356640175,0.38875062049853126,46,83,111,1,28
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,61,Georgia,fbs,,True,1,1,42.318687818728336,36,1,15,64,6,91,2,116,0.09468873583164672,0.18306786786131943,0.3948337684506868,49,85,114,1,29
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,120,Maryland,fbs,,True,1,1,42.5303848325651,36,1,15,64,6,91,2,116,0.09527109848384525,0.18375587961359865,0.39404960118937205,49,85,114,1,30
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,167,New Mexico,fbs,,True,1,1,43.37146026230193,37,1,17,65,7,91,2,114,0.07953413156405048,0.15648124196688595,0.3644782771257685,48,84,112,1,31
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,2026,App State,fbs,,True,1,1,43.40933362694382,37,1,16,65,6,92,2,117,0.08683286446691008,0.16949482242878283,0.37725206245554166,49,86,115,1,32
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,113,Massachusetts,fbs,,True,1,1,45.8486021472963,40,6,19,68,8,94,2,117,0.06995440902084796,0.14056724919058136,0.33756069321510185,49,86,115,1,33
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,254,Utah,fbs,,True,1,1,46.88093523301588,41,1,18,70,7,97,2,120,0.07528054472079758,0.14808635409701115,0.3394190935919646,52,90,118,1,34
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,235,Memphis,fbs,,True,2,2,48.57325397014134,45,28,25,69,12,91,4,111,0.03598070448185146,0.08357408461517415,0.2611223990790242,44,79,107,1,35
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,68,Boise State,fbs,,True,1,1,49.99261276376017,45,13,21,74,9,100,3,122,0.052125423415524036,0.11298914708360502,0.2979295412529431,53,91,119,1,36
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,2711,Western Michigan,fbs,,True,1,1,50.57418885156375,46,15,22,74,10,100,3,121,0.049425623226898224,0.10664328158117578,0.28504535137340614,52,90,118,1,37
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,41,UConn,fbs,,True,1,1,51.193211201748205,46,1,21,77,8,103,2,124,0.06333781459451535,0.12562386592096134,0.2979772400730176,56,95,122,1,38
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,153,North Carolina,fbs,,True,1,1,51.42218249410212,47,17,24,75,11,100,3,121,0.04568188473033556,0.09934661361017777,0.27217921217643964,51,89,118,1,39
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,150,Duke,fbs,,True,1,1,52.40225379553448,48,16,24,77,10,102,3,122,0.04784797810210498,0.10121842645803793,0.26758885160411755,53,92,119,1,40
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,2633,Tennessee,fbs,,True,1,1,52.74310087016817,48,1,22,79,9,105,3,126,0.058687217228399986,0.11697128393098936,0.2825546718854151,57,96,123,1,41
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,2572,Southern Miss,fbs,,True,1,1,53.54127223646858,49,4,23,80,9,106,3,126,0.056405317822202455,0.11270378154081293,0.27480847082159726,57,97,123,1,42
