season,cutoff,game_id,team_id,team_name,opponent_id,opponent_name,site,focal_subdivision,opponent_subdivision,home_points,away_points,focal_points,opponent_points,focal_margin,model_oriented_margin,opponent_anchor_family,opponent_anchor_expected_rank,opponent_anchor_median_rank,opponent_joint_expected_rank,focal_performance_expected_rank,eligible_evidence_count,week,season_type
2022,2022-08-27T23:59:59+00:00,401426532,98,Western Kentucky,2046,Austin Peay,home,fbs,fcs,38,27,38,27,11,11,context,65.5,66,45.05718158559786,84.31017197627152,1,1,regular
2022,2022-08-27T23:59:59+00:00,401405059,77,Northwestern,158,Nebraska,neutral,fbs,fbs,31,28,31,28,3,3,context,68.93687674266582,70,76.35736446146272,63.06438623488856,1,1,regular
2022,2022-08-27T23:59:59+00:00,401405059,158,Nebraska,77,Northwestern,neutral,fbs,fbs,31,28,28,31,-3,3,context,85.52301493334396,91,79.79053696863419,76.9438998520625,1,1,regular
2022,2022-08-27T23:59:59+00:00,401413256,2439,UNLV,304,Idaho State,home,fbs,fcs,52,21,52,21,31,31,context,65.5,66,82.4755274223092,63.946100794575344,1,1,regular
2022,2022-08-27T23:59:59+00:00,401404146,328,Utah State,41,UConn,home,fbs,fbs,31,20,31,20,11,11,context,113.75509301571698,120,112.65611100709525,76.57454181777359,1,1,regular
2022,2022-08-27T23:59:59+00:00,401404146,41,UConn,328,Utah State,away,fbs,fbs,31,20,20,31,-11,11,context,71.1031824997516,73,78.14890295842515,77.52099031941566,1,1,regular
2022,2022-08-27T23:59:59+00:00,401405058,356,Illinois,2751,Wyoming,home,fbs,fbs,38,6,38,6,32,32,context,87.52950216735488,93,104.06326224803358,40.17266287207889,1,1,regular
2022,2022-08-27T23:59:59+00:00,401405058,2751,Wyoming,356,Illinois,away,fbs,fbs,38,6,6,38,-32,32,context,68.02818823956305,69,49.007503108673326,98.5718021950227,1,1,regular
2022,2022-08-27T23:59:59+00:00,401411090,52,Florida State,2184,Duquesne,home,fbs,fcs,47,7,47,7,40,40,context,65.5,66,70.7790125972797,55.709995056173156,1,1,regular
2022,2022-08-27T23:59:59+00:00,401426530,2226,Florida Atlantic,2429,Charlotte,home,fbs,fbs,43,13,43,13,30,30,context,102.03230035492588,110,115.23978844833057,47.02221997332826,1,1,regular
2022,2022-08-27T23:59:59+00:00,401426530,2429,Charlotte,2226,Florida Atlantic,away,fbs,fbs,43,13,13,43,-30,30,context,94.8523227049903,102,75.77896384539413,103.52207473806777,1,1,regular
2022,2022-08-27T23:59:59+00:00,401426532,98,Western Kentucky,2046,Austin Peay,home,fbs,fcs,38,27,38,27,11,11,history,65.5,66,42.25569854307511,84.3101719762715,1,1,regular
2022,2022-08-27T23:59:59+00:00,401405059,77,Northwestern,158,Nebraska,neutral,fbs,fbs,31,28,31,28,3,3,history,58.785247019279154,57,66.31187296260345,59.44004425059913,1,1,regular
