season,subdivision,team_id,team_name,context_as_of,coach_context_available,coach_change_available,current_coach_unavailable_reason,prior_coach_unavailable_reason
2004,fbs,103,Boston College,2004-08-15,True,True,,
2004,fbs,12,Arizona,2004-08-15,True,False,,target_season_end_is_undated
2004,fbs,120,Maryland,2004-08-15,True,True,,
2004,fbs,127,Michigan State,2004-08-15,True,True,,
2004,fbs,130,Michigan,2004-08-15,True,True,,
2004,fbs,135,Minnesota,2004-08-15,True,True,,
2004,fbs,142,Missouri,2004-08-15,True,True,,
2004,fbs,145,Ole Miss,2004-08-15,False,False,target_season_end_is_undated,
2004,fbs,150,Duke,2004-08-15,True,False,,ambiguous_overlapping_tenures
2004,fbs,151,East Carolina,2004-08-15,False,False,target_season_end_is_undated,
2004,fbs,152,NC State,2004-08-15,True,True,,
2004,fbs,153,North Carolina,2004-08-15,True,True,,
2004,fbs,154,Wake Forest,2004-08-15,True,True,,
2004,fbs,158,Nebraska,2004-08-15,True,False,,ambiguous_overlapping_tenures
2004,fbs,164,Rutgers,2004-08-15,True,True,,
2004,fbs,166,New Mexico State,2004-08-15,False,False,target_season_end_is_undated,
2004,fbs,167,New Mexico,2004-08-15,True,True,,
2004,fbs,183,Syracuse,2004-08-15,False,False,target_season_end_is_undated,
2004,fbs,189,Bowling Green,2004-08-15,True,True,,
2004,fbs,193,Miami (OH),2004-08-15,False,False,target_season_end_is_undated,
2004,fbs,194,Ohio State,2004-08-15,True,True,,
2004,fbs,195,Ohio,2004-08-15,False,False,target_season_end_is_undated,
2004,fbs,197,Oklahoma State,2004-08-15,False,False,target_season_end_is_undated,
2004,fbs,2,Auburn,2004-08-15,True,True,,
2004,fbs,2005,Air Force,2004-08-15,True,True,,
2004,fbs,2006,Akron,2004-08-15,True,False,,target_season_end_is_undated
2004,fbs,201,Oklahoma,2004-08-15,True,True,,
2004,fbs,202,Tulsa,2004-08-15,True,True,,
2004,fbs,2032,Arkansas State,2004-08-15,True,True,,
2004,fbs,204,Oregon State,2004-08-15,True,False,,target_season_start_not_dated_by_cutoff
2004,fbs,2050,Ball State,2004-08-15,True,True,,
