portal_index,season,player_name,normalized_player_name,origin,destination,destination_team_id,destination_team_name,destination_match_status,position,portal_position_group,position_semantics,transfer_date,cutoff_status,in_model_relevant_population,defensive_candidate,identity_join_method,identity_status,experience_status,impact_status,prior_position,prior_position_group,prior_player_id,prior_team_games,prior_recorded_defensive_box_score_games,prior_defensive_box_score_game_rate,prior_defensive_impact,prior_stats,raw_player_name,raw_origin,raw_destination
0,2026,PJ Hatter,pj hatter,Georgia State,,,,missing_name,QB,,non_defensive,2026-01-16,on_or_before_cutoff,False,False,none,not_in_scope,not_in_scope,not_in_scope,,,,,,,,{},PJ Hatter,Georgia State,
1,2026,Kayden Luke,kayden luke,Arizona,West Virginia,277,West Virginia,exact_normalized_name,TE,,non_defensive,2026-01-19,on_or_before_cutoff,True,False,none,non_defensive_not_applicable,non_defensive_not_applicable,non_defensive_not_applicable,,,,,,,,{},Kayden Luke,Arizona,West Virginia
2,2026,Joshua Pierce,joshua pierce,North Texas,California,25,California,exact_normalized_name,EDGE,dl_edge,defensive,2026-01-19,on_or_before_cutoff,True,True,normalized_name_source_team,position_mismatch,position_mismatch,position_mismatch,LB,lb,5157114,14,6,0.42857142857142855,0.9733023739100974,"{'tackles': 14.0, 'solo_tackles': 4.0, 'tackles_for_loss': 2.0, 'sacks': 2.0, 'qb_hurries': 1.0, 'passes_defended': 0.0, 'interceptions': 0.0, 'fumble_recoveries': 0.0}",Joshua Pierce,North Texas,California
3,2026,Dontrae Henderson,dontrae henderson,Indiana,Arkansas State,2032,Arkansas State,exact_normalized_name,CB,db,defensive,2026-01-20,on_or_before_cutoff,True,True,normalized_name_source_team,zero_recorded_defensive_box_score_games,zero_recorded_defensive_box_score_games,zero_recorded_defensive_box_score_games,CB,db,5148417,16,0,0.0,-0.6327387054300708,"{'tackles': 0.0, 'solo_tackles': 0.0, 'tackles_for_loss': 0.0, 'sacks': 0.0, 'qb_hurries': 0.0, 'passes_defended': 0.0, 'interceptions': 0.0, 'fumble_recoveries': 0.0}",Dontrae Henderson,Indiana,Arkansas State
4,2026,Nate Hampton,nate hampton,Saint Francis (PA),Akron,2006,Akron,exact_normalized_name,IOL,,non_defensive,2026-01-16,on_or_before_cutoff,True,False,none,non_defensive_not_applicable,non_defensive_not_applicable,non_defensive_not_applicable,,,,,,,,{},Nate Hampton,Saint Francis (PA),Akron
5,2026,Brian Williams Jr.,brian williams jr,Jackson State,UTEP,2638,UTEP,exact_normalized_name,IOL,,non_defensive,2026-01-16,on_or_before_cutoff,True,False,none,non_defensive_not_applicable,non_defensive_not_applicable,non_defensive_not_applicable,,,,,,,,{},Brian Williams Jr.,Jackson State,UTEP
6,2026,Denzel Johnson,denzel johnson,Alabama State,Florida A&M,,,not_in_fbs,LB,lb,defensive,2026-01-16,on_or_before_cutoff,False,False,none,not_in_scope,not_in_scope,not_in_scope,,,,,,,,{},Denzel Johnson,Alabama State,Florida A&M
7,2026,Devin Hyatt,devin hyatt,Arizona,Miami (OH),193,Miami (OH),exact_normalized_name,WR,,non_defensive,2026-01-16,on_or_before_cutoff,True,False,none,non_defensive_not_applicable,non_defensive_not_applicable,non_defensive_not_applicable,,,,,,,,{},Devin Hyatt,Arizona,Miami (OH)
8,2026,Ellis Ellis Jr.,ellis ellis jr,Austin Peay,Memphis,235,Memphis,exact_normalized_name,CB,db,defensive,2026-01-13,on_or_before_cutoff,True,True,normalized_name_source_team,resolved,resolved,resolved,CB,db,5083052,11,3,0.2727272727272727,0.820442494982488,"{'tackles': 17.0, 'solo_tackles': 10.0, 'tackles_for_loss': 0.5, 'sacks': 0.0, 'qb_hurries': 0.0, 'passes_defended': 3.0, 'interceptions': 0.0, 'fumble_recoveries': 1.0}",Ellis Ellis Jr.,Austin Peay,Memphis
9,2026,Tray Taylor,tray taylor,Troy,Auburn,2,Auburn,exact_normalized_name,WR,,non_defensive,2026-01-17,on_or_before_cutoff,True,False,none,non_defensive_not_applicable,non_defensive_not_applicable,non_defensive_not_applicable,,,,,,,,{},Tray Taylor,Troy,Auburn
