season,subdivision,team_id,team_name,transfer_in_prior_usage_sum,audit_incoming_fbs_transfers,audit_offensive_applicable_transfers,audit_offensive_resolved_applicable,audit_offensive_legitimate_zero_non_applicable,audit_offensive_unresolved_applicable,audit_offensive_undetermined,transfer_in_prior_defensive_impact_db_sum,transfer_in_prior_defensive_impact_db_available,audit_incoming_db_transfers,audit_resolved_db_transfers,audit_unresolved_db_transfers,audit_db_feature_status
2026,fbs,103,Boston College,1.345,26,7,7,11,0,8,-0.36584821962756586,1,2,2,0,complete
2026,fbs,113,Massachusetts,1.33,21,7,7,7,0,7,0.6543903651987985,1,2,2,0,complete
2026,fbs,12,Arizona,0.295,22,5,5,10,0,7,0.0,0,7,6,1,unavailable_unresolved_db_transfer
2026,fbs,120,Maryland,1.053,14,7,7,5,0,2,0.7527534961917821,1,1,1,0,complete
2026,fbs,127,Michigan State,0.618,28,5,5,12,0,11,0.0,0,6,5,1,unavailable_unresolved_db_transfer
2026,fbs,130,Michigan,0.533,17,3,3,11,0,3,0.0,0,3,2,1,unavailable_unresolved_db_transfer
2026,fbs,135,Minnesota,0.631,19,7,7,9,0,3,0.0,0,4,2,2,unavailable_unresolved_db_transfer
2026,fbs,142,Missouri,0.876,30,8,8,16,0,6,0.5064247934676616,1,6,6,0,complete
2026,fbs,145,Ole Miss,1.332,28,9,9,15,0,4,0.0,0,5,3,2,unavailable_unresolved_db_transfer
2026,fbs,150,Duke,1.245,19,7,6,7,1,5,3.0314658820709037,1,5,5,0,complete
2026,fbs,151,East Carolina,0.654,24,8,8,9,0,7,1.2111988410860026,1,6,6,0,complete
2026,fbs,152,NC State,0.865,20,7,7,10,0,3,0.7232820685302859,1,3,3,0,complete
2026,fbs,153,North Carolina,0.458,19,7,7,6,0,6,0.4218846608014349,1,1,1,0,complete
2026,fbs,154,Wake Forest,0.5509999999999999,24,8,8,8,0,8,0.0,0,4,0,4,unavailable_unresolved_db_transfer
2026,fbs,158,Nebraska,0.8979999999999999,17,4,4,9,0,4,0.0,0,3,2,1,unavailable_unresolved_db_transfer
2026,fbs,16,Sacramento State,0.779,26,6,6,12,0,8,0.0,0,9,6,3,unavailable_unresolved_db_transfer
2026,fbs,164,Rutgers,0.673,15,3,3,5,0,7,2.407668529696715,1,4,4,0,complete
2026,fbs,166,New Mexico State,0.31,25,6,6,6,0,13,0.0,0,6,5,1,unavailable_unresolved_db_transfer
2026,fbs,167,New Mexico,0.115,14,4,4,6,0,4,2.3642411706400095,1,3,3,0,complete
2026,fbs,183,Syracuse,1.901,19,9,9,8,0,2,2.3156243841040562,1,3,3,0,complete
2026,fbs,189,Bowling Green,0.402,17,3,3,8,0,6,0.0,0,5,4,1,unavailable_unresolved_db_transfer
2026,fbs,193,Miami (OH),0.484,16,3,3,9,0,4,-1.148708274222761,1,4,4,0,complete
2026,fbs,194,Ohio State,0.371,17,6,6,10,0,1,-1.4332324873483224,1,4,4,0,complete
2026,fbs,195,Ohio,0.677,19,2,2,7,0,10,0.8690376723696669,1,4,4,0,complete
2026,fbs,197,Oklahoma State,1.988,55,14,14,27,0,14,0.0,0,11,10,1,unavailable_unresolved_db_transfer
2026,fbs,2,Auburn,1.827,39,15,13,11,2,13,0.0,0,6,5,1,unavailable_unresolved_db_transfer
2026,fbs,2005,Air Force,0.0,0,0,0,0,0,0,0.0,1,0,0,0,no_incoming_db_transfer
2026,fbs,2006,Akron,0.081,15,2,1,7,1,6,-2.1913855409945624,1,5,5,0,complete
