season,subdivision,team_id,team_name,transfer_in_prior_usage_sum,transfer_in_prior_defensive_impact_db_sum,transfer_in_prior_defensive_impact_db_available,provenance_class
2004,fbs,103,Boston College,,0.0,0.0,retrospective_research_reconstruction
2004,fbs,12,Arizona,,0.0,0.0,retrospective_research_reconstruction
2004,fbs,120,Maryland,,0.0,0.0,retrospective_research_reconstruction
2004,fbs,127,Michigan State,,0.0,0.0,retrospective_research_reconstruction
2004,fbs,130,Michigan,,0.0,0.0,retrospective_research_reconstruction
2004,fbs,135,Minnesota,,0.0,0.0,retrospective_research_reconstruction
2004,fbs,142,Missouri,,0.0,0.0,retrospective_research_reconstruction
2004,fbs,145,Ole Miss,,0.0,0.0,retrospective_research_reconstruction
2004,fbs,150,Duke,,0.0,0.0,retrospective_research_reconstruction
2004,fbs,151,East Carolina,,0.0,0.0,retrospective_research_reconstruction
2004,fbs,152,NC State,,0.0,0.0,retrospective_research_reconstruction
2004,fbs,153,North Carolina,,0.0,0.0,retrospective_research_reconstruction
2004,fbs,154,Wake Forest,,0.0,0.0,retrospective_research_reconstruction
2004,fbs,158,Nebraska,,0.0,0.0,retrospective_research_reconstruction
2004,fbs,164,Rutgers,,0.0,0.0,retrospective_research_reconstruction
2004,fbs,166,New Mexico State,,0.0,0.0,retrospective_research_reconstruction
2004,fbs,167,New Mexico,,0.0,0.0,retrospective_research_reconstruction
2004,fbs,183,Syracuse,,0.0,0.0,retrospective_research_reconstruction
2004,fbs,189,Bowling Green,,0.0,0.0,retrospective_research_reconstruction
2004,fbs,193,Miami (OH),,0.0,0.0,retrospective_research_reconstruction
2004,fbs,194,Ohio State,,0.0,0.0,retrospective_research_reconstruction
2004,fbs,195,Ohio,,0.0,0.0,retrospective_research_reconstruction
2004,fbs,197,Oklahoma State,,0.0,0.0,retrospective_research_reconstruction
2004,fbs,2,Auburn,,0.0,0.0,retrospective_research_reconstruction
2004,fbs,2005,Air Force,,0.0,0.0,retrospective_research_reconstruction
2004,fbs,2006,Akron,,0.0,0.0,retrospective_research_reconstruction
2004,fbs,201,Oklahoma,,0.0,0.0,retrospective_research_reconstruction
2004,fbs,202,Tulsa,,0.0,0.0,retrospective_research_reconstruction
2004,fbs,2032,Arkansas State,,0.0,0.0,retrospective_research_reconstruction
