season,subdivision,team_id,team_name,source_provenance,feature_missingness,coach_hire_date,head_coach,recruiting_class_points,recruiting_class_rank,returning_passing_ppa,returning_passing_usage,returning_pct_passing_ppa,returning_pct_ppa,returning_pct_receiving_ppa,returning_pct_rushing_ppa,returning_receiving_ppa,returning_rushing_ppa,returning_total_ppa,returning_usage,talent_composite
2003,fbs,2,Auburn,CFBD season-wide endpoint responses cached under data/raw/cfbd/preseason; team ID joined to CFBD teams,"{""coach_hire_date"":true,""head_coach"":false,""recruiting_class_points"":false,""recruiting_class_rank"":false,""returning_passing_ppa"":true,""returning_passing_usage"":true,""returning_pct_passing_ppa"":true,""returning_pct_ppa"":true,""returning_pct_receiving_ppa"":true,""returning_pct_rushing_ppa"":true,""returning_receiving_ppa"":true,""returning_rushing_ppa"":true,""returning_total_ppa"":true,""returning_usage"":true,""talent_composite"":true}",,Tommy Tuberville,200.29,16.0,,,,,,,,,,,
2003,fbs,5,UAB,CFBD season-wide endpoint responses cached under data/raw/cfbd/preseason; team ID joined to CFBD teams,"{""coach_hire_date"":true,""head_coach"":false,""recruiting_class_points"":false,""recruiting_class_rank"":false,""returning_passing_ppa"":true,""returning_passing_usage"":true,""returning_pct_passing_ppa"":true,""returning_pct_ppa"":true,""returning_pct_receiving_ppa"":true,""returning_pct_rushing_ppa"":true,""returning_receiving_ppa"":true,""returning_rushing_ppa"":true,""returning_total_ppa"":true,""returning_usage"":true,""talent_composite"":true}",,Watson Brown,84.94,95.0,,,,,,,,,,,
2003,fbs,8,Arkansas,CFBD season-wide endpoint responses cached under data/raw/cfbd/preseason; team ID joined to CFBD teams,"{""coach_hire_date"":true,""head_coach"":false,""recruiting_class_points"":false,""recruiting_class_rank"":false,""returning_passing_ppa"":true,""returning_passing_usage"":true,""returning_pct_passing_ppa"":true,""returning_pct_ppa"":true,""returning_pct_receiving_ppa"":true,""returning_pct_rushing_ppa"":true,""returning_receiving_ppa"":true,""returning_rushing_ppa"":true,""returning_total_ppa"":true,""returning_usage"":true,""talent_composite"":true}",,Houston Nutt,155.43,42.0,,,,,,,,,,,
2003,fbs,9,Arizona State,CFBD season-wide endpoint responses cached under data/raw/cfbd/preseason; team ID joined to CFBD teams,"{""coach_hire_date"":false,""head_coach"":false,""recruiting_class_points"":false,""recruiting_class_rank"":false,""returning_passing_ppa"":true,""returning_passing_usage"":true,""returning_pct_passing_ppa"":true,""returning_pct_ppa"":true,""returning_pct_receiving_ppa"":true,""returning_pct_rushing_ppa"":true,""returning_receiving_ppa"":true,""returning_rushing_ppa"":true,""returning_total_ppa"":true,""returning_usage"":true,""talent_composite"":true}",2000-12-01T00:00:00.000Z,Dirk Koetter,183.77,22.0,,,,,,,,,,,
2003,fbs,12,Arizona,CFBD season-wide endpoint responses cached under data/raw/cfbd/preseason; team ID joined to CFBD teams,"{""coach_hire_date"":false,""head_coach"":false,""recruiting_class_points"":false,""recruiting_class_rank"":false,""returning_passing_ppa"":true,""returning_passing_usage"":true,""returning_pct_passing_ppa"":true,""returning_pct_ppa"":true,""returning_pct_receiving_ppa"":true,""returning_pct_rushing_ppa"":true,""returning_receiving_ppa"":true,""returning_rushing_ppa"":true,""returning_total_ppa"":true,""returning_usage"":true,""talent_composite"":true}",2000-12-05T00:00:00.000Z,John Mackovic,159.32,39.0,,,,,,,,,,,
2003,fbs,21,San Diego State,CFBD season-wide endpoint responses cached under data/raw/cfbd/preseason; team ID joined to CFBD teams,"{""coach_hire_date"":false,""head_coach"":false,""recruiting_class_points"":false,""recruiting_class_rank"":false,""returning_passing_ppa"":true,""returning_passing_usage"":true,""returning_pct_passing_ppa"":true,""returning_pct_ppa"":true,""returning_pct_receiving_ppa"":true,""returning_pct_rushing_ppa"":true,""returning_receiving_ppa"":true,""returning_rushing_ppa"":true,""returning_total_ppa"":true,""returning_usage"":true,""talent_composite"":true}",2001-12-06T00:00:00.000Z,Tom Craft,131.79,52.0,,,,,,,,,,,
2003,fbs,23,San José State,CFBD season-wide endpoint responses cached under data/raw/cfbd/preseason; team ID joined to CFBD teams,"{""coach_hire_date"":false,""head_coach"":false,""recruiting_class_points"":false,""recruiting_class_rank"":false,""returning_passing_ppa"":true,""returning_passing_usage"":true,""returning_pct_passing_ppa"":true,""returning_pct_ppa"":true,""returning_pct_receiving_ppa"":true,""returning_pct_rushing_ppa"":true,""returning_receiving_ppa"":true,""returning_rushing_ppa"":true,""returning_total_ppa"":true,""returning_usage"":true,""talent_composite"":true}",2000-12-13T00:00:00.000Z,Fitz Hill,92.09,84.0,,,,,,,,,,,
2003,fbs,24,Stanford,CFBD season-wide endpoint responses cached under data/raw/cfbd/preseason; team ID joined to CFBD teams,"{""coach_hire_date"":false,""head_coach"":false,""recruiting_class_points"":false,""recruiting_class_rank"":false,""returning_passing_ppa"":true,""returning_passing_usage"":true,""returning_pct_passing_ppa"":true,""returning_pct_ppa"":true,""returning_pct_receiving_ppa"":true,""returning_pct_rushing_ppa"":true,""returning_receiving_ppa"":true,""returning_rushing_ppa"":true,""returning_total_ppa"":true,""returning_usage"":true,""talent_composite"":true}",2002-01-10T00:00:00.000Z,Buddy Teevens,179.93,26.0,,,,,,,,,,,
2003,fbs,25,California,CFBD season-wide endpoint responses cached under data/raw/cfbd/preseason; team ID joined to CFBD teams,"{""coach_hire_date"":false,""head_coach"":false,""recruiting_class_points"":false,""recruiting_class_rank"":false,""returning_passing_ppa"":true,""returning_passing_usage"":true,""returning_pct_passing_ppa"":true,""returning_pct_ppa"":true,""returning_pct_receiving_ppa"":true,""returning_pct_rushing_ppa"":true,""returning_receiving_ppa"":true,""returning_rushing_ppa"":true,""returning_total_ppa"":true,""returning_usage"":true,""talent_composite"":true}",2001-12-13T00:00:00.000Z,Jeff Tedford,180.46,24.0,,,,,,,,,,,
2003,fbs,26,UCLA,CFBD season-wide endpoint responses cached under data/raw/cfbd/preseason; team ID joined to CFBD teams,"{""coach_hire_date"":false,""head_coach"":false,""recruiting_class_points"":false,""recruiting_class_rank"":false,""returning_passing_ppa"":true,""returning_passing_usage"":true,""returning_pct_passing_ppa"":true,""returning_pct_ppa"":true,""returning_pct_receiving_ppa"":true,""returning_pct_rushing_ppa"":true,""returning_receiving_ppa"":true,""returning_rushing_ppa"":true,""returning_total_ppa"":true,""returning_usage"":true,""talent_composite"":true}",2002-12-18T00:00:00.000Z,Karl Dorrell,174.6,29.0,,,,,,,,,,,
2003,fbs,30,USC,CFBD season-wide endpoint responses cached under data/raw/cfbd/preseason; team ID joined to CFBD teams,"{""coach_hire_date"":false,""head_coach"":false,""recruiting_class_points"":false,""recruiting_class_rank"":false,""returning_passing_ppa"":true,""returning_passing_usage"":true,""returning_pct_passing_ppa"":true,""returning_pct_ppa"":true,""returning_pct_receiving_ppa"":true,""returning_pct_rushing_ppa"":true,""returning_receiving_ppa"":true,""returning_rushing_ppa"":true,""returning_total_ppa"":true,""returning_usage"":true,""talent_composite"":true}",2000-12-15T00:00:00.000Z,Pete Carroll,288.61,2.0,,,,,,,,,,,
2003,fbs,36,Colorado State,CFBD season-wide endpoint responses cached under data/raw/cfbd/preseason; team ID joined to CFBD teams,"{""coach_hire_date"":true,""head_coach"":false,""recruiting_class_points"":false,""recruiting_class_rank"":false,""returning_passing_ppa"":true,""returning_passing_usage"":true,""returning_pct_passing_ppa"":true,""returning_pct_ppa"":true,""returning_pct_receiving_ppa"":true,""returning_pct_rushing_ppa"":true,""returning_receiving_ppa"":true,""returning_rushing_ppa"":true,""returning_total_ppa"":true,""returning_usage"":true,""talent_composite"":true}",,Sonny Lubick,103.13,74.0,,,,,,,,,,,
2003,fbs,38,Colorado,CFBD season-wide endpoint responses cached under data/raw/cfbd/preseason; team ID joined to CFBD teams,"{""coach_hire_date"":true,""head_coach"":false,""recruiting_class_points"":false,""recruiting_class_rank"":false,""returning_passing_ppa"":true,""returning_passing_usage"":true,""returning_pct_passing_ppa"":true,""returning_pct_ppa"":true,""returning_pct_receiving_ppa"":true,""returning_pct_rushing_ppa"":true,""returning_receiving_ppa"":true,""returning_rushing_ppa"":true,""returning_total_ppa"":true,""returning_usage"":true,""talent_composite"":true}",,Gary Barnett,185.54,19.0,,,,,,,,,,,
2003,fbs,41,UConn,CFBD season-wide endpoint responses cached under data/raw/cfbd/preseason; team ID joined to CFBD teams,"{""coach_hire_date"":true,""head_coach"":false,""recruiting_class_points"":false,""recruiting_class_rank"":false,""returning_passing_ppa"":true,""returning_passing_usage"":true,""returning_pct_passing_ppa"":true,""returning_pct_ppa"":true,""returning_pct_receiving_ppa"":true,""returning_pct_rushing_ppa"":true,""returning_receiving_ppa"":true,""returning_rushing_ppa"":true,""returning_total_ppa"":true,""returning_usage"":true,""talent_composite"":true}",,Randy Edsall,87.69,94.0,,,,,,,,,,,
2003,fbs,52,Florida State,CFBD season-wide endpoint responses cached under data/raw/cfbd/preseason; team ID joined to CFBD teams,"{""coach_hire_date"":true,""head_coach"":false,""recruiting_class_points"":false,""recruiting_class_rank"":false,""returning_passing_ppa"":true,""returning_passing_usage"":true,""returning_pct_passing_ppa"":true,""returning_pct_ppa"":true,""returning_pct_receiving_ppa"":true,""returning_pct_rushing_ppa"":true,""returning_receiving_ppa"":true,""returning_rushing_ppa"":true,""returning_total_ppa"":true,""returning_usage"":true,""talent_composite"":true}",,Bobby Bowden,203.95,15.0,,,,,,,,,,,
2003,fbs,57,Florida,CFBD season-wide endpoint responses cached under data/raw/cfbd/preseason; team ID joined to CFBD teams,"{""coach_hire_date"":false,""head_coach"":false,""recruiting_class_points"":false,""recruiting_class_rank"":false,""returning_passing_ppa"":true,""returning_passing_usage"":true,""returning_pct_passing_ppa"":true,""returning_pct_ppa"":true,""returning_pct_receiving_ppa"":true,""returning_pct_rushing_ppa"":true,""returning_receiving_ppa"":true,""returning_rushing_ppa"":true,""returning_total_ppa"":true,""returning_usage"":true,""talent_composite"":true}",2002-01-10T00:00:00.000Z,Ron Zook,298.36,1.0,,,,,,,,,,,
2003,fbs,58,South Florida,CFBD season-wide endpoint responses cached under data/raw/cfbd/preseason; team ID joined to CFBD teams,"{""coach_hire_date"":false,""head_coach"":false,""recruiting_class_points"":false,""recruiting_class_rank"":false,""returning_passing_ppa"":true,""returning_passing_usage"":true,""returning_pct_passing_ppa"":true,""returning_pct_ppa"":true,""returning_pct_receiving_ppa"":true,""returning_pct_rushing_ppa"":true,""returning_receiving_ppa"":true,""returning_rushing_ppa"":true,""returning_total_ppa"":true,""returning_usage"":true,""talent_composite"":true}",1995-12-12T00:00:00.000Z,Jim Leavitt,97.77,78.0,,,,,,,,,,,
2003,fbs,59,Georgia Tech,CFBD season-wide endpoint responses cached under data/raw/cfbd/preseason; team ID joined to CFBD teams,"{""coach_hire_date"":false,""head_coach"":false,""recruiting_class_points"":false,""recruiting_class_rank"":false,""returning_passing_ppa"":true,""returning_passing_usage"":true,""returning_pct_passing_ppa"":true,""returning_pct_ppa"":true,""returning_pct_receiving_ppa"":true,""returning_pct_rushing_ppa"":true,""returning_receiving_ppa"":true,""returning_rushing_ppa"":true,""returning_total_ppa"":true,""returning_usage"":true,""talent_composite"":true}",2001-12-29T00:00:00.000Z,Chan Gailey,159.66,38.0,,,,,,,,,,,
2003,fbs,61,Georgia,CFBD season-wide endpoint responses cached under data/raw/cfbd/preseason; team ID joined to CFBD teams,"{""coach_hire_date"":false,""head_coach"":false,""recruiting_class_points"":false,""recruiting_class_rank"":false,""returning_passing_ppa"":true,""returning_passing_usage"":true,""returning_pct_passing_ppa"":true,""returning_pct_ppa"":true,""returning_pct_receiving_ppa"":true,""returning_pct_rushing_ppa"":true,""returning_receiving_ppa"":true,""returning_rushing_ppa"":true,""returning_total_ppa"":true,""returning_usage"":true,""talent_composite"":true}",2000-12-26T00:00:00.000Z,Mark Richt,236.21,9.0,,,,,,,,,,,
2003,fbs,62,Hawai'i,CFBD season-wide endpoint responses cached under data/raw/cfbd/preseason; team ID joined to CFBD teams,"{""coach_hire_date"":true,""head_coach"":false,""recruiting_class_points"":false,""recruiting_class_rank"":false,""returning_passing_ppa"":true,""returning_passing_usage"":true,""returning_pct_passing_ppa"":true,""returning_pct_ppa"":true,""returning_pct_receiving_ppa"":true,""returning_pct_rushing_ppa"":true,""returning_receiving_ppa"":true,""returning_rushing_ppa"":true,""returning_total_ppa"":true,""returning_usage"":true,""talent_composite"":true}",,June Jones,93.21,82.0,,,,,,,,,,,
