candidate,student_t_df,training_seasons,development_seasons,training_game_count_union,development_marginalized_nll_mean,development_components,selected
a,3.0,2004-2017,2018-2021,11351,1.175085008341607,"[{""component"": ""a_yards"", ""development_conditional_nll"": 1.17526146781498, ""development_games"": 3227, ""development_marginalized_nll"": 1.175085008341607, ""response_kind"": ""yards"", ""turnover_context"": false}]",False
a,5.0,2004-2017,2018-2021,11351,1.1327588230798322,"[{""component"": ""a_yards"", ""development_conditional_nll"": 1.132925034392658, ""development_games"": 3227, ""development_marginalized_nll"": 1.1327588230798322, ""response_kind"": ""yards"", ""turnover_context"": false}]",False
a,8.0,2004-2017,2018-2021,11351,1.1084565260434356,"[{""component"": ""a_yards"", ""development_conditional_nll"": 1.1086176700373709, ""development_games"": 3227, ""development_marginalized_nll"": 1.1084565260434356, ""response_kind"": ""yards"", ""turnover_context"": false}]",False
a,15.0,2004-2017,2018-2021,11351,1.089383573720052,"[{""component"": ""a_yards"", ""development_conditional_nll"": 1.089541352194727, ""development_games"": 3227, ""development_marginalized_nll"": 1.089383573720052, ""response_kind"": ""yards"", ""turnover_context"": false}]",True
b,3.0,2004-2017,2018-2021,11352,1.3811552665128288,"[{""component"": ""b_plays"", ""development_conditional_nll"": 1.587553971982808, ""development_games"": 3227, ""development_marginalized_nll"": 1.5872255246840505, ""response_kind"": ""plays"", ""turnover_context"": false}, {""component"": ""b_yards"", ""development_conditional_nll"": 1.17526146781498, ""development_games"": 3227, ""development_marginalized_nll"": 1.175085008341607, ""response_kind"": ""yards"", ""turnover_context"": false}]",False
b,5.0,2004-2017,2018-2021,11352,1.3401308086752417,"[{""component"": ""b_plays"", ""development_conditional_nll"": 1.5478213544532151, ""development_games"": 3227, ""development_marginalized_nll"": 1.547502794270651, ""response_kind"": ""plays"", ""turnover_context"": false}, {""component"": ""b_yards"", ""development_conditional_nll"": 1.132925034392658, ""development_games"": 3227, ""development_marginalized_nll"": 1.1327588230798322, ""response_kind"": ""yards"", ""turnover_context"": false}]",False
b,8.0,2004-2017,2018-2021,11352,1.3175715976697182,"[{""component"": ""b_plays"", ""development_conditional_nll"": 1.526990251115441, ""development_games"": 3227, ""development_marginalized_nll"": 1.5266866692960006, ""response_kind"": ""plays"", ""turnover_context"": false}, {""component"": ""b_yards"", ""development_conditional_nll"": 1.1086176700373709, ""development_games"": 3227, ""development_marginalized_nll"": 1.1084565260434356, ""response_kind"": ""yards"", ""turnover_context"": false}]",False
b,15.0,2004-2017,2018-2021,11352,1.3001633944604336,"[{""component"": ""b_plays"", ""development_conditional_nll"": 1.5112201930555003, ""development_games"": 3227, ""development_marginalized_nll"": 1.5109432152008153, ""response_kind"": ""plays"", ""turnover_context"": false}, {""component"": ""b_yards"", ""development_conditional_nll"": 1.089541352194727, ""development_games"": 3227, ""development_marginalized_nll"": 1.089383573720052, ""response_kind"": ""yards"", ""turnover_context"": false}]",True
c,3.0,2004-2017,2018-2021,11352,1.3662858978068178,"[{""component"": ""c_plays"", ""development_conditional_nll"": 1.579888460436609, ""development_games"": 3227, ""development_marginalized_nll"": 1.5795916196932231, ""response_kind"": ""plays"", ""turnover_context"": true}, {""component"": ""c_yards"", ""development_conditional_nll"": 1.1530542793970269, ""development_games"": 3227, ""development_marginalized_nll"": 1.1529801759204121, ""response_kind"": ""yards"", ""turnover_context"": true}]",False
c,5.0,2004-2017,2018-2021,11352,1.3254934275269632,"[{""component"": ""c_plays"", ""development_conditional_nll"": 1.5400400883003034, ""development_games"": 3227, ""development_marginalized_nll"": 1.5397529787303783, ""response_kind"": ""plays"", ""turnover_context"": true}, {""component"": ""c_yards"", ""development_conditional_nll"": 1.1113024613176337, ""development_games"": 3227, ""development_marginalized_nll"": 1.111233876323548, ""response_kind"": ""yards"", ""turnover_context"": true}]",False
c,8.0,2004-2017,2018-2021,11352,1.3031305160181184,"[{""component"": ""c_plays"", ""development_conditional_nll"": 1.5192980274352907, ""development_games"": 3227, ""development_marginalized_nll"": 1.519016068296645, ""response_kind"": ""plays"", ""turnover_context"": true}, {""component"": ""c_yards"", ""development_conditional_nll"": 1.0873106059261322, ""development_games"": 3227, ""development_marginalized_nll"": 1.087244963739592, ""response_kind"": ""yards"", ""turnover_context"": true}]",False
c,15.0,2004-2017,2018-2021,11352,1.2859695290060502,"[{""component"": ""c_plays"", ""development_conditional_nll"": 1.5037932978414188, ""development_games"": 3227, ""development_marginalized_nll"": 1.5035373714759128, ""response_kind"": ""plays"", ""turnover_context"": true}, {""component"": ""c_yards"", ""development_conditional_nll"": 1.0684651716119395, ""development_games"": 3227, ""development_marginalized_nll"": 1.0684016865361878, ""response_kind"": ""yards"", ""turnover_context"": true}]",True
a,15.0,2004-2017,2018-2021,,,,True
b,15.0,2004-2017,2018-2021,,,,True
c,15.0,2004-2017,2018-2021,,,,True
