period,season,pairing,margin_band,site_control,overall_volume_control,n_games,mean_plays_diff,mean_plays_total,more_plays_rate,mean_play_residual,mean_rank_signal_location_shift,quality_slope,quality_spearman,next_margin_slope,next_margin_spearman
development_2018_2021,2018,fbs-fbs,"(-14,0]",home/neutral included as a model covariate,plays_total included as a model covariate,158,-0.34810126582278483,142.94303797468353,0.43037974683544306,-0.040469990137894145,-0.027089676599909213,0.028128799482211257,0.1019825589576743,1.5751589579403116,0.012465948300745473
development_2018_2021,2018,fbs-fbs,"(-28,-14]",home/neutral included as a model covariate,plays_total included as a model covariate,101,-1.9801980198019802,138.95049504950495,0.45544554455445546,0.009489523395021657,-0.04159784394671183,-0.0038727337963779676,-0.033389827547610836,-0.4887238038466925,-0.01825574375370245
development_2018_2021,2018,fbs-fbs,"(0,14]",home/neutral included as a model covariate,plays_total included as a model covariate,215,-0.4790697674418605,141.91162790697675,0.5023255813953489,-0.013240527703550557,0.019934973930561713,0.002514810655146647,-0.00554590084211867,0.054437434122130195,0.006444507146053314
development_2018_2021,2018,fbs-fbs,"(14,28]",home/neutral included as a model covariate,plays_total included as a model covariate,138,5.478260869565218,137.1304347826087,0.6594202898550725,0.20870920693946746,0.04044577087473874,0.023990241237791126,0.05476856127504631,3.4495096573001227,0.07868440037393205
development_2018_2021,2018,fbs-fbs,<=-28,home/neutral included as a model covariate,plays_total included as a model covariate,56,-3.0892857142857144,133.98214285714286,0.375,0.14414892106451677,-0.06026930344967368,-0.024829874494874494,-0.084417026960838,-1.3330606104006208,0.03141611905606292
development_2018_2021,2018,fbs-fbs,>28,home/neutral included as a model covariate,plays_total included as a model covariate,104,3.125,138.125,0.5961538461538461,-0.17503197191459163,0.06245381467819157,0.005188575220137044,0.014925850848180945,-0.7682174814042647,-0.0018939899333515332
development_2018_2021,2018,fbs-fcs,"(-14,0]",home/neutral included as a model covariate,plays_total included as a model covariate,5,2.0,150.8,0.4,0.22791837974177573,0.04488803932765177,-0.13773828455641013,-0.6,-0.31022745126390605,0.09999999999999999
development_2018_2021,2018,fbs-fcs,"(-28,-14]",home/neutral included as a model covariate,plays_total included as a model covariate,2,4.5,137.5,1.0,0.4019021332087629,0.06443641369918585,,,,
development_2018_2021,2018,fbs-fcs,"(0,14]",home/neutral included as a model covariate,plays_total included as a model covariate,18,5.777777777777778,143.33333333333334,0.6666666666666666,0.46583806677311845,0.11925079914732405,0.037466882788208034,0.1413828689370485,4.526413209804605,0.1321631564870559
development_2018_2021,2018,fbs-fcs,"(14,28]",home/neutral included as a model covariate,plays_total included as a model covariate,20,7.15,135.75,0.7,0.2675477326158072,0.13332060150345057,0.015709957631528767,-0.030075187969924807,-2.863950419107734,-0.1090635654412865
development_2018_2021,2018,fbs-fcs,>28,home/neutral included as a model covariate,plays_total included as a model covariate,67,10.059701492537313,139.13432835820896,0.8059701492537313,0.20914086502067977,0.16343574081741263,-0.0014157174632909461,0.00135685210312076,-0.6953085589167961,-0.07385677696874726
development_2018_2021,2019,fbs-fbs,"(-14,0]",home/neutral included as a model covariate,plays_total included as a model covariate,161,1.950310559006211,140.85714285714286,0.5341614906832298,0.13205501189254976,-0.02559473738690105,0.028036581868256263,0.14046181274442143,-1.1845202248054751,-0.02102446281706165
development_2018_2021,2019,fbs-fbs,"(-28,-14]",home/neutral included as a model covariate,plays_total included as a model covariate,94,-0.09574468085106383,136.03191489361703,0.5212765957446809,0.10492126398597353,-0.05072311708854942,0.03614828336651991,0.17163602210743056,5.18167069953084,0.18210919490162006
development_2018_2021,2019,fbs-fbs,"(0,14]",home/neutral included as a model covariate,plays_total included as a model covariate,224,1.2321428571428572,141.25,0.4732142857142857,0.052716799148662785,0.016235969160736486,0.02635285111738806,0.12221188636009184,-0.3357355988691805,0.00537507681284125
development_2018_2021,2019,fbs-fbs,"(14,28]",home/neutral included as a model covariate,plays_total included as a model covariate,126,1.5317460317460319,136.5793650793651,0.5158730158730159,-0.08458875621746843,0.04234234155759323,0.005688502326194209,0.014749178476474743,3.76614934569207,0.10603044664748539
development_2018_2021,2019,fbs-fbs,<=-28,home/neutral included as a model covariate,plays_total included as a model covariate,61,-6.508196721311475,136.18032786885246,0.29508196721311475,-0.030054465183420687,-0.06990179699919269,0.06072165503958754,0.24082496033844525,-0.07322892693687423,0.05180826548191931
development_2018_2021,2019,fbs-fbs,>28,home/neutral included as a model covariate,plays_total included as a model covariate,108,8.63888888888889,133.52777777777777,0.6666666666666666,0.1170420658434634,0.0673795885341933,0.006677160282175129,0.044604494745967775,1.5210128479781664,0.060933515127021776
development_2018_2021,2019,fbs-fcs,"(-14,0]",home/neutral included as a model covariate,plays_total included as a model covariate,2,-6.5,126.5,0.5,-0.17652787423687843,0.013889540228415709,,,,
development_2018_2021,2019,fbs-fcs,"(-28,-14]",home/neutral included as a model covariate,plays_total included as a model covariate,1,4.0,144.0,1.0,0.3412912895499506,-0.006535313670765319,,,,
