candidate,n_target_seasons,mean_nll,mean_delta_nll_vs_static,nested_choice_wins
H_window_10,18,4.501853429937355,-0.0002510046157622921,0
H_window_15,18,4.501950787339564,-0.00015364721355343787,0
H_hl_7,18,4.501954555509245,-0.00014987904387320228,0
H_hl_10,18,4.501961226237289,-0.00014320831582790048,0
H_hl_15,18,4.501988877610117,-0.00011555694300099024,0
H_hl_5,18,4.502009339004311,-9.509554880684747e-05,0
H_hl_3,18,4.50248919070157,0.00038475614845149647,0
H_window_7,18,4.5042841455355225,0.0021797109824048316,0
H_window_5,18,4.505856772286308,0.003752337733190626,0
C_context_hl_5,18,4.487911340864424,0.010516673197924634,0
C_context_hl_7,18,4.487976467165814,0.01058179949931453,0
C_context_hl_10,18,4.488115592992346,0.010720925325846972,1
C_context_hl_3,18,4.488242606171787,0.010847938505287017,0
C_context_hl_15,18,4.488284583399513,0.010889915733013518,0
