era,start_season,end_season,feature,n,n_observed,missingness,mean,median,variance,p10,p90
2003-2009,2003,2009,coach_tenure_seasons,711,584,0.17862165963431786,5.234589041095891,4.0,32.891885790016886,1.0,10.0
2003-2009,2003,2009,recruiting_class_rank,711,700,0.015471167369901506,58.848571428571425,59.0,1135.9427836734694,12.0,105.10000000000002
2003-2009,2003,2009,recruiting_class_points,711,700,0.015471167369901506,152.5434857142857,150.67000000000002,4122.017686992654,75.89399999999999,241.82600000000002
2003-2009,2003,2009,recruiting_points_2y_mean,711,705,0.008438818565400852,148.6741489361702,142.525,3787.417774949449,76.658,235.41800000000006
2003-2009,2003,2009,recruiting_points_3y_mean,711,708,0.00421940928270037,145.63034133709982,140.83583333333334,3672.010962614971,77.06,231.4218333333335
2003-2009,2003,2009,recruiting_points_4y_mean,711,710,0.0014064697609000865,143.2266384976526,136.46875,3600.2807461826956,76.70975,224.99675000000005
2003-2009,2003,2009,recruiting_points_trend,711,580,0.18424753867791843,13.802637931034482,12.475000000000001,1291.2656376964924,-27.48699999999999,58.737000000000016
2003-2009,2003,2009,talent_composite,711,0,1.0,,,,,
2003-2009,2003,2009,returning_pct_ppa,711,0,1.0,,,,,
2003-2009,2003,2009,returning_pct_passing_ppa,711,0,1.0,,,,,
2003-2009,2003,2009,returning_pct_receiving_ppa,711,0,1.0,,,,,
2003-2009,2003,2009,returning_pct_rushing_ppa,711,0,1.0,,,,,
2010-2014,2010,2014,coach_tenure_seasons,609,484,0.20525451559934316,4.462809917355372,3.0,20.062666484529743,1.0,10.0
2010-2014,2010,2014,recruiting_class_rank,609,609,0.0,61.825944170771756,61.0,1278.951642170939,13.0,111.0
2010-2014,2010,2014,recruiting_class_points,609,609,0.0,166.92174055829227,165.64,3852.450671847304,87.81800000000001,254.04000000000005
2010-2014,2010,2014,recruiting_points_2y_mean,609,609,0.0,167.34770935960591,165.45999999999998,3553.7439371585497,92.255,255.755
2010-2014,2010,2014,recruiting_points_3y_mean,609,609,0.0,166.93408319649697,165.14333333333335,3480.8869566626645,93.095,253.72199999999998
2010-2014,2010,2014,recruiting_points_4y_mean,609,609,0.0,165.9247646414888,164.415,3427.8716558719007,92.0705,248.28150000000002
2010-2014,2010,2014,recruiting_points_trend,609,597,0.019704433497536922,0.8224958123953094,0.37000000000000455,1309.8404153789606,-47.49000000000001,48.738000000000014
2010-2014,2010,2014,talent_composite,609,0,1.0,,,,,
2010-2014,2010,2014,returning_pct_ppa,609,125,0.7947454844006568,0.5920880000000001,0.604,0.048969248256000006,0.28559999999999997,0.8722000000000002
2010-2014,2010,2014,returning_pct_passing_ppa,609,125,0.7947454844006568,0.49458399999999997,0.76,1.2239716029440004,-0.0194,1.0632000000000001
2010-2014,2010,2014,returning_pct_receiving_ppa,609,125,0.7947454844006568,0.605648,0.623,0.040392612096,0.33080000000000004,0.8582
2010-2014,2010,2014,returning_pct_rushing_ppa,609,125,0.7947454844006568,1.2036800000000005,0.559,47.107059353600015,-0.10139999999999999,1.3668000000000013
2015-2019,2015,2019,coach_tenure_seasons,642,515,0.19781931464174451,4.43495145631068,3.0,14.816642473371665,1.0,10.0
2015-2019,2015,2019,recruiting_class_rank,642,642,0.0,64.97819314641744,65.0,1402.7939169845013,13.100000000000009,117.0
2015-2019,2015,2019,recruiting_class_points,642,642,0.0,175.04468847352024,167.675,2867.284705899836,112.07900000000001,255.76599999999996
2015-2019,2015,2019,recruiting_points_2y_mean,642,642,0.0,173.14206386292832,168.0,2879.9834246734918,111.3575,255.01800000000003
2015-2019,2015,2019,recruiting_points_3y_mean,642,642,0.0,171.52384994807892,166.895,2895.3784648118562,109.84566666666666,256.172
2015-2019,2015,2019,recruiting_points_4y_mean,642,642,0.0,170.4910539979232,165.84,2938.8063716975857,108.85275,254.38199999999995
2015-2019,2015,2019,recruiting_points_trend,642,635,0.010903426791277204,6.770787401574803,7.3700000000000045,527.5449949705499,-22.002000000000002,33.720000000000006
2015-2019,2015,2019,talent_composite,642,642,0.0,543.8219781931465,534.905,34018.42229811167,332.739,819.0139999999999
2015-2019,2015,2019,returning_pct_ppa,642,642,0.0,0.6102741433021807,0.632,0.04644124571772401,0.3062,0.8719
2015-2019,2015,2019,returning_pct_passing_ppa,642,642,0.0,0.2754688473520249,0.789,39.620744551210194,0.021300000000000027,1.0099
2015-2019,2015,2019,returning_pct_receiving_ppa,642,642,0.0,0.5993707165109035,0.6154999999999999,0.04377765696179191,0.31220000000000003,0.8659
2015-2019,2015,2019,returning_pct_rushing_ppa,642,642,0.0,0.40746417445482863,0.6944999999999999,10.12329480634893,0.12420000000000002,1.0508
2020-2025,2020,2025,coach_tenure_seasons,782,618,0.2097186700767263,4.527508090614886,3.0,19.46283553796043,1.0,10.0
