target_season,family,selected_candidate,selected_nll,static_candidate,static_nll,delta_nll,n_prior_targets_used,adaptive_selected
2008,H,H_static,4.474942478132562,H_static,4.474942478132562,0.0,0,False
2009,H,H_static,4.39554677891532,H_static,4.39554677891532,0.0,1,False
2010,H,H_static,4.468170455596482,H_static,4.468170455596482,0.0,2,False
2011,H,H_static,4.429338974772779,H_static,4.429338974772779,0.0,3,False
2012,H,H_static,4.511195682711421,H_static,4.511195682711421,0.0,4,False
2013,H,H_hl_3,4.486391848061539,H_static,4.483474899794794,0.002916948266744157,5,True
2014,H,H_hl_7,4.432283178300332,H_static,4.430010884818081,0.0022722934822505536,6,True
2015,H,H_static,4.485688110454581,H_static,4.485688110454581,0.0,7,False
2016,H,H_static,4.515452340482173,H_static,4.515452340482173,0.0,8,False
2017,H,H_hl_10,4.584180991824002,H_static,4.582703803537672,0.0014771882863300334,9,True
2018,H,H_static,4.483530140423278,H_static,4.483530140423278,0.0,10,False
2019,H,H_static,4.475073451273457,H_static,4.475073451273457,0.0,11,False
2020,H,H_hl_15,4.592121057547482,H_static,4.590965037579819,0.0011560199676630134,12,True
2021,H,H_static,4.532813382438782,H_static,4.532813382438782,0.0,13,False
2022,H,H_static,4.522758688416053,H_static,4.522758688416053,0.0,14,False
2023,H,H_window_15,4.481145649300902,H_static,4.48891364678557,-0.0077679974846684985,15,True
2024,H,H_window_15,4.603896418609524,H_static,4.6014611405914705,0.0024352780180532108,16,True
2025,H,H_window_15,4.570332497731412,H_static,4.565839925231822,0.0044925724995898975,17,True
2008,C,C_static,4.466875216598961,C_static,4.466875216598961,0.0,0,False
2009,C,C_static,4.415535429350379,C_static,4.415535429350379,0.0,1,False
2010,C,C_static,4.490576994537018,C_static,4.490576994537018,0.0,2,False
2011,C,C_static,4.3926856645873285,C_static,4.3926856645873285,0.0,3,False
2012,C,C_static,4.48941896814286,C_static,4.48941896814286,0.0,4,False
2013,C,C_static,4.439283736293565,C_static,4.439283736293565,0.0,5,False
2014,C,C_static,4.400743847144284,C_static,4.400743847144284,0.0,6,False
2015,C,C_static,4.489919390999141,C_static,4.489919390999141,0.0,7,False
2016,C,C_static,4.4746856908204835,C_static,4.4746856908204835,0.0,8,False
2017,C,C_static,4.472438556608592,C_static,4.472438556608592,0.0,9,False
2018,C,C_static,4.4386330237951785,C_static,4.4386330237951785,0.0,10,False
2019,C,C_static,4.429261905814538,C_static,4.429261905814538,0.0,11,False
2020,C,C_static,4.5602516230404,C_static,4.5602516230404,0.0,12,False
2021,C,C_static,4.504328695017623,C_static,4.504328695017623,0.0,13,False
2022,C,C_static,4.461190706710972,C_static,4.461190706710972,0.0,14,False
2023,C,C_static,4.468219805710168,C_static,4.468219805710168,0.0,15,False
2024,C,C_static,4.591169010508365,C_static,4.591169010508365,0.0,16,False
2025,C,C_static,4.607885752317135,C_static,4.607885752317135,0.0,17,False
