target_season,n_team_seasons,n_training_rows,n_training_seasons,same_population_keys,c_full_nll,c_minus_rp_nll,rp_contribution_nll,c_full_crps,c_minus_rp_crps,rp_contribution_crps,c_full_expected_rank_mae,c_minus_rp_expected_rank_mae,rp_contribution_expected_rank_mae,c_full_median_rank_mae,c_minus_rp_median_rank_mae,rp_contribution_median_rank_mae,c_full_interval_80_coverage,c_minus_rp_interval_80_coverage,rp_contribution_interval_80_coverage,c_full_interval_80_average_width,c_minus_rp_interval_80_average_width,rp_contribution_interval_80_average_width,c_full_top5_brier,c_minus_rp_top5_brier,rp_contribution_top5_brier,c_full_top10_brier,c_minus_rp_top10_brier,rp_contribution_top10_brier,c_full_top25_brier,c_minus_rp_top25_brier,rp_contribution_top25_brier
2007,119,353,3,True,4.385599790064419,4.385508053322232,-9.173674218754257e-05,0.1036945682593365,0.10367800485152782,-1.6563407808672936e-05,17.12401539308048,17.12274015536603,-0.001275237714448707,16.722689075630253,16.69747899159664,-0.025210084033613356,0.8623056358063824,0.8623056358063824,0.0,69.02521008403362,69.01680672268908,-0.008403361344534233,0.022332114638338316,0.02233807539494267,5.9607566043548554e-06,0.043050580358968686,0.043056118027501464,5.537668532777651e-06,0.08061413557851925,0.08061113401049151,-3.0015680277384327e-06
2008,119,472,4,True,4.466875216598961,4.466361790851512,-0.0005134257474486148,0.11303823802318998,0.1129434571644305,-9.478085875948283e-05,18.226259982990513,18.2108389801771,-0.015421002813411633,18.676470588235293,18.642857142857142,-0.03361344537815114,0.8363595438175271,0.8365846338535415,0.00022509003601445254,65.98319327731092,65.96638655462185,-0.016806722689068465,0.026442692834212186,0.026445673809625196,2.9809754130104282e-06,0.050393227974981136,0.050392990454950826,-2.3752003031063396e-07,0.08361221937587483,0.08355452766441512,-5.7691711459709194e-05
2009,120,591,5,True,4.415535429350379,4.415218150712822,-0.000317278637556484,0.10623013016059257,0.1061863510595741,-4.377910101847904e-05,17.3909671896176,17.387640463014684,-0.0033267266029177733,17.504166666666666,17.5375,0.03333333333333499,0.8670386904761905,0.8673363095238095,0.00029761904761893554,67.675,67.66666666666667,-0.008333333333325754,0.02012616560772525,0.02012593577894287,-2.298287823804257e-07,0.038560961621509446,0.03853765945191768,-2.3302169591767063e-05,0.06037265378331713,0.060316977151491966,-5.5676631825166134e-05
2010,120,711,6,True,4.490576994537018,4.490803301247274,0.00022630671025591909,0.11591510112340193,0.11594478118895467,2.968006555273406e-05,19.153344140877547,19.15806919325586,0.004725052378312,19.408333333333335,19.425,0.01666666666666572,0.8185261707988981,0.8182506887052341,-0.00027548209366401455,66.11666666666666,66.08333333333333,-0.03333333333333144,0.02825179709231107,0.028265225670761965,1.342857845089418e-05,0.050891993355934785,0.05090401915388138,1.2025797946596528e-05,0.09091465308304106,0.09094105528224228,2.6402199201219778e-05
2011,120,831,7,True,4.3926856645873285,4.392581629185049,-0.00010403540227965635,0.10677736375732663,0.10677868367386582,1.3199165391913903e-06,17.46091389433317,17.456365145236568,-0.0045487490966031885,17.7625,17.779166666666665,0.01666666666666572,0.8512096774193549,0.8512096774193549,0.0,68.86666666666666,68.8,-0.06666666666666288,0.019912462309606936,0.019894927807072846,-1.7534502534090335e-05,0.03684366963460514,0.03683694361920653,-6.726015398611507e-06,0.0751643715680841,0.07514625184745007,-1.8119720634035552e-05
2012,120,951,8,True,4.48941896814286,4.489350275649607,-6.869249325269777e-05,0.11247549181109082,0.11246623898343261,-9.252827658207119e-06,18.465727585446203,18.46366524339552,-0.002062342050681565,19.095833333333335,19.095833333333335,0.0,0.8526272175536882,0.8526272175536882,0.0,69.425,69.425,0.0,0.019873095844072045,0.019875677872175423,2.5820281033782366e-06,0.04239169430807441,0.04238991733517963,-1.7769728947736319e-06,0.06734983573272496,0.0673239531791598,-2.5882553565156896e-05
2013,124,1071,9,True,4.439283736293565,4.439297465139746,1.3728846180782739e-05,0.10384487932563427,0.1038469847126479,2.105387013631721e-06,17.663181759524722,17.66377404055341,0.0005922810286875801,17.693548387096776,17.68548387096774,-0.008064516129035582,0.8741657397107897,0.8741657397107897,0.0,70.12096774193549,70.12903225806451,0.008064516129024923,0.018959214518813487,0.018961861824010526,2.6473051970392347e-06,0.0354700109136005,0.03547816982263659,8.158909036090622e-06,0.06853588738984916,0.06853807804852723,2.190658678069557e-06
2014,125,1195,10,True,4.400743847144284,4.401654794078257,0.0009109469339732001,0.09796995626807302,0.09809165848670601,0.00012170221863298802,17.276901201913056,17.379322065097885,0.1024208631848289,16.672,16.648,-0.02400000000000091,0.8785132743362831,0.8770265486725662,-0.0014867256637168813,71.376,71.472,0.09599999999998943,0.020251698987793224,0.02038398032012331,0.00013228133233008504,0.034167045801282096,0.034636729798955046,0.0004696839976729497,0.06733851824413833,0.06785154573332527,0.0005130274891869402
2015,127,1320,11,True,4.489919390999141,4.437463888793358,-0.05245550220578288,0.10077226244455252,0.10149538446761046,0.0007231220230579372,17.04832380623844,17.56770744511773,0.5193836388792903,16.811023622047244,17.8503937007874,1.0393700787401556,0.8727034120734908,0.8778836855919326,0.005180273518441858,69.7007874015748,70.5275590551181,0.8267716535433038,0.023981387000362998,0.017341675837129814,-0.0066397111632331834,0.03518507995969969,0.030500094296629983,-0.004684985663069706,0.06562607689202166,0.0632308810826983,-0.002395195809323361
2016,128,1447,12,True,4.4746856908204835,4.489366988922772,0.014681298102288132,0.11057694728367627,0.11162585169631298,0.0010489044126367059,19.365536410345065,19.459752265438247,0.0942158550931822,19.71484375,19.71484375,0.0,0.8427220394736841,0.8377878289473684,-0.004934210526315708,68.78125,69.6484375,0.8671875,0.014134903740103783,0.013384841955832633,-0.0007500617842711495,0.03360455719844403,0.03415974308135826,0.0005551858829142275,0.07203161367072286,0.07534072106366954,0.0033091073929466808
2017,128,1575,13,True,4.472438556608592,4.521190466348757,0.04875190974016519,0.10583898398686364,0.11171943287310268,0.005880448886239037,18.449870513252645,19.80638432826264,1.356513815009997,18.1796875,19.6484375,1.46875,0.856015625,0.8419531250000001,-0.014062499999999867,71.78125,72.90625,1.125,0.014608050998480969,0.015072335053465034,0.00046428405498406475,0.03429469818010926,0.03519529975904177,0.0009006015789325139,0.058171925606070506,0.06228139189152302,0.004109466285452515
2018,129,1703,14,True,4.4386330237951785,4.459917879216578,0.02128485542139913,0.10560016013138664,0.10695349907780181,0.001353338946415178,18.417214552621513,18.847460092370984,0.4302455397494711,18.891472868217054,19.13953488372093,0.2480620155038764,0.8527131782945736,0.8447376267143708,-0.0079755515802028,69.69767441860465,71.42635658914729,1.7286821705426405,0.011897755123994736,0.011987781284536033,9.002616054129726e-05,0.025501452916315597,0.02333850889018349,-0.002162944026132107,0.07885128557790155,0.07622174770855913,-0.0026295378693424187
