variant,feature,included_in_scale,standardized_scale_coefficient,missingness_scale_coefficient
C0_current_location,returning_pct_ppa,False,,
C0_current_location,returning_pct_passing_ppa,False,,
C0_current_location,returning_pct_receiving_ppa,False,,
C0_current_location,returning_pct_rushing_ppa,False,,
C1_no_rp,returning_pct_ppa,False,,
C1_no_rp,returning_pct_passing_ppa,False,,
C1_no_rp,returning_pct_receiving_ppa,False,,
C1_no_rp,returning_pct_rushing_ppa,False,,
C2_rp_scale_only,returning_pct_ppa,True,-0.018092486117179975,0.007367343106646014
C2_rp_scale_only,returning_pct_passing_ppa,True,0.022255488671926463,0.007367343106654801
C2_rp_scale_only,returning_pct_receiving_ppa,True,-0.015248568077527076,0.007367343106654801
C2_rp_scale_only,returning_pct_rushing_ppa,True,-0.02526557103454127,0.007367343106654801
C3_rp_both,returning_pct_ppa,True,-0.002503651043939873,0.015172799877307451
C3_rp_both,returning_pct_passing_ppa,True,0.02692319004115312,0.015172799877314
C3_rp_both,returning_pct_receiving_ppa,True,-0.009067269082053986,0.015172799877314
C3_rp_both,returning_pct_rushing_ppa,True,-0.039718817250672556,0.015172799877314
