variant,returning_production_level,quantile,returning_pct_ppa,returning_pct_passing_ppa,returning_pct_receiving_ppa,returning_pct_rushing_ppa,conditional_location_mean,predictive_scale,scale_delta_vs_median
C0_current_location,low,0.1,0.309,0.004,0.334,0.07,0.05873365441793545,1.2295912528349118,0.0
C0_current_location,median,0.5,0.639,0.797,0.636,0.676,-0.400229420279763,1.2295912528349118,0.0
C0_current_location,high,0.9,0.887,1.015,0.891,1.066,-0.756844164206584,1.2295912528349118,0.0
C1_no_rp,low,0.1,0.309,0.004,0.334,0.07,-0.38770774561578586,1.2353224752030012,0.0
C1_no_rp,median,0.5,0.639,0.797,0.636,0.676,-0.38770774561578586,1.2353224752030012,0.0
C1_no_rp,high,0.9,0.887,1.015,0.891,1.066,-0.38770774561578586,1.2353224752030012,0.0
C2_rp_scale_only,low,0.1,0.309,0.004,0.334,0.07,-0.41484647246513434,1.283176215896997,0.07810638887708121
C2_rp_scale_only,median,0.5,0.639,0.797,0.636,0.676,-0.41484647246513434,1.2050698270199158,0.0
C2_rp_scale_only,high,0.9,0.887,1.015,0.891,1.066,-0.41484647246513434,1.1448245837311608,-0.060245243288755024
C3_rp_both,low,0.1,0.309,0.004,0.334,0.07,0.04704432971702224,1.197012372021592,0.029912229640208565
C3_rp_both,median,0.5,0.639,0.797,0.636,0.676,-0.4019159328562523,1.1671001423813834,0.0
C3_rp_both,high,0.9,0.887,1.015,0.891,1.066,-0.7512653679496855,1.141344712153262,-0.025755430228121323
