id,season,week,seasonType,startDate,completed,neutralSite,conferenceGame,homeId,homeTeam,homeClassification,homeConference,homePoints,awayId,awayTeam,awayClassification,awayConference,awayPoints
401752665,2025,1,regular,2025-08-30T19:30:00.000Z,True,False,False,52,Florida State,fbs,ACC,31,333,Alabama,fbs,SEC,17
401752666,2025,1,regular,2025-08-30T20:15:00.000Z,True,False,False,8,Arkansas,fbs,SEC,52,2010,Alabama A&M,fcs,SWAC,7
401752667,2025,1,regular,2025-08-30T00:00:00.000Z,True,False,False,239,Baylor,fbs,Big 12,24,2,Auburn,fbs,SEC,38
401752668,2025,1,regular,2025-08-30T23:00:00.000Z,True,False,False,57,Florida,fbs,SEC,55,2341,Long Island University,fcs,NEC,0
401752669,2025,1,regular,2025-08-30T19:30:00.000Z,True,False,False,61,Georgia,fbs,SEC,45,276,Marshall,fbs,Sun Belt,7
401752670,2025,1,regular,2025-08-30T16:45:00.000Z,True,False,False,96,Kentucky,fbs,SEC,24,2649,Toledo,fbs,Mid-American,16
401752671,2025,1,regular,2025-08-30T23:30:00.000Z,True,False,False,228,Clemson,fbs,ACC,10,99,LSU,fbs,SEC,17
401752672,2025,1,regular,2025-08-30T23:45:00.000Z,True,False,False,145,Ole Miss,fbs,SEC,63,2247,Georgia State,fbs,Sun Belt,7
401752673,2025,1,regular,2025-08-30T16:00:00.000Z,True,False,False,2572,Southern Miss,fbs,Sun Belt,17,344,Mississippi State,fbs,SEC,34
401752674,2025,1,regular,2025-08-28T23:30:00.000Z,True,False,False,142,Missouri,fbs,SEC,61,2110,Central Arkansas,fcs,UAC,6
401752675,2025,1,regular,2025-08-30T22:00:00.000Z,True,False,False,201,Oklahoma,fbs,SEC,35,2287,Illinois State,fcs,MVFC,3
401752676,2025,1,regular,2025-08-30T16:00:00.000Z,True,True,False,2633,Tennessee,fbs,SEC,45,183,Syracuse,fbs,ACC,26
401752677,2025,1,regular,2025-08-30T16:00:00.000Z,True,False,False,194,Ohio State,fbs,Big Ten,14,251,Texas,fbs,SEC,7
401752678,2025,1,regular,2025-08-30T23:00:00.000Z,True,False,False,245,Texas A&M,fbs,SEC,42,2636,UTSA,fbs,American Athletic,24
401752679,2025,1,regular,2025-08-30T23:00:00.000Z,True,False,False,238,Vanderbilt,fbs,SEC,45,2127,Charleston Southern,fcs,OVC-Big South,3
401752680,2025,1,regular,2025-08-31T19:00:00.000Z,True,True,False,2579,South Carolina,fbs,SEC,24,259,Virginia Tech,fbs,ACC,11
401752793,2025,1,regular,2025-08-29T00:00:00.000Z,True,False,False,135,Minnesota,fbs,Big Ten,23,2084,Buffalo,fbs,Mid-American,10
