team_id,team_name,subdivision,conference,record_through_cutoff,movement_from_previous,expected_rank,median_rank,interval_80_low,interval_80_high,top5_probability,top10_probability,top25_probability,display_rank
194,Ohio State,fbs,,,,7.324658720295548,5.0,1.0,16.0,0.5657237862022528,0.7942259435374203,0.9623751174962172,1
2390,Miami,fbs,,,,10.114989654183452,7.0,2.0,21.0,0.3736774245574835,0.6655871247087385,0.9367106358123151,2
84,Indiana,fbs,,,,10.933228697570529,7.0,2.0,25.0,0.4025973932330484,0.6521323640418766,0.9059524453619977,3
61,Georgia,fbs,,,,11.574127694751045,8.0,2.0,26.0,0.3789379559755227,0.6321080017131241,0.8973201606585689,4
333,Alabama,fbs,,,,11.598049880605947,8.0,2.0,25.0,0.34692271222553384,0.6150368353549194,0.9011387720266355,5
87,Notre Dame,fbs,,,,12.866370071566367,9.0,2.0,29.0,0.3331684665824138,0.5830142993636637,0.8719045580720473,6
2483,Oregon,fbs,,,,14.246603040733968,9.0,2.0,33.0,0.3199556217662867,0.5454727250113934,0.839372698747872,7
251,Texas,fbs,,,,14.658464412995505,10.0,3.0,32.0,0.26241554997972166,0.5118823466259319,0.8405378945439708,8
201,Oklahoma,fbs,,,,15.646656991044338,11.0,3.0,34.0,0.22706191696338385,0.4717416597388216,0.8210895975466522,9
99,LSU,fbs,,,,16.991243157938495,12.0,4.0,37.0,0.18877092333961168,0.43213571017489627,0.7982137082357224,10
245,Texas A&M,fbs,,,,17.467141598767125,13.0,4.0,38.0,0.19231196270496248,0.4234030859753315,0.78423993933659,11
30,USC,fbs,,,,18.973128219128586,14.0,4.0,40.0,0.1542479413908934,0.36602387901249495,0.7492059426167887,12
258,Virginia,fbs,,,,20.3072915785555,15.0,5.0,44.0,0.11594864577263166,0.33159446929562986,0.7343626834187534,13
213,Penn State,fbs,,,,20.483105171752463,15.0,4.0,45.0,0.1584808181310554,0.3615685036552138,0.7207452686574329,14
254,Utah,fbs,,,,21.98401566637687,16.0,4.0,49.0,0.14749427609906013,0.3412128137889719,0.6939818175621426,15
2294,Iowa,fbs,,,,23.36310347508199,18.0,5.0,51.0,0.12184087568259203,0.29960434861477847,0.6593131966245523,16
145,Ole Miss,fbs,,,,24.775709188857586,18.0,5.0,55.0,0.12594095950189693,0.2904940821162595,0.6333051952072842,17
142,Missouri,fbs,,,,28.270317470023283,23.0,7.0,59.0,0.07258180061069498,0.20715838696174324,0.5566808498247452,18
2306,Kansas State,fbs,,,,29.288971808062662,22.0,6.0,63.0,0.07445532683574592,0.22143372894762706,0.5619213485604794,19
252,BYU,fbs,,,,29.355430325475126,22.0,6.0,65.0,0.09868079924328461,0.2399907496280826,0.5559894225181897,20
57,Florida,fbs,,,,30.36635983937262,25.0,8.0,62.0,0.05362495437629306,0.1748959648002603,0.5184070426056624,21
221,Pittsburgh,fbs,,,,31.636813514025917,26.0,8.0,65.0,0.04679976176955433,0.15986368788412172,0.49603699104158105,22
2579,South Carolina,fbs,,,,31.93831390668889,26.0,8.0,66.0,0.05078000484215647,0.16481634394947103,0.4950857834988421,23
264,Washington,fbs,,,,32.851083494903115,26.0,7.0,69.0,0.06641429451205663,0.18131434571147878,0.48676174199270084,24
97,Louisville,fbs,,,,34.63646203497093,29.0,9.0,68.0,0.03749763627776967,0.12768045362797117,0.4368958809452326,25
2641,Texas Tech,fbs,,,,34.70174069768795,28.0,6.0,75.0,0.07945366914635303,0.1851781338410503,0.46036224801055237,26
2633,Tennessee,fbs,,,,36.04940386215042,29.0,8.0,75.0,0.054179448451947235,0.15703223773448138,0.44371008960293823,27
9,Arizona State,fbs,,,,36.194800361369204,30.0,9.0,73.0,0.04180421737569792,0.14249903750225493,0.4379664720359325,28
2449,North Dakota State,fbs,,,,37.28426486171668,31.0,9.0,75.0,0.04366159781547042,0.12916706345581866,0.4051798545260653,29
130,Michigan,fbs,,,,37.66708979105974,32.0,8.0,77.0,0.052755019481676796,0.14182778589269598,0.40897662876954355,30
68,Boise State,fbs,,,,39.393488622191356,34.0,10.0,78.0,0.0275240944574675,0.1034161131048381,0.37831422822626576,31
158,Nebraska,fbs,,,,40.54958200075513,35.0,11.0,80.0,0.025392533226948174,0.09547647790002078,0.35570840794591,32
