candidate,target_kind,phase,n,margin_nll,margin_mae,win_brier
R112,next_game,early,855,4.2935674716836845,14.062076258848602,0.17811883605793105
R112,next_game,late,244,4.335748972471095,14.23999930314816,0.2357822510119893
R112,next_game,mid,492,4.231925635172639,13.17474040944093,0.18929071409181078
R14,next_game,early,855,4.296517449097518,14.148756617940863,0.178056377725146
R14,next_game,late,244,4.339719753109234,14.322450631306625,0.2398772011294949
R14,next_game,mid,492,4.258807924732918,13.613396529983737,0.19365846482827626
R28,next_game,early,855,4.291499264507542,14.06430145424136,0.17729993894788218
R28,next_game,late,244,4.335450388733661,14.24580402579938,0.237243443692366
R28,next_game,mid,492,4.238399539486191,13.304753674001129,0.19027795210707713
R56,next_game,early,855,4.292100510258294,14.05305166096338,0.17767689072854984
R56,next_game,late,244,4.334881128251176,14.228910195700248,0.236014447290528
R56,next_game,mid,492,4.232592686673297,13.19084926718833,0.18946349629381246
Static V1,next_game,early,855,4.296001328181802,14.08389425289575,0.17875220467942296
Static V1,next_game,late,244,4.338667549697388,14.283494665341536,0.2360880097217859
Static V1,next_game,mid,492,4.233364038429692,13.191409413101358,0.18935011761801482
