period,dimension,bin,control,lag,n_pairs,correlation,mean_product
development,demeaned,all,observed,1,9789,-0.07601619325779568,-13.85994706857862
development,demeaned,all,observed,2,8801,-0.07891253971833413,-14.339223896843755
development,demeaned,all,shuffle_order,1,244725,-0.10096388896026644,-18.475353011301156
development,demeaned,all,shuffle_order,2,220025,-0.10067309188096686,-18.42828558267913
development,demeaned,all,unrelated_team,1,220421,-0.0014009956271197265,-0.25417726559014253
development,demeaned,all,unrelated_team,2,195893,0.002542059572595651,0.4573776847953968
development,raw,all,observed,1,9789,0.00595697662202859,1.176068205260448
development,raw,all,observed,2,8801,0.0010612426568948374,0.20790195418336618
development,raw,all,shuffle_order,1,244725,-0.018431028572543244,-3.6454758839817254
development,raw,all,shuffle_order,2,220025,-0.020919557291813672,-4.127687390386905
development,raw,all,unrelated_team,1,220421,-0.0018339882029197064,-0.36088657021954224
development,raw,all,unrelated_team,2,195893,0.001485511748779337,0.2882824509650948
evaluation,demeaned,all,observed,1,11594,-0.07322535229887353,-12.544756063007762
evaluation,demeaned,all,observed,2,10544,-0.062485958473217154,-10.708305108818202
evaluation,demeaned,all,shuffle_order,1,289850,-0.09164892871887764,-15.81287617880603
evaluation,demeaned,all,shuffle_order,2,263600,-0.08838522481111233,-15.257599385966332
evaluation,demeaned,all,unrelated_team,1,271067,-7.840711366878525e-05,-0.013813269408371336
evaluation,demeaned,all,unrelated_team,2,244817,-0.002393959555010958,-0.40666370977365596
evaluation,raw,all,observed,1,11594,-0.009371172792994606,-1.7086562502493123
evaluation,raw,all,observed,2,10544,-0.002346499405542892,-0.4250925922253812
evaluation,raw,all,shuffle_order,1,289850,-0.025988188792405414,-4.770881299747244
evaluation,raw,all,shuffle_order,2,263600,-0.022593918524591958,-4.151090004308645
evaluation,raw,all,unrelated_team,1,271067,0.0001823796037461787,0.03252335936088435
evaluation,raw,all,unrelated_team,2,244817,-0.0018005199780776594,-0.3245846165568614
training,demeaned,all,observed,1,26205,-0.0679993276081468,-11.585139239618888
training,demeaned,all,observed,2,23731,-0.08799986832743757,-14.970950935809212
training,demeaned,all,shuffle_order,1,655125,-0.09623094222866803,-16.438198845563896
training,demeaned,all,shuffle_order,2,593275,-0.09074986735447167,-15.525509241383178
training,demeaned,all,unrelated_team,1,597871,-0.0016991986553841563,-0.2872363497469124
training,demeaned,all,unrelated_team,2,536415,-0.0021605225889101756,-0.3650171280068167
training,raw,all,observed,1,26205,-0.0011741234411734283,-0.2135449455025547
training,raw,all,observed,2,23731,-0.02029244057399241,-3.6811311175379307
training,raw,all,shuffle_order,1,655125,-0.028067389336074427,-5.112362028024902
training,raw,all,shuffle_order,2,593275,-0.02328716246555665,-4.246582409023734
training,raw,all,unrelated_team,1,597871,-0.0011155817111629302,-0.2018817974234477
training,raw,all,unrelated_team,2,536415,-0.001592777436500112,-0.28779844505417257
development,demeaned_elapsed_days,0-7d,observed,1,4761,-0.07290468439051338,-13.202771278225537
development,demeaned_elapsed_days,113d+,observed,1,8,-0.0005514415770027278,-2.267702249031423
development,demeaned_elapsed_days,113d+,observed,2,14,0.031101002894538814,6.910570086878989
development,demeaned_elapsed_days,22-56d,observed,1,278,0.0031613868966490124,0.9443223751124193
development,demeaned_elapsed_days,22-56d,observed,2,1373,-0.13649920917904557,-24.925779558647065
development,demeaned_elapsed_days,57-112d,observed,1,2,-0.9999999999999998,0.7133529759202637
development,demeaned_elapsed_days,57-112d,observed,2,2,-1.0,-48.10469382673685
development,demeaned_elapsed_days,8-21d,observed,1,4740,-0.0848274425626656,-15.414015718760584
development,demeaned_elapsed_days,8-21d,observed,2,7412,-0.06847971302520837,-12.409194923861618
development,raw_elapsed_days,0-7d,observed,1,4761,0.00943911630314112,1.8328752406864235
development,raw_elapsed_days,113d+,observed,1,8,0.21430414142468676,41.55022486548536
development,raw_elapsed_days,113d+,observed,2,14,0.15264427081735307,33.79445320433898
development,raw_elapsed_days,22-56d,observed,1,278,0.05090666005130549,11.654637733294656
development,raw_elapsed_days,22-56d,observed,2,1373,-0.04371004587288459,-8.46908847723922
development,raw_elapsed_days,57-112d,observed,1,2,-0.9999999999999999,-9.77743115472535
development,raw_elapsed_days,57-112d,observed,2,2,-1.0,-33.75937130732931
development,raw_elapsed_days,8-21d,observed,1,4740,-0.0008765539418413907,-0.16173493377297174
development,raw_elapsed_days,8-21d,observed,2,7412,0.009034075468397207,1.7609552045023167
evaluation,demeaned_elapsed_days,0-7d,observed,1,5626,-0.09090057208893766,-15.468343533550142
evaluation,demeaned_elapsed_days,22-56d,observed,1,286,-0.08191535369821712,-14.584742118849965
evaluation,demeaned_elapsed_days,22-56d,observed,2,1492,-0.07265157320552686,-12.576872397460031
evaluation,demeaned_elapsed_days,8-21d,observed,1,5682,-0.05544232852754044,-9.54730109622806
evaluation,demeaned_elapsed_days,8-21d,observed,2,9052,-0.06066845642678172,-10.400317659121603
