portal_index,season,player_name,normalized_player_name,origin,origin_team_id,origin_team_name,origin_match_method,destination,destination_team_id,destination_team_name,destination_match_method,position,position_group,transfer_date,cutoff_state,in_model_relevant_population,rating,stars,is_qb,usage_join_status,usage_join_method,normalization_changed_match,prior_usage,prior_usage_record_count,portal_normalized_key_count,priority_rank
0,2021,Cameron Wilkins,cameron wilkins,Missouri,142,Missouri,exact_normalized_name,UTSA,2636,UTSA,exact_normalized_name,LB,lb,2021-07-31,on_or_before_cutoff,True,,3,False,no_usage_record,none,False,,0,1,4836
1,2021,Javar Strong,javar strong,Arkansas State,2032,Arkansas State,exact_normalized_name,,,,missing_name,S,db,2021-07-28,on_or_before_cutoff,False,,3,False,not_in_model_relevant_population,none,False,,0,1,
2,2021,Noah Mitchell,noah mitchell,UTSA,2636,UTSA,exact_normalized_name,,,,missing_name,LB,lb,2021-07-27,on_or_before_cutoff,False,,3,False,not_in_model_relevant_population,none,False,,0,1,
3,2021,Trivenskey Mosley,trivenskey mosley,Southern Miss,2572,Southern Miss,exact_normalized_name,,,,missing_name,RB,rb,2021-07-26,on_or_before_cutoff,False,,3,False,not_in_model_relevant_population,none,False,,0,1,
4,2021,Jalar Holley,jalar holley,Miami,2390,Miami,exact_normalized_name,,,,missing_name,DL,dl,2021-07-25,on_or_before_cutoff,False,,3,False,not_in_model_relevant_population,none,False,,0,1,
5,2021,Davon Wells-Ross,davon wells-ross,Wyoming,2751,Wyoming,exact_normalized_name,,,,missing_name,LB,lb,2021-07-23,on_or_before_cutoff,False,,2,False,not_in_model_relevant_population,none,False,,0,1,
6,2021,Samari Saddler,samari saddler,Eastern Michigan,2199,Eastern Michigan,exact_normalized_name,,,,missing_name,IOL,ol,2021-07-23,on_or_before_cutoff,False,,2,False,not_in_model_relevant_population,none,False,,0,1,
7,2021,Bennett Johnston,bennett johnston,Southern Miss,2572,Southern Miss,exact_normalized_name,,,,missing_name,QB,qb,2021-07-22,on_or_before_cutoff,False,,,True,not_in_model_relevant_population,none,False,,0,1,
8,2021,Lashawn Paulino-Bell,lashawn paulino-bell,Vanderbilt,238,Vanderbilt,exact_normalized_name,,,,missing_name,EDGE,dl,2021-07-20,on_or_before_cutoff,False,,3,False,not_in_model_relevant_population,none,False,,0,1,
9,2021,Chris Lovick,chris lovick,Tulsa,202,Tulsa,exact_normalized_name,,,,missing_name,RB,rb,2021-07-19,on_or_before_cutoff,False,,2,False,not_in_model_relevant_population,none,False,,0,1,
10,2021,Kevin Orange,kevin orange,Missouri Western State,,,not_in_fbs_population_or_unrecognized,Kansas,2305,Kansas,exact_normalized_name,RB,rb,2021-07-16,on_or_before_cutoff,True,,,False,no_usage_record,none,False,,0,1,6279
11,2021,Shaquan Griffin,shaquan griffin,Georgia Southern,290,Georgia Southern,exact_normalized_name,,,,missing_name,DL,dl,2021-07-15,on_or_before_cutoff,False,,2,False,not_in_model_relevant_population,none,False,,0,1,
