season,field,raw_name,normalized_name,team_id,canonical_name,match_method,record_count
2021,destination,Abilene Christian,abilene christian,,,not_in_fbs_population_or_unrecognized,4
2021,destination,Air Force,air force,2005,Air Force,exact_normalized_name,2
2021,destination,Akron,akron,2006,Akron,exact_normalized_name,3
2021,destination,Alabama,alabama,333,Alabama,exact_normalized_name,4
2021,destination,Alabama A&M,alabama aandm,,,not_in_fbs_population_or_unrecognized,2
2021,destination,Alcorn State,alcorn state,,,not_in_fbs_population_or_unrecognized,2
2021,destination,Angelo State,angelo state,,,not_in_fbs_population_or_unrecognized,1
2021,destination,App State,app state,2026,App State,exact_normalized_name,7
2021,destination,Arizona,arizona,12,Arizona,exact_normalized_name,16
2021,destination,Arizona State,arizona state,9,Arizona State,exact_normalized_name,7
2021,destination,Arkansas,arkansas,8,Arkansas,exact_normalized_name,5
2021,destination,Arkansas State,arkansas state,2032,Arkansas State,exact_normalized_name,17
2021,destination,Arkansas Tech,arkansas tech,,,not_in_fbs_population_or_unrecognized,1
2021,destination,Arkansas-Pine Bluff,arkansas pine bluff,,,not_in_fbs_population_or_unrecognized,1
2021,destination,Auburn,auburn,2,Auburn,exact_normalized_name,10
2021,destination,Austin Peay,austin peay,,,not_in_fbs_population_or_unrecognized,3
2021,destination,BYU,byu,252,BYU,exact_normalized_name,5
2021,destination,Ball State,ball state,2050,Ball State,exact_normalized_name,2
2021,destination,Baylor,baylor,239,Baylor,exact_normalized_name,6
2021,destination,Bethune-Cookman,bethune cookman,,,not_in_fbs_population_or_unrecognized,1
2021,destination,Blinn College,blinn college,,,not_in_fbs_population_or_unrecognized,4
2021,destination,Boise State,boise state,68,Boise State,exact_normalized_name,6
2021,destination,Boston College,boston college,103,Boston College,exact_normalized_name,6
2021,destination,Bowie State,bowie state,,,not_in_fbs_population_or_unrecognized,1
2021,destination,Bowling Green,bowling green,189,Bowling Green,exact_normalized_name,5
2021,destination,Bryant,bryant,,,not_in_fbs_population_or_unrecognized,1
2021,destination,Buffalo,buffalo,2084,Buffalo,exact_normalized_name,6
2021,destination,Butler C.C.,butler c c,,,not_in_fbs_population_or_unrecognized,3
2021,destination,California,california,25,California,exact_normalized_name,3
2021,destination,Central Connecticut,central connecticut,,,not_in_fbs_population_or_unrecognized,1
2021,destination,Central Michigan,central michigan,2117,Central Michigan,exact_normalized_name,3
2021,destination,Central Missouri,central missouri,,,not_in_fbs_population_or_unrecognized,1
2021,destination,Central Oklahoma,central oklahoma,,,not_in_fbs_population_or_unrecognized,2
2021,destination,Central Washington,central washington,,,not_in_fbs_population_or_unrecognized,1
2021,destination,Charleston Southern,charleston southern,,,not_in_fbs_population_or_unrecognized,1
2021,destination,Charlotte,charlotte,2429,Charlotte,exact_normalized_name,11
2021,destination,Chattanooga,chattanooga,,,not_in_fbs_population_or_unrecognized,4
2021,destination,Cincinnati,cincinnati,2132,Cincinnati,exact_normalized_name,3
2021,destination,City College of San Francisco,city college of san francisco,,,not_in_fbs_population_or_unrecognized,1
2021,destination,Coastal Carolina,coastal carolina,324,Coastal Carolina,exact_normalized_name,4
2021,destination,College of Charleston,college of charleston,,,not_in_fbs_population_or_unrecognized,1
2021,destination,College of the Canyons,college of the canyons,,,not_in_fbs_population_or_unrecognized,1
2021,destination,Colorado,colorado,38,Colorado,exact_normalized_name,6
2021,destination,Colorado Mesa,colorado mesa,,,not_in_fbs_population_or_unrecognized,3
2021,destination,Colorado State,colorado state,36,Colorado State,exact_normalized_name,6
2021,destination,Delaware,delaware,,,not_in_fbs_population_or_unrecognized,1
2021,destination,Delta State,delta state,,,not_in_fbs_population_or_unrecognized,1
2021,destination,Duke,duke,150,Duke,exact_normalized_name,8
2021,destination,Duquesne,duquesne,,,not_in_fbs_population_or_unrecognized,3
2021,destination,East Carolina,east carolina,151,East Carolina,exact_normalized_name,11
2021,destination,East Tennessee State,east tennessee state,,,not_in_fbs_population_or_unrecognized,2
2021,destination,Eastern Illinois,eastern illinois,,,not_in_fbs_population_or_unrecognized,1
2021,destination,Eastern Kentucky,eastern kentucky,,,not_in_fbs_population_or_unrecognized,8
2021,destination,Eastern Michigan,eastern michigan,2199,Eastern Michigan,exact_normalized_name,3
2021,destination,Eastern Washington,eastern washington,,,not_in_fbs_population_or_unrecognized,2
2021,destination,Florida,florida,57,Florida,exact_normalized_name,7
2021,destination,Florida A&M,florida aandm,,,not_in_fbs_population_or_unrecognized,4
2021,destination,Florida Atlantic,florida atlantic,2226,Florida Atlantic,exact_normalized_name,7
2021,destination,Florida State,florida state,52,Florida State,exact_normalized_name,12
2021,destination,Fort Valley State,fort valley state,,,not_in_fbs_population_or_unrecognized,1
2021,destination,Fresno State,fresno state,278,Fresno State,exact_normalized_name,8
2021,destination,Garden City C.C.,garden city c c,,,not_in_fbs_population_or_unrecognized,1
2021,destination,Georgia,georgia,61,Georgia,exact_normalized_name,3
2021,destination,Georgia Southern,georgia southern,290,Georgia Southern,exact_normalized_name,4
2021,destination,Georgia State,georgia state,2247,Georgia State,exact_normalized_name,3
2021,destination,Georgia Tech,georgia tech,59,Georgia Tech,exact_normalized_name,10
2021,destination,Hawai'i,hawai i,62,Hawai'i,exact_normalized_name,6
2021,destination,Houston,houston,248,Houston,exact_normalized_name,10
2021,destination,Hutchinson C.C.,hutchinson c c,,,not_in_fbs_population_or_unrecognized,2
2021,destination,Idaho,idaho,,,not_in_fbs_population_or_unrecognized,6
2021,destination,Illinois,illinois,356,Illinois,exact_normalized_name,9
2021,destination,Illinois State,illinois state,,,not_in_fbs_population_or_unrecognized,3
2021,destination,Independence C.C.,independence c c,,,not_in_fbs_population_or_unrecognized,3
2021,destination,Indiana,indiana,84,Indiana,exact_normalized_name,8
2021,destination,Iowa,iowa,2294,Iowa,exact_normalized_name,1
2021,destination,Iowa Central C.C.,iowa central c c,,,not_in_fbs_population_or_unrecognized,1
2021,destination,Iowa State,iowa state,66,Iowa State,exact_normalized_name,2
2021,destination,Jackson State,jackson state,,,not_in_fbs_population_or_unrecognized,18
2021,destination,Jacksonville State,jacksonville state,,,not_in_fbs_population_or_unrecognized,6
2021,destination,James Madison,james madison,,,not_in_fbs_population_or_unrecognized,2
2021,destination,Kansas,kansas,2305,Kansas,exact_normalized_name,13
2021,destination,Kansas State,kansas state,2306,Kansas State,exact_normalized_name,8
2021,destination,Kennesaw State,kennesaw state,,,not_in_fbs_population_or_unrecognized,2
2021,destination,Kent State,kent state,2309,Kent State,exact_normalized_name,7
2021,destination,Kentucky,kentucky,96,Kentucky,exact_normalized_name,7
2021,destination,Kentucky State,kentucky state,,,not_in_fbs_population_or_unrecognized,1
