portal_index,season,player_name,normalized_player_name,origin,origin_team_id,origin_team_name,origin_match_method,destination,destination_team_id,destination_team_name,destination_match_method,position,position_group,transfer_date,cutoff_state,in_model_relevant_population,rating,stars,is_qb,usage_join_status,usage_join_method,normalization_changed_match,prior_usage,prior_usage_record_count,portal_normalized_key_count,priority_rank
2988,2022,Quinn Ewers,quinn ewers,Ohio State,194,Ohio State,exact_normalized_name,Texas,251,Texas,exact_normalized_name,QB,qb,2021-12-04,on_or_before_cutoff,True,1.0,5,True,no_usage_record,none,False,,0,1,1
7899,2024,Caleb Downs,caleb downs,Alabama,333,Alabama,exact_normalized_name,Ohio State,194,Ohio State,exact_normalized_name,S,db,2024-01-17,on_or_before_cutoff,True,0.99,5,False,no_usage_record,none,False,,0,1,2
8004,2024,Kadyn Proctor,kadyn proctor,Iowa,2294,Iowa,exact_normalized_name,Alabama,333,Alabama,exact_normalized_name,OT,ol,2024-04-16,on_or_before_cutoff,True,0.99,5,False,no_usage_record,none,False,,0,1,3
7634,2024,Walter Nolen,walter nolen,Texas A&M,245,Texas A&M,exact_normalized_name,Ole Miss,145,Ole Miss,exact_normalized_name,DL,dl,2023-12-04,on_or_before_cutoff,True,0.99,5,False,no_usage_record,none,False,,0,1,4
8286,2024,Julian Sayin,julian sayin,Alabama,333,Alabama,exact_normalized_name,Ohio State,194,Ohio State,exact_normalized_name,QB,qb,2024-01-19,on_or_before_cutoff,True,0.98,5,True,no_usage_record,none,False,,0,1,5
13325,2025,Damon Wilson II,damon wilson ii,Georgia,61,Georgia,exact_normalized_name,Missouri,142,Missouri,exact_normalized_name,EDGE,dl,2025-01-15,on_or_before_cutoff,True,0.98,5,False,no_usage_record,none,False,,0,1,6
5653,2023,Denver Harris,denver harris,Texas A&M,245,Texas A&M,exact_normalized_name,LSU,99,LSU,exact_normalized_name,CB,db,2022-12-06,on_or_before_cutoff,True,0.98,5,False,no_usage_record,none,False,,0,1,7
2650,2022,Eli Ricks,eli ricks,LSU,99,LSU,exact_normalized_name,Alabama,333,Alabama,exact_normalized_name,CB,db,2021-11-24,on_or_before_cutoff,True,0.98,5,False,no_usage_record,none,False,,0,1,8
1556,2021,Henry To'o To'o,henry too too,Tennessee,2633,Tennessee,exact_normalized_name,Alabama,333,Alabama,exact_normalized_name,LB,lb,2021-01-20,on_or_before_cutoff,True,0.97,4,False,no_usage_record,none,False,,0,1,9
8296,2024,Jason Zandamela,jason zandamela,USC,30,USC,exact_normalized_name,Florida,57,Florida,exact_normalized_name,IOL,ol,2024-04-16,on_or_before_cutoff,True,0.97,4,False,no_usage_record,none,False,,0,1,10
