target_season,train_through,candidate,candidate_name,feature,standardized_location_coefficient,sign,magnitude,change_from_prior_fit,missingness_indicator_location_coefficient,standardized_scale_coefficient
2022,2021,R0,C0_full,returning_pct_ppa,-0.1532845334472251,negative,0.1532845334472251,,0.0034646699958612356,0.0
2022,2021,R0,C0_full,returning_pct_passing_ppa,-0.024737800411814906,negative,0.024737800411814906,,0.003464669995859007,0.0
2022,2021,R0,C0_full,returning_pct_receiving_ppa,-0.07426609896946933,negative,0.07426609896946933,,0.003464669995859007,0.0
2022,2021,R0,C0_full,returning_pct_rushing_ppa,9.522283080520068e-05,positive,9.522283080520068e-05,,0.003464669995859007,0.0
2022,2021,R2,C10_transfer_production,returning_pct_ppa,-0.15646433968844403,negative,0.15646433968844403,,0.0033598971246376246,0.0
2022,2021,R2,C10_transfer_production,returning_pct_passing_ppa,-0.025346315400113163,negative,0.025346315400113163,,0.0033598971246376246,0.0
2022,2021,R2,C10_transfer_production,returning_pct_receiving_ppa,-0.07526456779163822,negative,0.07526456779163822,,0.0033598971246376246,0.0
2022,2021,R2,C10_transfer_production,returning_pct_rushing_ppa,-0.0005197203956131459,negative,0.0005197203956131459,,0.003359897124632496,0.0
2022,2021,R2,C10_transfer_production,transfer_in_prior_usage_sum,-0.03905022141107544,negative,0.03905022141107544,,-0.16982977025271076,0.0
2022,2021,R2,C10_transfer_production,transfer_net_prior_usage,0.005119190913621487,positive,0.005119190913621487,,0.0750682014674069,0.0
2023,2022,R0,C0_full,returning_pct_ppa,-0.15375234709523916,negative,0.15375234709523916,-0.00046781364801407044,-0.00041292084254763333,0.0
2023,2022,R0,C0_full,returning_pct_passing_ppa,-0.02826206819471023,negative,0.02826206819471023,-0.0035242677828953226,-0.00041292084255028393,0.0
2023,2022,R0,C0_full,returning_pct_receiving_ppa,-0.07586839975510702,negative,0.07586839975510702,-0.0016023007856376947,-0.00041292084255028393,0.0
2023,2022,R0,C0_full,returning_pct_rushing_ppa,0.0009539559182183239,positive,0.0009539559182183239,0.0008587330874131232,-0.00041292084255028393,0.0
2023,2022,R2,C10_transfer_production,returning_pct_ppa,-0.15943871543050084,negative,0.15943871543050084,-0.002974375742056806,-0.0004433557908921116,0.0
2023,2022,R2,C10_transfer_production,returning_pct_passing_ppa,-0.02893042620387923,negative,0.02893042620387923,-0.003584110803766069,-0.0004433557908921116,0.0
2023,2022,R2,C10_transfer_production,returning_pct_receiving_ppa,-0.07647105501233588,negative,0.07647105501233588,-0.0012064872206976607,-0.0004433557908921116,0.0
2023,2022,R2,C10_transfer_production,returning_pct_rushing_ppa,0.00016952365323360594,positive,0.00016952365323360594,0.0006892440488467518,-0.00044335579089230763,0.0
2023,2022,R2,C10_transfer_production,transfer_in_prior_usage_sum,-0.05266727135529501,negative,0.05266727135529501,-0.01361704994421957,-0.11179569374671308,0.0
