season,portal_payload_available,n_portal_records,n_with_destination,n_with_rating,n_with_stars,n_with_position,n_with_transfer_date,n_on_or_before_cutoff,destination_rate,rating_rate,stars_rate,date_rate,cutoff_rate,n_destination_team_matches,n_origin_team_matches,cutoff,classification
2004,False,0,0,0,0,0,0,0,,,,,,0,0,2004-08-15,retrospective-research-oracle
2005,False,0,0,0,0,0,0,0,,,,,,0,0,2005-08-15,retrospective-research-oracle
2006,False,0,0,0,0,0,0,0,,,,,,0,0,2006-08-15,retrospective-research-oracle
2007,False,0,0,0,0,0,0,0,,,,,,0,0,2007-08-15,retrospective-research-oracle
2008,False,0,0,0,0,0,0,0,,,,,,0,0,2008-08-15,retrospective-research-oracle
2009,False,0,0,0,0,0,0,0,,,,,,0,0,2009-08-15,retrospective-research-oracle
2010,False,0,0,0,0,0,0,0,,,,,,0,0,2010-08-15,retrospective-research-oracle
2011,False,0,0,0,0,0,0,0,,,,,,0,0,2011-08-15,retrospective-research-oracle
2012,False,0,0,0,0,0,0,0,,,,,,0,0,2012-08-15,retrospective-research-oracle
2013,False,0,0,0,0,0,0,0,,,,,,0,0,2013-08-15,retrospective-research-oracle
2014,False,0,0,0,0,0,0,0,,,,,,0,0,2014-08-15,retrospective-research-oracle
2015,False,0,0,0,0,0,0,0,,,,,,0,0,2015-08-15,retrospective-research-oracle
2016,False,0,0,0,0,0,0,0,,,,,,0,0,2016-08-15,retrospective-research-oracle
2017,False,0,0,0,0,0,0,0,,,,,,0,0,2017-08-15,retrospective-research-oracle
2018,False,0,0,0,0,0,0,0,,,,,,0,0,2018-08-15,retrospective-research-oracle
2019,False,0,0,0,0,0,0,0,,,,,,0,0,2019-08-15,retrospective-research-oracle
2020,False,0,0,0,0,0,0,0,,,,,,0,0,2020-08-15,retrospective-research-oracle
2021,True,1770,1053,323,1554,1770,1770,1770,0.5949152542372881,0.1824858757062147,0.8779661016949153,1.0,1.0,806,1642,2021-08-15,retrospective-research-oracle
2022,True,2273,1367,1043,2030,2273,2273,2268,0.6014078310602727,0.45886493620765506,0.8930928288605368,1.0,0.9978002639683238,1084,2118,2022-08-15,retrospective-research-oracle
2023,True,2502,1607,891,2433,2502,2502,2502,0.6422861710631494,0.35611510791366907,0.9724220623501199,1.0,1.0,1411,2251,2023-08-15,retrospective-research-oracle
2024,True,3378,2654,1852,2996,3378,3378,3378,0.7856719952634695,0.5482534043812907,0.886915334517466,1.0,1.0,2056,2951,2024-08-15,retrospective-research-oracle
2025,True,4499,3770,2511,3813,4499,4499,4497,0.8379639919982218,0.5581240275616803,0.8475216714825516,1.0,0.9995554567681707,2882,3684,2025-08-15,retrospective-research-oracle
