comparison,candidate,reference,scope,n_team_seasons,mean_delta_nll,median_delta_nll,fraction_team_seasons_improved,delta_nll
D5_vs_D2,D5_total_rp_plus_incoming,D2_total_rp_only,aggregate,534,-0.02728037070535477,-0.0012284942482381211,0.5299625468164794,-0.027280370705353718
D5_vs_D2,D5_total_rp_plus_incoming,D2_total_rp_only,2022,131,-0.01299221308802123,-0.000471296905187657,0.5419847328244275,
D5_vs_D2,D5_total_rp_plus_incoming,D2_total_rp_only,2023,133,0.0005087576390256519,0.0,0.49624060150375937,
D5_vs_D2,D5_total_rp_plus_incoming,D2_total_rp_only,2024,134,-0.031175671628606783,-0.0010833871054125588,0.5223880597014925,
D5_vs_D2,D5_total_rp_plus_incoming,D2_total_rp_only,2025,136,-0.06438134419033653,-0.006835398195099263,0.5588235294117647,
D7_vs_D5,D7_total_rp_plus_incoming_plus_outgoing,D5_total_rp_plus_incoming,aggregate,534,0.001855733977127206,0.0,0.49625468164794007,0.0018557339771261283
D7_vs_D5,D7_total_rp_plus_incoming_plus_outgoing,D5_total_rp_plus_incoming,2022,131,0.0022126097581233396,0.00022362078512294659,0.48854961832061067,
D7_vs_D5,D7_total_rp_plus_incoming_plus_outgoing,D5_total_rp_plus_incoming,2023,133,0.005921645484424628,0.0,0.49624060150375937,
D7_vs_D5,D7_total_rp_plus_incoming_plus_outgoing,D5_total_rp_plus_incoming,2024,134,-0.0020207259097503134,-0.0011531978639998108,0.5149253731343284,
D7_vs_D5,D7_total_rp_plus_incoming_plus_outgoing,D5_total_rp_plus_incoming,2025,136,0.0013552094702193906,6.214128061254875e-05,0.4852941176470588,
D5_vs_D8,D5_total_rp_plus_incoming,D8_existing_c10,aggregate,534,-0.007958955385855731,-0.0007795654779318983,0.5056179775280899,-0.007958955385855226
D5_vs_D8,D5_total_rp_plus_incoming,D8_existing_c10,2022,131,-0.00015290057417017316,0.0008613125751115724,0.48091603053435117,
D5_vs_D8,D5_total_rp_plus_incoming,D8_existing_c10,2023,133,-0.006776643992513,0.0,0.49624060150375937,
D5_vs_D8,D5_total_rp_plus_incoming,D8_existing_c10,2024,134,-0.0052931154803276875,-0.001488063756100555,0.5223880597014925,
D5_vs_D8,D5_total_rp_plus_incoming,D8_existing_c10,2025,136,-0.01926089026075389,-0.0019184441433162114,0.5220588235294118,
