candidate,student_t_df,train_games,development_games,train_conditional_nll,train_marginalized_nll,development_conditional_nll,development_marginalized_nll,selected
y1,3.0,11357,3226,1.6803298499860309,1.6803298499860309,1.7123287446373163,1.7123287446373163,False
y1,5.0,11357,3226,1.6608013924489007,1.6608013924489007,1.6941080456402848,1.6941080456402848,False
y1,8.0,11357,3226,1.6537485587709584,1.6537485587709584,1.6873062037605286,1.6873062037605286,False
y1,15.0,11357,3226,1.6511621574913447,1.6511621574913447,1.6854220894622056,1.6854220894622056,True
y2,3.0,11357,3226,1.667343995223714,1.6655779179216588,1.7106843757016723,1.7087869870801944,False
y2,5.0,11357,3226,1.6478301049884483,1.6460326513300436,1.6929826998853892,1.691068729471563,False
y2,8.0,11357,3226,1.6406146139418307,1.6389599354282105,1.6863137513307422,1.6844665833165637,False
y2,15.0,11357,3226,1.638337277297295,1.6367506382312769,1.6843050565908821,1.6824966624833098,True
naive,3.0,11357,3226,1.919472757267956,1.8985782486624354,2.0218509508588993,1.998811421903669,False
naive,5.0,11357,3226,1.9004611448299706,1.8810024327057466,2.0030804020313786,1.9810581145030421,False
naive,8.0,11357,3226,1.8934245698852394,1.8746727282368316,1.9961398492054956,1.9744344622518004,False
naive,15.0,11357,3226,1.8910009632827172,1.8726871075792002,1.9936317220403208,1.9718990352633612,True
