season,pairing,games,games_with_any_usable_ypp,games_with_both_usable_ypp,team_game_rows_expected,team_game_rows_with_usable_ypp,team_game_coverage_pct,game_coverage_pct,missing_both,missing_home_only,missing_away_only
1997,fbs-fbs,628,0,0,1256,0,0.0,0.0,628,0,0
1997,fbs-fcs,32,0,0,64,0,0.0,0.0,32,0,0
1997,all,660,0,0,1320,0,0.0,0.0,660,0,0
2003,fbs-fbs,699,0,0,1398,0,0.0,0.0,699,0,0
2003,fbs-fcs,71,0,0,142,0,0.0,0.0,71,0,0
2003,fcs-fcs,498,0,0,996,0,0.0,0.0,498,0,0
2003,all,1268,0,0,2536,0,0.0,0.0,1268,0,0
2004,fbs-fbs,663,653,653,1326,1306,98.4917,98.4917,10,0,0
2004,fbs-fcs,63,46,46,126,92,73.0159,73.0159,17,0,0
2004,fcs-fcs,509,0,0,1018,0,0.0,0.0,509,0,0
2004,all,1235,699,699,2470,1398,56.5992,56.5992,536,0,0
2005,fbs-fbs,664,654,654,1328,1308,98.494,98.494,10,0,0
2005,fbs-fcs,54,54,54,108,108,100.0,100.0,0,0,0
2005,fcs-fcs,528,0,0,1056,0,0.0,0.0,528,0,0
2005,all,1246,708,708,2492,1416,56.8218,56.8218,538,0,0
2006,fbs-fbs,714,710,710,1428,1420,99.4398,99.4398,4,0,0
2006,fbs-fcs,78,77,77,156,154,98.7179,98.7179,1,0,0
2006,fcs-fcs,525,0,0,1050,0,0.0,0.0,525,0,0
2006,all,1317,787,787,2634,1574,59.757,59.757,530,0,0
2007,fbs-fbs,712,709,709,1424,1418,99.5787,99.5787,3,0,0
2007,fbs-fcs,80,78,78,160,156,97.5,97.5,2,0,0
2007,fcs-fcs,584,5,0,1168,5,0.4281,0.0,579,3,2
2007,all,1376,792,787,2752,1579,57.3765,57.1948,584,3,2
2008,fbs-fbs,717,717,717,1434,1434,100.0,100.0,0,0,0
2008,fbs-fcs,88,87,84,176,171,97.1591,95.4545,1,1,2
2008,fcs-fcs,579,0,0,1158,0,0.0,0.0,579,0,0
2008,all,1384,804,801,2768,1605,57.9841,57.8757,580,1,2
2009,fbs-fbs,714,714,714,1428,1428,100.0,100.0,0,0,0
2009,fbs-fcs,94,94,94,188,188,100.0,100.0,0,0,0
2009,fcs-fcs,586,0,0,1172,0,0.0,0.0,586,0,0
2009,all,1394,808,808,2788,1616,57.9627,57.9627,586,0,0
2010,fbs-fbs,718,718,718,1436,1436,100.0,100.0,0,0,0
2010,fbs-fcs,90,90,90,180,180,100.0,100.0,0,0,0
2010,fcs-fcs,583,0,0,1166,0,0.0,0.0,583,0,0
2010,all,1391,808,808,2782,1616,58.0877,58.0877,583,0,0
2011,fbs-fbs,715,708,708,1430,1416,99.021,99.021,7,0,0
2011,fbs-fcs,97,97,97,194,194,100.0,100.0,0,0,0
2011,fcs-fcs,607,0,0,1214,0,0.0,0.0,607,0,0
2011,all,1419,805,805,2838,1610,56.7301,56.7301,614,0,0
2012,fbs-fbs,732,732,732,1464,1464,100.0,100.0,0,0,0
2012,fbs-fcs,106,106,103,212,209,98.5849,97.1698,0,1,2
2012,fcs-fcs,500,0,0,1000,0,0.0,0.0,500,0,0
